Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.2.2026;1;00:00 - 00:15;107.0;39.8;18.5;3.0;15.5;102.29;21.5
1.2.2026;2;00:15 - 00:30;77.0;46.0;18.7;0.0;18.7;98.99;18.7
1.2.2026;3;00:30 - 00:45;75.2;75.3;7.4;10.7;-3.3;97.21;18.1
1.2.2026;4;00:45 - 01:00;83.8;67.7;13.0;14.7;-1.7;96.71;27.7
1.2.2026;5;01:00 - 01:15;242.2;65.8;57.7;0.2;57.5;103.13;57.9
1.2.2026;6;01:15 - 01:30;60.0;60.6;4.2;2.2;2.0;97.66;6.4
1.2.2026;7;01:30 - 01:45;114.2;76.1;4.6;12.1;-7.5;98.25;16.7
1.2.2026;8;01:45 - 02:00;44.8;59.4;0.0;10.7;-10.7;97.92;10.7
1.2.2026;9;02:00 - 02:15;64.4;33.2;10.4;0.2;10.2;105.07;10.6
1.2.2026;10;02:15 - 02:30;80.5;176.5;11.9;64.2;-52.3;100.72;76.1
1.2.2026;11;02:30 - 02:45;71.2;55.7;14.6;0.2;14.4;103.03;14.8
1.2.2026;12;02:45 - 03:00;79.2;49.7;6.6;2.1;4.5;97.51;8.7
1.2.2026;13;03:00 - 03:15;39.6;585.9;5.0;2.2;2.8;103.48;7.2
1.2.2026;14;03:15 - 03:30;47.6;588.1;5.6;13.2;-7.6;103.11;18.8
1.2.2026;15;03:30 - 03:45;31.6;595.7;4.4;0.2;4.2;104.22;4.6
1.2.2026;16;03:45 - 04:00;43.6;579.9;5.0;0.2;4.8;102.27;5.2
1.2.2026;17;04:00 - 04:15;137.3;71.2;16.3;12.7;3.6;102.60;29.0
1.2.2026;18;04:15 - 04:30;82.0;41.1;14.2;10.0;4.2;101.29;24.2
1.2.2026;19;04:30 - 04:45;44.6;53.8;4.3;0.2;4.1;99.81;4.5
1.2.2026;20;04:45 - 05:00;45.1;56.1;4.3;0.0;4.3;99.05;4.3
1.2.2026;21;05:00 - 05:15;149.7;77.1;17.6;10.8;6.8;99.58;28.4
1.2.2026;22;05:15 - 05:30;63.2;151.1;3.1;13.0;-9.9;98.98;16.1
1.2.2026;23;05:30 - 05:45;114.8;45.1;6.7;14.0;-7.3;98.52;20.7
1.2.2026;24;05:45 - 06:00;105.9;88.1;2.2;12.0;-9.8;98.56;14.2
1.2.2026;25;06:00 - 06:15;75.1;90.0;6.6;11.8;-5.2;97.96;18.4
1.2.2026;26;06:15 - 06:30;71.4;138.0;9.7;13.9;-4.2;98.05;23.6
1.2.2026;27;06:30 - 06:45;117.9;72.4;8.5;8.6;-0.1;98.90;17.1
1.2.2026;28;06:45 - 07:00;335.1;43.5;30.1;13.7;16.4;100.65;43.8
1.2.2026;29;07:00 - 07:15;284.5;425.3;14.2;68.1;-53.9;100.43;82.3
1.2.2026;30;07:15 - 07:30;460.1;332.5;47.3;40.1;7.2;104.10;87.4
1.2.2026;31;07:30 - 07:45;442.6;308.4;33.8;35.3;-1.5;90.19;69.1
1.2.2026;32;07:45 - 08:00;491.1;736.3;77.6;70.6;7.0;99.67;148.2
1.2.2026;33;08:00 - 08:15;436.5;254.4;60.4;61.7;-1.3;94.13;122.1
1.2.2026;34;08:15 - 08:30;323.9;612.4;79.2;69.0;10.2;97.78;148.2
1.2.2026;35;08:30 - 08:45;12,092.6;1,849.5;99.2;81.0;18.2;98.35;180.2
1.2.2026;36;08:45 - 09:00;864.9;2,352.6;119.7;87.5;32.2;104.49;207.2
1.2.2026;37;09:00 - 09:15;2,164.6;673.4;79.3;102.2;-22.9;103.72;181.5
1.2.2026;38;09:15 - 09:30;755.5;423.4;41.7;58.1;-16.4;106.22;99.8
1.2.2026;39;09:30 - 09:45;541.6;1,226.5;66.4;106.5;-40.1;107.21;172.9
1.2.2026;40;09:45 - 10:00;1,429.0;1,228.5;266.7;266.6;0.1;95.02;533.3
1.2.2026;41;10:00 - 10:15;451.6;389.3;32.7;44.8;-12.1;109.84;77.5
1.2.2026;42;10:15 - 10:30;367.3;559.2;39.2;52.5;-13.3;112.13;91.7
1.2.2026;43;10:30 - 10:45;911.4;1,065.7;65.9;75.0;-9.1;115.73;140.9
1.2.2026;44;10:45 - 11:00;2,010.2;1,122.5;79.2;91.3;-12.1;103.95;170.5
1.2.2026;45;11:00 - 11:15;679.1;1,720.5;61.2;71.7;-10.5;131.31;132.9
1.2.2026;46;11:15 - 11:30;2,172.2;2,030.2;59.0;61.4;-2.4;125.82;120.4
1.2.2026;47;11:30 - 11:45;6,905.6;1,131.2;90.2;82.3;7.9;115.22;172.5
1.2.2026;48;11:45 - 12:00;1,257.9;2,072.7;134.4;62.7;71.7;100.26;197.1
1.2.2026;49;12:00 - 12:15;6,035.6;3,909.2;102.2;28.2;74.0;110.05;130.4
1.2.2026;50;12:15 - 12:30;7,141.9;3,420.1;95.0;33.0;62.0;107.38;128.0
1.2.2026;51;12:30 - 12:45;4,226.2;10,160.7;97.5;45.8;51.7;103.31;143.3
1.2.2026;52;12:45 - 13:00;2,946.1;2,113.9;97.3;53.6;43.7;98.61;150.9
1.2.2026;53;13:00 - 13:15;3,992.2;2,528.2;71.7;45.5;26.2;106.91;117.2
1.2.2026;54;13:15 - 13:30;6,171.0;8,119.9;82.3;37.6;44.7;98.49;119.9
1.2.2026;55;13:30 - 13:45;3,927.7;2,568.0;55.1;73.5;-18.4;108.04;128.6
1.2.2026;56;13:45 - 14:00;4,232.0;3,833.2;70.9;89.9;-19.0;96.32;160.8
1.2.2026;57;14:00 - 14:15;1,057.2;5,595.1;75.3;37.1;38.2;101.80;112.4
1.2.2026;58;14:15 - 14:30;1,300.8;1,470.7;103.7;82.9;20.8;118.59;186.6
1.2.2026;59;14:30 - 14:45;1,001.3;1,079.4;78.3;54.9;23.4;105.44;133.2
1.2.2026;60;14:45 - 15:00;3,790.7;5,754.4;74.5;55.7;18.8;104.05;130.2
1.2.2026;61;15:00 - 15:15;1,702.2;5,958.6;120.2;39.4;80.8;102.15;159.6
1.2.2026;62;15:15 - 15:30;3,729.8;356.4;82.6;13.7;68.9;108.59;96.3
1.2.2026;63;15:30 - 15:45;24,259.4;3,353.5;44.0;58.1;-14.1;131.05;102.1
1.2.2026;64;15:45 - 16:00;4,114.3;2,296.3;63.8;21.3;42.5;120.80;85.1
1.2.2026;65;16:00 - 16:15;471.3;280.8;38.1;14.7;23.4;122.83;52.8
1.2.2026;66;16:15 - 16:30;7,515.6;2,065.9;23.4;14.6;8.8;137.08;38.0
1.2.2026;67;16:30 - 16:45;4,059.1;926.0;41.3;40.9;0.4;149.08;82.2
1.2.2026;68;16:45 - 17:00;2,928.2;266.7;73.0;31.3;41.7;140.20;104.3
1.2.2026;69;17:00 - 17:15;970.1;684.9;24.4;28.2;-3.8;144.25;52.6
1.2.2026;70;17:15 - 17:30;3,951.7;1,277.9;31.3;25.3;6.0;145.79;56.6
1.2.2026;71;17:30 - 17:45;1,490.6;512.7;26.0;7.7;18.3;145.71;33.7
1.2.2026;72;17:45 - 18:00;2,485.3;256.6;15.2;36.6;-21.4;159.28;51.8
