Delivery day;Period number;Period;Buy Orders (MWh);Sell Orders (MWh);Buy trades (MWh);Sell trades (MWh);Traded Quantity Difference (MWh);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MWh)
1.2.2026;1;00:00 - 01:00;210.3;3,481.6;64.3;35.7;28.6;104.00;100.0
1.2.2026;2;01:00 - 02:00;135.4;154.6;37.7;9.6;28.1;97.51;47.3
1.2.2026;3;02:00 - 03:00;159.4;105.8;35.9;14.2;21.7;97.89;50.1
1.2.2026;4;03:00 - 04:00;628.8;86.3;27.6;18.5;9.1;98.39;46.1
1.2.2026;5;04:00 - 05:00;81.5;75.8;33.2;13.6;19.6;101.45;46.8
1.2.2026;6;05:00 - 06:00;104.6;177.3;29.5;10.1;19.4;98.35;39.6
1.2.2026;7;06:00 - 07:00;120.0;139.4;42.2;20.9;21.3;99.34;63.1
1.2.2026;8;07:00 - 08:00;252.0;462.1;63.3;35.7;27.6;101.03;99.0
1.2.2026;9;08:00 - 09:00;264.6;193.7;60.2;40.7;19.5;103.68;100.9
1.2.2026;10;09:00 - 10:00;1,226.4;1,462.9;56.3;70.1;-13.8;100.98;126.4
1.2.2026;11;10:00 - 11:00;5,149.0;2,665.6;83.3;126.1;-42.8;104.58;209.4
1.2.2026;12;11:00 - 12:00;4,163.2;3,552.1;90.2;130.2;-40.0;106.56;220.4
1.2.2026;13;12:00 - 13:00;11,844.9;13,224.0;81.6;99.2;-17.6;104.97;180.8
1.2.2026;14;13:00 - 14:00;18,362.2;3,165.8;105.9;82.5;23.4;99.21;188.4
1.2.2026;15;14:00 - 15:00;5,345.6;8,164.2;109.4;80.7;28.7;102.11;190.1
1.2.2026;16;15:00 - 16:00;7,260.1;4,325.1;66.0;102.0;-36.0;111.08;168.0
1.2.2026;17;16:00 - 17:00;6,800.0;9,254.4;76.1;40.2;35.9;128.25;116.3
1.2.2026;18;17:00 - 18:00;5,258.0;3,057.3;76.1;39.3;36.8;146.99;115.4
1.2.2026;19;18:00 - 19:00;33,187.8;4,756.8;96.5;91.6;4.9;144.48;188.1
1.2.2026;20;19:00 - 20:00;22,683.7;1,921.8;93.7;67.2;26.5;137.51;160.9
1.2.2026;21;20:00 - 21:00;34,543.6;676.8;74.4;43.1;31.3;125.26;117.5
1.2.2026;22;21:00 - 22:00;11,721.6;33,936.8;71.7;64.8;6.9;118.65;136.5
1.2.2026;23;22:00 - 23:00;5,341.2;11,782.5;117.5;110.0;7.5;124.85;227.5
1.2.2026;24;23:00 - 00:00;40,043.0;11,247.4;108.0;70.1;37.9;106.23;178.1
2.2.2026;1;00:00 - 01:00;341.8;150.5;26.3;18.0;8.3;107.92;44.3
2.2.2026;2;01:00 - 02:00;455.3;220.2;30.9;57.6;-26.7;106.08;88.5
2.2.2026;3;02:00 - 03:00;448.2;188.5;32.0;48.2;-16.2;103.98;80.2
2.2.2026;4;03:00 - 04:00;330.2;312.6;55.4;64.2;-8.8;103.92;119.6
2.2.2026;5;04:00 - 05:00;13,616.8;523.6;41.9;52.2;-10.3;105.98;94.1
2.2.2026;6;05:00 - 06:00;1,130.0;333.8;56.1;24.5;31.6;107.89;80.6
2.2.2026;7;06:00 - 07:00;17,253.1;127.6;86.2;42.2;44.0;190.51;128.4
2.2.2026;8;07:00 - 08:00;11,897.4;1,840.5;95.3;81.7;13.6;180.81;177.0
2.2.2026;9;08:00 - 09:00;20,995.6;5,208.4;69.5;91.9;-22.4;174.30;161.4
2.2.2026;10;09:00 - 10:00;23,393.5;1,873.0;76.5;89.4;-12.9;167.88;165.9
2.2.2026;11;10:00 - 11:00;4,203.2;1,713.4;82.9;93.6;-10.7;160.76;176.5
2.2.2026;12;11:00 - 12:00;3,674.1;4,469.0;130.5;133.4;-2.9;160.32;263.9
2.2.2026;13;12:00 - 13:00;11,348.9;5,868.1;162.7;93.3;69.4;150.05;256.0
2.2.2026;14;13:00 - 14:00;12,404.6;5,382.3;154.9;111.1;43.8;152.16;266.0
2.2.2026;15;14:00 - 15:00;15,107.0;5,875.9;118.6;66.9;51.7;190.95;185.5
2.2.2026;16;15:00 - 16:00;16,050.7;20,192.4;86.3;90.0;-3.7;257.60;176.3
2.2.2026;17;16:00 - 17:00;6,244.8;88,531.3;63.6;79.7;-16.1;258.32;143.3
2.2.2026;18;17:00 - 18:00;21,193.7;61,666.6;90.8;106.8;-16.0;244.76;197.6
2.2.2026;19;18:00 - 19:00;14,408.6;26,578.0;93.0;254.1;-161.1;211.93;347.1
2.2.2026;20;19:00 - 20:00;20,603.2;21,581.0;122.0;226.4;-104.4;227.51;348.4
2.2.2026;21;20:00 - 21:00;47,063.1;50,818.6;185.5;153.4;32.1;210.47;338.9
