,Feb2026,Mar2026,Apr2026,mean,std,cv
da_price,5.214285714285714,5.071428571428571,5.5,5.261904761904762,0.17817416127494967,0.03386115282148365
temp_rmean24h,4.142857142857142,3.8214285714285716,4.607142857142857,4.19047619047619,0.3225289805748585,0.07696714309172761
da_price_qh,3.8928571428571432,4.642857142857143,3.8214285714285716,4.1190476190476195,0.37153539367445804,0.09019934412905917
idm_vwap_lag,3.428571428571429,3.5000000000000004,2.75,3.2261904761904763,0.3379778468232952,0.10476066100795865
da_price_change24h,2.928571428571429,3.107142857142857,2.4642857142857144,2.8333333333333335,0.27094777801764386,0.095628627535639
da_supply,2.392857142857143,2.642857142857143,2.75,2.5952380952380953,0.14964053678543496,0.057659656376039155
da_flow_cz,2.821428571428571,2.5,2.035714285714286,2.4523809523809526,0.32252898057485846,0.13151667169071898
imb_price_lag,2.214285714285714,2.035714285714286,2.5357142857142856,2.261904761904762,0.20688270472598516,0.0914639326156987
damas_forecast_load,1.9285714285714284,2.035714285714286,2.5,2.1547619047619047,0.2480079363809483,0.11509760583425226
temp_national_change6h,2.107142857142857,1.892857142857143,2.2857142857142856,2.0952380952380953,0.16060401860990514,0.07665191797290927
damas_fe_rmean24,2.071428571428571,2.107142857142857,1.8214285714285714,2.0,0.12710807442894417,0.06355403721447209
spread_da_idm_lag,1.9642857142857142,2.107142857142857,1.9285714285714284,2.0,0.07715167498104605,0.03857583749052303
temp_change6h,1.7500000000000002,2.107142857142857,1.607142857142857,1.8214285714285714,0.21028002062685355,0.11544785446180195
proxy_ewm4,1.7857142857142856,1.7142857142857144,1.7142857142857144,1.7380952380952381,0.03367175148507357,0.019372788525658765
temp_forecast_da,1.5,1.7500000000000002,1.8214285714285714,1.6904761904761905,0.13780758217607414,0.08151997818866358
da_demand,1.7500000000000002,1.8214285714285714,1.4285714285714286,1.6666666666666667,0.17086547731437293,0.10251928638862376
damas_fe,1.7857142857142856,1.7500000000000002,1.1428571428571428,1.5595238095238095,0.2949883736515207,0.1891528502803644
temp_bratislava,1.8214285714285714,1.607142857142857,1.0357142857142856,1.488095238095238,0.3316282923139076,0.22285421243494594
month_sin,1.2142857142857142,1.107142857142857,2.107142857142857,1.4761904761904763,0.4482897710419699,0.3036801674800441
pressure_change6h,1.3928571428571428,1.3928571428571428,1.5357142857142858,1.4404761904761905,0.06734350297014746,0.046750861566052786
month_cos,1.3571428571428572,1.607142857142857,1.2857142857142856,1.4166666666666667,0.13780758217607406,0.09727594035958168
proxy_dev_from_hour,1.25,1.4285714285714286,1.4285714285714286,1.3690476190476193,0.08417937871268424,0.061487546190134565
nowcast_h5,1.25,1.3928571428571428,1.2857142857142856,1.3095238095238095,0.06070261325705695,0.04635472285084349
load_yesterday,1.6785714285714286,1.3571428571428572,0.8571428571428572,1.2976190476190477,0.337977846823295,0.2604599920473099
proxy_rmean16,1.2142857142857142,1.4285714285714286,1.25,1.2976190476190477,0.09373818897633113,0.07223860434873224
