lead_time,mae_baseline,mae_qh,mae_hour,mae_dow,mae_hour_qh,qh_corr,hour_corr,dow_corr,n_test
12,4.702058642220293,4.721386884479909,4.733330031196765,4.718284074745373,4.707723679047125,0.9902305911169749,0.4937021816670158,0.8298353924330322,19571
9,3.8211091428425594,3.8101134544921695,3.7516249437925695,3.8117637960478405,3.7488828488696684,0.9653139285385534,0.8756706794414677,0.8876276434485139,19492
6,2.9680339249056167,2.947571869474637,2.909046904595371,2.9570609301368016,2.8881485199811605,0.9304253780950384,0.847394027522223,0.3535757842257817,19470
3,2.1830762325398263,2.1618635552705454,2.1796969343590153,2.1774303500038843,2.135302697827291,0.9922662815962039,0.6143017191161904,0.26163680973749415,19454
0,1.501062256038265,1.4746279209746052,1.4953158643501794,1.4863480519184027,1.4720161386443376,0.9620098348239658,0.4122284368303327,0.17355634214894916,19534
