minutes_available,features_used,correlation,r_squared
3,1,-0.6847742865235587,0.4689158234838488
6,2,-0.7079148088096267,0.5011433765319703
9,3,-0.7818943682665628,0.6113588031269673
12,4,-0.8491271768563557,0.7210169624760449
15,5,-0.8888365458744314,0.7900304052819902
