minute,normal_mean,extreme_negative_mean,extreme_positive_mean,separation_neg,separation_pos
0,-7.342655257936508,48.99638251133786,-72.32411592970523,56.33903776927437,-64.98146067176872
3,-9.039398579223356,50.49865022675736,-77.42925311791385,59.53804880598072,-68.38985453869049
6,-5.184994366496599,64.37957993197278,-85.13749036281179,69.56457429846938,-79.95249599631519
9,-3.9685738555839,73.05497732426305,-91.52864370748298,77.02355117984695,-87.56006985189909
12,-5.094662078373015,71.18968098072563,-91.21965660430838,76.28434305909865,-86.12499452593536
