model,n,r2,r,mae,rmse,coef_load_surprise_mw,coef_net_xborder_import,coef_total_xborder_import_used,coef_total_xborder_export_used,coef_structural_residual,coef_CEPS_net_import,coef_APG_net_import,coef_TTG_net_import,coef_50HzT_net_import,coef_MAVIR_net_import,coef_PSE_net_import
S1: Load Surprise Only,1605,0.14066777469638103,0.37505702859216095,27.688119248394802,57.38378605503691,-0.2597307060645864,,,,,,,,,,
S2: Load + Net XBorder Import,1605,0.14066783932744886,0.375057114753805,27.688254773152597,57.383783897096514,-0.2597321487407834,-1.0468967916461782e-05,,,,,,,,,
S3: Load + Import/Export Split,1605,0.1408105910175147,0.37524737309875295,27.68968121882969,57.379017421027086,-0.25963149833085325,,-0.00044283757321290224,-0.00021415159856553407,,,,,,,
S4: Structural Residual,1605,0.0006282253096062673,0.025064423185189547,31.497723827581655,61.88311822569029,,,,,-0.0010297911234173676,,,,,,
S5: Load + Per-Border Net Import,1605,0.15082295248089117,0.3883593084772028,27.591204211623975,57.04371127141718,-0.251074424400297,,,,,0.012375862262785373,0.006239064444728259,-0.08158392600028234,0.06862677127759671,-0.0054860633460476725,0.001654926813736244
S6: Full Features,1605,0.1408105910175147,0.37524737309875295,27.689681218829687,57.379017421027086,-0.25963149833085325,-7.62286582158435e-05,-0.00036660891499702025,-0.00029038025678140817,,,,,,,
