,imbalance_mwh,load_surprise_mw,idm_net_mwh,idm_total_mwh,idm_order_imbalance_mwh,uncorrected_surprise
imbalance_mwh,1.0,-0.38827070949254355,-0.0023927800739095366,0.03725184355386543,-0.07925806203447476,-0.3192955621947693
load_surprise_mw,-0.38827070949254355,1.0,0.17350692309858398,-0.019471944393510104,0.053496256186567975,0.7004168328088756
idm_net_mwh,-0.0023927800739095366,0.17350692309858398,1.0,-0.10591411182576065,0.045571771918373416,-0.5813814026676333
idm_total_mwh,0.03725184355386543,-0.019471944393510104,-0.10591411182576065,1.0,-0.017980938998264924,0.0606654287351809
idm_order_imbalance_mwh,-0.07925806203447476,0.053496256186567975,0.045571771918373416,-0.017980938998264924,1.0,0.011162329201682229
uncorrected_surprise,-0.3192955621947693,0.7004168328088756,-0.5813814026676333,0.0606654287351809,0.011162329201682229,1.0
