horizon,n_samples,correlation,r_squared,p_value
H+1,11949,-0.30132876445176665,0.09079902428602826,2.7464349240586463e-249
H+2,11949,-0.26802866422147487,0.07183936484434812,1.0752526909548037e-195
H+3,11948,-0.235375354675653,0.05540155758868944,4.3915394421995815e-150
H+1 (actual error),17518,-0.3420312690234645,0.11698538898980153,0.0
H+2 (actual error),17517,-0.34204079414036725,0.11699190485617308,0.0
H+3 (actual error),17516,-0.34206414631351867,0.1170078801931963,0.0
