date,da_price_mean,da_price_std,da_price_min,da_price_max,da_price_range,da_demand_mean,da_supply_mean,net_import_mean,load_forecast_mean,load_actual_mean,load_error_mean,solar_actual_mean,solar_forecast_mean,nuclear_mean,hydro_mean,gas_mean,temp_actual_mean,temp_forecast_mean,flow_cz_mean,flow_pl_mean,flow_hu_mean,spread_da_idm_mean,spread_da_imb_mean,spread_idm_imb_mean,day_of_week,month,is_weekend,prev_da_price_mean,prev2_da_price_mean,prev_da_price_std,prev2_da_price_std,prev_da_price_range,prev2_da_price_range,prev_da_demand_mean,prev2_da_demand_mean,prev_da_supply_mean,prev2_da_supply_mean,prev_net_import_mean,prev2_net_import_mean,prev_load_forecast_mean,prev2_load_forecast_mean,prev_load_actual_mean,prev2_load_actual_mean,prev_load_error_mean,prev2_load_error_mean,prev_solar_actual_mean,prev2_solar_actual_mean,prev_nuclear_mean,prev2_nuclear_mean,prev_hydro_mean,prev2_hydro_mean,prev_gas_mean,prev2_gas_mean,prev_temp_actual_mean,prev2_temp_actual_mean,prev_flow_cz_mean,prev2_flow_cz_mean,prev_flow_pl_mean,prev2_flow_pl_mean,prev_flow_hu_mean,prev2_flow_hu_mean,prev_spread_da_idm_mean,prev2_spread_da_idm_mean,prev_spread_da_imb_mean,prev2_spread_da_imb_mean,prev_spread_idm_imb_mean,prev2_spread_idm_imb_mean,da_price_change,load_forecast_change
2025-01-01,74.14166666666667,61.85923977004194,-5.71,180.0,185.71,769.65,1321.0458333333333,-551.3958333333334,2696.5625,2757.625,61.0625,6.004166666666667,,2465.0166666666664,24.695833333333336,216.72083333333333,,,669.9791666666666,1348.4291666666666,-2569.804166666667,-40.17041666666666,-95.98804583333333,-55.81762916666667,2,1,0,126.65291666666667,144.0825,34.86873577578415,36.17048836082905,120.79000000000002,106.81,1042.4333333333332,1054.3875,1388.9041666666665,1583.5291666666665,-346.47083333333336,-529.1416666666665,2910.2000000000003,2903.216666666667,2987.3500000000004,3071.125,77.14999999999999,167.90833333333322,6.829166666666667,8.3125,2465.0499999999997,2465.5208333333335,12.5625,28.916666666666668,327.30833333333334,512.0875,,,823.0333333333333,744.8375,1253.2041666666667,1201.7124999999999,-2422.7083333333335,-2475.6916666666666,,,-5.254978125000001,31.492668749999996,,,-52.511250000000004,-213.63750000000027
2025-01-02,112.85791666666667,34.40233371497103,48.58,157.86,109.28000000000002,1241.7375,1580.8833333333332,-339.1458333333333,3170.0,3102.75,-67.25,8.237499999999999,,2464.8541666666665,14.75,458.0125,,,588.075,1290.8875,-2218.108333333333,-19.331249999999997,50.135673958333335,69.46692395833333,3,1,0,74.14166666666667,126.65291666666667,61.85923977004194,34.86873577578415,185.71,120.79000000000002,769.65,1042.4333333333332,1321.0458333333333,1388.9041666666665,-551.3958333333334,-346.47083333333336,2696.5625,2910.2000000000003,2757.625,2987.3500000000004,61.0625,77.14999999999999,6.004166666666667,6.829166666666667,2465.0166666666664,2465.0499999999997,24.695833333333336,12.5625,216.72083333333333,327.30833333333334,,,669.9791666666666,823.0333333333333,1348.4291666666666,1253.2041666666667,-2569.804166666667,-2422.7083333333335,-40.17041666666666,,-95.98804583333333,-5.254978125000001,-55.81762916666667,,38.71625,473.4375
2025-01-03,127.71541666666667,26.75208857822323,87.22,166.41,79.19,1352.1499999999999,1331.9875,20.162499999999998,3182.3000000000006,3140.3333333333335,-41.966666666666775,28.904166666666665,,2464.2625000000003,17.995833333333334,197.375,,,776.6583333333334,1398.7166666666665,-2155.2125,19.763333333333335,110.53773125,90.77439791666666,4,1,0,112.85791666666667,74.14166666666667,34.40233371497103,61.85923977004194,109.28000000000002,185.71,1241.7375,769.65,1580.8833333333332,1321.0458333333333,-339.1458333333333,-551.3958333333334,3170.0,2696.5625,3102.75,2757.625,-67.25,61.0625,8.237499999999999,6.004166666666667,2464.8541666666665,2465.0166666666664,14.75,24.695833333333336,458.0125,216.72083333333333,,,588.075,669.9791666666666,1290.8875,1348.4291666666666,-2218.108333333333,-2569.804166666667,-19.331249999999997,-40.17041666666666,50.135673958333335,-95.98804583333333,69.46692395833333,-55.81762916666667,14.857500000000002,12.300000000000637
2025-01-04,120.30958333333332,14.539132047285555,100.71,153.4,52.69000000000001,1158.8208333333334,1332.875,-174.05416666666665,2920.0916666666667,3063.2083333333335,143.11666666666656,35.02916666666666,,2464.5,23.979166666666668,206.5583333333333,,,730.2333333333332,1360.8875,-2265.1749999999997,0.06083333333333011,37.36753645833333,37.306703125000006,5,1,1,127.71541666666667,112.85791666666667,26.75208857822323,34.40233371497103,79.19,109.28000000000002,1352.1499999999999,1241.7375,1331.9875,1580.8833333333332,20.162499999999998,-339.1458333333333,3182.3000000000006,3170.0,3140.3333333333335,3102.75,-41.966666666666775,-67.25,28.904166666666665,8.237499999999999,2464.2625000000003,2464.8541666666665,17.995833333333334,14.75,197.375,458.0125,,,776.6583333333334,588.075,1398.7166666666665,1290.8875,-2155.2125,-2218.108333333333,19.763333333333335,-19.331249999999997,110.53773125,50.135673958333335,90.77439791666666,69.46692395833333,-7.405833333333348,-262.20833333333394
2025-01-05,109.64791666666667,25.873479115843143,78.56,199.05,120.49000000000001,1208.3291666666667,1331.9958333333334,-123.6666666666667,3073.7875,3094.9583333333335,21.170833333333235,9.254166666666668,,2463.7833333333333,18.96666666666667,207.30416666666667,,,835.8541666666666,1227.6833333333334,-2187.204166666667,3.002916666666668,11.386379166666666,8.383462500000002,6,1,1,120.30958333333332,127.71541666666667,14.539132047285555,26.75208857822323,52.69000000000001,79.19,1158.8208333333334,1352.1499999999999,1332.875,1331.9875,-174.05416666666665,20.162499999999998,2920.0916666666667,3182.3000000000006,3063.2083333333335,3140.3333333333335,143.11666666666656,-41.966666666666775,35.02916666666666,28.904166666666665,2464.5,2464.2625000000003,23.979166666666668,17.995833333333334,206.5583333333333,197.375,,,730.2333333333332,776.6583333333334,1360.8875,1398.7166666666665,-2265.1749999999997,-2155.2125,0.06083333333333011,19.763333333333335,37.36753645833333,110.53773125,37.306703125000006,90.77439791666666,-10.661666666666648,153.6958333333332
2025-01-06,116.805,28.473539050967236,74.49,161.34,86.85000000000001,1098.7166666666667,1296.3500000000001,-197.63333333333333,3001.375,2916.25,-85.12500000000007,6.3875,,2457.9333333333334,14.754166666666668,200.70833333333334,,,580.5416666666666,1028.5833333333333,-1806.7583333333332,30.802916666666665,48.32535416666667,17.5224375,0,1,0,109.64791666666667,120.30958333333332,25.873479115843143,14.539132047285555,120.49000000000001,52.69000000000001,1208.3291666666667,1158.8208333333334,1331.9958333333334,1332.875,-123.6666666666667,-174.05416666666665,3073.7875,2920.0916666666667,3094.9583333333335,3063.2083333333335,21.170833333333235,143.11666666666656,9.254166666666668,35.02916666666666,2463.7833333333333,2464.5,18.96666666666667,23.979166666666668,207.30416666666667,206.5583333333333,,,835.8541666666666,730.2333333333332,1227.6833333333334,1360.8875,-2187.204166666667,-2265.1749999999997,3.002916666666668,0.06083333333333011,11.386379166666666,37.36753645833333,8.383462500000002,37.306703125000006,7.157083333333333,-72.41249999999991
2025-01-07,120.40458333333333,43.0873324448166,14.38,177.08,162.70000000000002,1307.9791666666667,1525.4416666666666,-217.46249999999998,3340.629166666667,3317.5416666666665,-23.08750000000009,7.9458333333333355,,2460.5916666666667,22.6375,476.0833333333333,,,808.4208333333332,1174.825,-2200.7083333333335,9.388333333333334,73.64458020833334,64.256246875,1,1,0,116.805,109.64791666666667,28.473539050967236,25.873479115843143,86.85000000000001,120.49000000000001,1098.7166666666667,1208.3291666666667,1296.3500000000001,1331.9958333333334,-197.63333333333333,-123.6666666666667,3001.375,3073.7875,2916.25,3094.9583333333335,-85.12500000000007,21.170833333333235,6.3875,9.254166666666668,2457.9333333333334,2463.7833333333333,14.754166666666668,18.96666666666667,200.70833333333334,207.30416666666667,,,580.5416666666666,835.8541666666666,1028.5833333333333,1227.6833333333334,-1806.7583333333332,-2187.204166666667,30.802916666666665,3.002916666666668,48.32535416666667,11.386379166666666,17.5224375,8.383462500000002,3.599583333333328,339.25416666666706
2025-01-08,119.86291666666666,28.832459135821914,70.87,170.1,99.22999999999999,1250.3625,1480.6125,-230.24999999999991,3397.7958333333336,3368.4583333333335,-29.33750000000009,7.312500000000001,,2461.9708333333333,12.758333333333333,474.7208333333333,,,688.5958333333333,1401.2875000000001,-2320.133333333333,19.998333333333335,51.268984375,31.270651041666667,2,1,0,120.40458333333333,116.805,43.0873324448166,28.473539050967236,162.70000000000002,86.85000000000001,1307.9791666666667,1098.7166666666667,1525.4416666666666,1296.3500000000001,-217.46249999999998,-197.63333333333333,3340.629166666667,3001.375,3317.5416666666665,2916.25,-23.08750000000009,-85.12500000000007,7.9458333333333355,6.3875,2460.5916666666667,2457.9333333333334,22.6375,14.754166666666668,476.0833333333333,200.70833333333334,,,808.4208333333332,580.5416666666666,1174.825,1028.5833333333333,-2200.7083333333335,-1806.7583333333332,9.388333333333334,30.802916666666665,73.64458020833334,48.32535416666667,64.256246875,17.5224375,-0.5416666666666714,57.166666666666515
2025-01-09,125.41041666666666,19.880310442674222,89.22,159.74,70.52000000000001,1172.9916666666666,1354.5666666666666,-181.57499999999996,3415.108333333333,3357.9166666666665,-57.191666666666755,4.966666666666667,,2450.3624999999997,23.150000000000002,434.0916666666667,,,820.7291666666666,762.2583333333333,-1764.5625,2.8487500000000026,34.316748958333335,31.46799895833333,3,1,0,119.86291666666666,120.40458333333333,28.832459135821914,43.0873324448166,99.22999999999999,162.70000000000002,1250.3625,1307.9791666666667,1480.6125,1525.4416666666666,-230.24999999999991,-217.46249999999998,3397.7958333333336,3340.629166666667,3368.4583333333335,3317.5416666666665,-29.33750000000009,-23.08750000000009,7.312500000000001,7.9458333333333355,2461.9708333333333,2460.5916666666667,12.758333333333333,22.6375,474.7208333333333,476.0833333333333,,,688.5958333333333,808.4208333333332,1401.2875000000001,1174.825,-2320.133333333333,-2200.7083333333335,19.998333333333335,9.388333333333334,51.268984375,73.64458020833334,31.270651041666667,64.256246875,5.547499999999999,17.312499999999545
2025-01-10,117.09750000000001,23.923829352124322,71.5,151.83,80.33000000000001,1128.6166666666666,1319.3333333333333,-190.7166666666667,3350.1041666666665,3418.1666666666665,68.0625,18.291666666666668,,2460.4041666666667,18.9625,438.6625000000001,,,702.4916666666667,1167.4541666666667,-2060.6625,5.794166666666668,23.736482291666665,17.942315625,4,1,0,125.41041666666666,119.86291666666666,19.880310442674222,28.832459135821914,70.52000000000001,99.22999999999999,1172.9916666666666,1250.3625,1354.5666666666666,1480.6125,-181.57499999999996,-230.24999999999991,3415.108333333333,3397.7958333333336,3357.9166666666665,3368.4583333333335,-57.191666666666755,-29.33750000000009,4.966666666666667,7.312500000000001,2450.3624999999997,2461.9708333333333,23.150000000000002,12.758333333333333,434.0916666666667,474.7208333333333,,,820.7291666666666,688.5958333333333,762.2583333333333,1401.2875000000001,-1764.5625,-2320.133333333333,2.8487500000000026,19.998333333333335,34.316748958333335,51.268984375,31.46799895833333,31.270651041666667,-8.312916666666652,-65.0041666666666
