spread,day_of_week,day_name,mean,median,std,pct_positive,count
DA-IDM,0,Mon,-5.805524691358025,0.23499999999999935,55.87731392920895,50.264550264550266,2268
DA-IDM,1,Tue,-17.168039041703636,-2.664999999999999,55.612113669883385,44.587400177462285,2254
DA-IDM,2,Wed,-9.692045754509458,-1.950000000000017,41.58117239667141,45.930488341399034,2273
DA-IDM,3,Thu,2.8207028199566153,0.9100000000000108,51.35876924887611,52.27765726681128,2305
DA-IDM,4,Fri,6.907708333333334,0.8700000000000045,58.38895138253374,51.953125,2304
DA-IDM,5,Sat,21.73761408083442,6.38,52.32264544070387,62.62494567579313,2301
DA-IDM,6,Sun,17.616362839614375,7.145,41.97135566509994,63.45311130587204,2282
DA-Imbalance,0,Mon,26.596406978597454,21.844375000000007,95.7422603677623,70.3551912568306,2196
DA-Imbalance,1,Tue,9.56037703892493,14.043750000000005,79.57806156564864,60.93605189990732,2158
DA-Imbalance,2,Wed,10.400215924579737,13.118825,63.489031874492746,64.28895956383462,2201
DA-Imbalance,3,Thu,9.19065534627983,20.915499999999994,137.1809337263017,64.90407112774919,2137
DA-Imbalance,4,Fri,27.30880459490741,19.571625,78.78305070305255,68.24074074074075,2160
DA-Imbalance,5,Sat,31.335130387436962,25.082,71.49337664381073,70.33470884915177,2181
DA-Imbalance,6,Sun,24.48087690988106,25.779375,68.42482937589594,71.77493138151875,2186
IDM-Imbalance,0,Mon,30.91118384562841,23.9527625,89.34920908230151,74.59016393442623,2196
IDM-Imbalance,1,Tue,24.667476204819277,20.87285,76.59272414168387,71.91844300278035,2158
IDM-Imbalance,2,Wed,18.945781576556115,18.515,57.45075258066842,72.0581553839164,2201
IDM-Imbalance,3,Thu,7.494047952737484,18.093300000000013,120.2282020999686,69.20917173607862,2137
IDM-Imbalance,4,Fri,20.796165706018517,17.65945,60.46283261195299,73.42592592592592,2160
IDM-Imbalance,5,Sat,9.888129011921137,12.070449999999994,59.690447106181566,66.07060981201283,2181
IDM-Imbalance,6,Sun,7.325446900731931,10.916300000000009,62.096581920923406,63.129002744739246,2186
