spread,hour,mean,median,std,q25,q75,pct_positive,count,skew,kurtosis
DA-IDM,0,26.152241887905607,16.324999999999996,49.81397330542066,-0.1824999999999903,44.76999999999998,74.63126843657817,678,0.7026476834466885,5.221465114316021
DA-IDM,1,28.56136636636637,14.680000000000009,49.30485198190238,0.1700000000000017,46.290000000000006,75.37537537537537,666,1.4670000734374693,3.6045111809034087
DA-IDM,2,33.813373313343334,18.16,57.38078099148059,0.15500000000000108,51.70000000000002,75.41229385307346,667,2.2045946042011244,7.4581358280605885
DA-IDM,3,35.85692192192192,15.679999999999993,63.84341884571724,-0.08499999999999017,51.33999999999999,74.92492492492492,666,2.544288154230013,9.241981035798622
DA-IDM,4,39.34879518072289,24.720000000000006,63.48688468061486,0.3900000000000077,55.21000000000001,76.05421686746988,664,2.4410620991516137,7.846078486807439
DA-IDM,5,32.45629909365559,19.80000000000001,55.626557780057375,0.1224999999999987,48.30999999999999,75.52870090634441,662,2.156708143506584,7.634914019944787
DA-IDM,6,14.513614457831324,5.375000000000007,47.74473159165446,-3.834999999999999,34.73000000000002,65.36144578313254,664,0.7599559414943597,3.4912308604184235
DA-IDM,7,-3.8465563909774443,0.1099999999999994,48.704605043372716,-19.75,17.480000000000004,50.225563909774436,665,-0.7167807213402498,3.4397565610700975
DA-IDM,8,3.6685885885885896,3.899999999999992,56.50134792022147,-11.360000000000003,22.120000000000005,59.75975975975976,666,-0.8870960447059916,5.144946289254706
DA-IDM,9,4.027417417417419,5.645000000000003,46.112214185393825,-12.5,22.922500000000003,59.15915915915916,666,-0.9273575929229276,6.330394621747402
DA-IDM,10,2.5764564564564565,3.430000000000007,41.892562065920174,-13.045000000000002,20.949999999999996,57.507507507507505,666,-0.6980600700420286,4.63504064641827
DA-IDM,11,-3.7277477477477468,1.1500000000000057,43.35424561984208,-15.350000000000009,15.387500000000001,54.80480480480481,666,-1.7178026196852059,7.43276620816504
DA-IDM,12,9.81430930930931,6.964999999999999,47.32187916511471,-7.4599999999999955,29.42,60.96096096096096,666,-0.9738077943004707,10.347373107061715
DA-IDM,13,1.1187837837837833,2.725000000000006,46.086095809252996,-14.115,20.129999999999995,53.753753753753756,666,-0.9727308196783315,10.803048467041606
DA-IDM,14,-9.159624624624623,-3.615,47.078359653650104,-24.487500000000008,9.6275,42.04204204204204,666,-0.7825989707708745,13.198589531727288
DA-IDM,15,-23.45153153153153,-13.440000000000007,52.86983890007663,-36.915,2.617500000000014,30.03003003003003,666,-2.217592417569881,10.801886590285394
DA-IDM,16,-19.453573573573575,-9.784999999999997,49.04101102085081,-33.37250000000003,5.490000000000002,36.33633633633634,666,-1.388933714595741,3.6068529931918705
DA-IDM,17,-24.067702702702704,-12.555,51.770978815321264,-34.9375,5.787499999999998,33.033033033033036,666,-1.7556491750450849,5.272431929686428
DA-IDM,18,-25.963153153153158,-14.489999999999997,53.098108941849986,-39.06999999999999,2.2275000000000027,29.72972972972973,666,-1.9134190376723703,5.763627217034145
DA-IDM,19,-30.045810810810814,-20.540000000000006,58.14396562296171,-47.28999999999999,2.674999999999997,27.627627627627625,666,-1.9529656138532023,6.447730944688862
DA-IDM,20,-12.107357357357357,-5.75500000000001,37.0681738720556,-28.722499999999993,8.929999999999993,40.24024024024024,666,-0.8894553835380407,2.397060417024614
DA-IDM,21,-7.098633633633633,-3.0,30.280337228001834,-19.35,6.919999999999998,39.63963963963964,666,-0.4181506640929112,2.2795642109977075
DA-IDM,22,-7.738003003003003,-5.819999999999993,27.65678649380475,-22.64999999999999,6.094999999999999,38.73873873873874,666,-0.02230096516338721,3.4661241958366396
DA-IDM,23,-7.259037593984963,-3.0,26.06720043522532,-16.290000000000006,6.549999999999997,41.95488721804511,665,-0.8348175347583899,2.67416494838962
DA-Imbalance,0,34.95509547213622,33.243537499999995,77.4528511539175,6.860343750000009,64.3803875,78.79256965944272,646,-2.789431262612752,41.57377961675776
DA-Imbalance,1,30.125718809148264,31.29079999999999,89.03237403719577,8.468262500000009,57.25107499999999,81.23028391167192,634,-5.375527994950524,47.75393957664569
DA-Imbalance,2,34.845834251968505,31.7483,89.7616853414821,9.230250000000005,59.65672500000001,82.67716535433071,635,-4.214139351263601,40.40457625974048
