spread,year_month,mean,median,std,pct_positive,count
DA-IDM,2025-01,5.958689189189189,5.659999999999998,28.33588495092363,62.70270270270271,740
DA-IDM,2025-02,0.7243898809523811,2.614999999999995,27.551179438453318,54.166666666666664,672
DA-IDM,2025-03,4.807442799461643,2.319999999999993,21.039862946440792,63.12247644683715,743
DA-IDM,2025-04,5.492888888888889,3.3400000000000043,29.806479067886475,62.5,720
DA-IDM,2025-05,-4.666612903225807,-1.8450000000000002,16.98108499865411,41.39784946236559,744
DA-IDM,2025-06,-2.7283588317107093,0.4900000000000002,27.503956703539384,50.90403337969403,719
DA-IDM,2025-07,2.436364864864865,1.3049999999999993,17.36583250898218,57.16216216216217,740
DA-IDM,2025-08,0.7282884097035037,0.6699999999999982,11.70691387851994,54.58221024258761,742
DA-IDM,2025-09,-1.433444444444445,1.245000000000001,26.819539517696356,54.44444444444444,720
DA-IDM,2025-10,4.5397927643133125,-2.5400000000000063,85.16230789874182,48.647699332630836,2847
DA-IDM,2025-11,1.513222222222223,-0.8399999999999963,63.34807350320514,49.166666666666664,2880
DA-IDM,2025-12,5.114341397849464,3.664999999999992,39.27555987976007,55.24193548387096,2976
DA-IDM,2026-01,-2.77095430107527,2.4000000000000057,76.96738860218768,52.956989247311824,744
DA-Imbalance,2025-01,39.58216550675676,39.255725000000005,81.12423991599941,75.54054054054053,740
DA-Imbalance,2025-02,36.41867998511905,33.675625000000004,59.364151810961395,73.36309523809523,672
DA-Imbalance,2025-03,30.140573014804843,27.75217500000001,57.1969452583099,75.37012113055181,743
DA-Imbalance,2025-04,19.820172222222222,16.4194875,126.11006561463131,64.72222222222223,720
DA-Imbalance,2025-05,4.811242909946237,11.82388749999999,72.99619043748757,58.1989247311828,744
DA-Imbalance,2025-06,9.842806258692628,16.44015,137.83225962926574,63.42141863699583,719
DA-Imbalance,2025-07,21.38693530027933,23.548987499999996,50.36049645722909,73.60335195530726,716
DA-Imbalance,2025-08,8.920479885444744,13.7681875,50.55081882099278,63.20754716981132,742
DA-Imbalance,2025-09,16.764546493055555,15.000312499999993,57.64401484194563,66.94444444444444,720
DA-Imbalance,2025-10,13.813070600632246,16.939224999999993,136.21664927496536,61.327713382507895,2847
DA-Imbalance,2025-11,20.38810625,20.270450000000004,69.77742674429075,67.63888888888889,2880
DA-Imbalance,2025-12,23.279805947580645,20.471800000000005,45.65549439832693,70.56451612903226,2976
IDM-Imbalance,2025-01,33.623476317567565,32.31285000000001,73.13758104054814,74.32432432432432,740
IDM-Imbalance,2025-02,35.69429010416667,32.992337500000005,56.430530378656606,76.04166666666666,672
IDM-Imbalance,2025-03,25.3331302153432,22.468650000000004,51.94220965013702,73.88963660834455,743
IDM-Imbalance,2025-04,14.327283333333334,13.737587499999997,120.07943201371454,63.61111111111111,720
IDM-Imbalance,2025-05,9.477855813172043,16.289375,69.53439594327803,62.5,744
IDM-Imbalance,2025-06,12.57116509040334,16.683525,131.48863713837596,63.42141863699583,719
IDM-Imbalance,2025-07,18.47544088687151,20.203900000000004,46.60577627184349,73.88268156424581,716
IDM-Imbalance,2025-08,8.192191475741241,10.88212500000001,48.95789737996722,61.725067385444746,742
IDM-Imbalance,2025-09,18.197990937500002,13.5527875,55.939998648238195,65.27777777777779,720
IDM-Imbalance,2025-10,9.27327783631893,18.289625,116.14959285649842,67.29891113452757,2847
IDM-Imbalance,2025-11,18.874884027777778,17.714212500000002,60.25464719681823,74.86111111111111,2880
IDM-Imbalance,2025-12,18.165464549731183,14.435874999999996,35.79010320670404,72.04301075268818,2976
