target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
DA-IDM,prev_spread_da_imb_mean,0.24645284817819854,1.8788363584703708e-06,0.31346246387791415,9.174186088053896e-10,365,0.31346246387791415
DA-IDM,da_price_mean,0.2937471111464939,3.351611292714633e-09,0.26737474124899424,8.267304674500473e-08,390,0.26737474124899424
DA-IDM,prev_spread_da_idm_mean,0.37648265524716645,1.5166083303523203e-14,0.25992815919140355,1.9957928743576322e-07,389,0.25992815919140355
DA-IDM,da_price_max,0.3068331575279157,6.01802647192663e-10,0.22224637428654379,9.403377649649521e-06,390,0.22224637428654379
DA-IDM,is_weekend,0.24565957468837687,9.048510247192069e-07,0.2071912451872389,3.7332911032170026e-05,390,0.2071912451872389
DA-IDM,load_forecast_change,-0.20374066147963305,5.0514573763404306e-05,-0.20474468779169772,4.628393706193834e-05,390,0.20474468779169772
DA-IDM,day_of_week,0.26157689242991944,1.59994072630273e-07,0.18823234651911272,0.00018487640230138445,390,0.18823234651911272
DA-IDM,load_error_mean,-0.20478239411688454,4.6131768969094525e-05,-0.1806367006914019,0.0003365935409986298,390,0.1806367006914019
DA-IDM,prev2_gas_mean,0.15292115239976634,0.0024610794431749487,0.16919658097180632,0.0007940558572469563,390,0.16919658097180632
DA-IDM,da_price_change,0.23212664051364976,3.606643765326975e-06,0.16852454904118622,0.0008337532756040715,390,0.16852454904118622
DA-IDM,da_price_min,0.08572361529571357,0.09091610273335021,0.16674857262153636,0.0009476558948246306,390,0.16674857262153636
DA-IDM,prev_spread_idm_imb_mean,0.061634661066482604,0.24080169677461158,0.1660466557104166,0.0014769763950845517,364,0.1660466557104166
DA-IDM,prev2_load_forecast_mean,0.13238871797730045,0.008854876838387324,0.14720395855633936,0.003572849976869282,390,0.14720395855633936
DA-IDM,prev_da_price_mean,0.11214691661158957,0.026787144960025024,0.14718804098747426,0.0035764968061520615,390,0.14718804098747426
DA-IDM,prev_load_error_mean,-0.15230389461150576,0.0025637113349693446,-0.1434659713031037,0.004527912752630756,390,0.1434659713031037
DA-IDM,da_price_std,0.29305002315671186,3.6638767373714664e-09,0.13941739363076783,0.005817105421654506,390,0.13941739363076783
DA-IDM,prev2_load_actual_mean,0.11308082444830093,0.025537962674085167,0.13221381929225146,0.008945813392305291,390,0.13221381929225146
DA-IDM,hydro_mean,-0.06316499407572228,0.2132612182901408,-0.12695570419360475,0.012097490152739619,390,0.12695570419360475
DA-IDM,prev2_solar_actual_mean,-0.05906695934098692,0.24452491493972098,-0.12602390305746303,0.012748389326675868,390,0.12602390305746303
DA-IDM,da_price_range,0.2291209483711017,4.849308067789077e-06,0.11556612671807379,0.02245540183190108,390,0.11556612671807379
DA-IDM,da_demand_mean,0.06860123114807934,0.17637200022553473,0.11225927810476077,0.026634122559748164,390,0.11225927810476077
DA-IDM,prev2_spread_idm_imb_mean,-0.019005864947009742,0.7178047499982557,0.1060160263149055,0.043238395036319426,364,0.1060160263149055
DA-IDM,prev2_da_demand_mean,0.04975510030913759,0.32706753736298144,0.0995598564882012,0.049446374259367216,390,0.0995598564882012
DA-IDM,prev_gas_mean,0.045523844750617624,0.36993075998904185,0.08541713974754296,0.09208148745325076,390,0.08541713974754296
DA-IDM,prev_da_demand_mean,0.05206780649462568,0.3050556129895438,0.08488520305272856,0.09413254836208254,390,0.08488520305272856
DA-IDM,da_supply_mean,0.020275533682984147,0.6897712743207013,0.08414165470161893,0.09706051564421879,390,0.08414165470161893
DA-IDM,prev2_da_price_mean,0.01545857983112552,0.7608835299169869,0.07601961677793866,0.13397288403172594,390,0.07601961677793866
DA-IDM,prev2_load_error_mean,-0.09299676069469177,0.06656181039508309,-0.07468769076011726,0.1409435912206162,390,0.07468769076011726
DA-IDM,prev_temp_actual_mean,0.13981028363072087,0.10848398981367882,0.07445853439569072,0.39433880521327325,133,0.07445853439569072
DA-IDM,prev_da_supply_mean,-0.022302333011792876,0.6606059865014192,0.07353216806664889,0.14721318760629798,390,0.07353216806664889
DA-IDM,prev_nuclear_mean,0.014681146630829218,0.7725703898804925,0.0648482655396697,0.20128986214751432,390,0.0648482655396697
DA-IDM,nuclear_mean,0.012557465359777385,0.8047505017772031,0.06393681441713381,0.2077099960684668,390,0.06393681441713381
DA-IDM,prev_solar_actual_mean,-0.0034425215742933967,0.9459716437236121,-0.06357186018740461,0.21032173292154904,390,0.06357186018740461
DA-IDM,prev_flow_hu_mean,0.004823143591813065,0.9243590942508003,-0.06322815049105163,0.21280300562091184,390,0.06322815049105163
DA-IDM,prev2_spread_da_imb_mean,-0.1037520396640102,0.04731612463081548,0.06253543672300033,0.23269344206653622,366,0.06253543672300033
DA-IDM,prev2_net_import_mean,0.0822800665731597,0.10470972301743472,0.06086106872699816,0.23046429040293992,390,0.06086106872699816
DA-IDM,flow_hu_mean,-0.0186524135593582,0.7134659385536093,-0.057813660839321754,0.254696302548809,390,0.057813660839321754
DA-IDM,prev_load_forecast_mean,0.004876512738076727,0.9235246548174917,0.05474027157925949,0.2808675595627093,390,0.05474027157925949
DA-IDM,prev2_nuclear_mean,0.0066244335378878175,0.8962471265720082,0.054699306347362135,0.2812282544866224,390,0.054699306347362135
DA-IDM,prev2_hydro_mean,0.030518454024691954,0.5479088568646113,-0.05331367002202432,0.2936132350478238,390,0.05331367002202432
DA-IDM,prev_hydro_mean,0.02304498094513109,0.6500437939944765,-0.05232918952311833,0.30263089052534536,390,0.05232918952311833
DA-IDM,temp_actual_mean,0.11411618836672087,0.18921400859978696,0.04724996571029565,0.5877244133728644,134,0.04724996571029565
DA-IDM,prev2_temp_actual_mean,0.10761752248020469,0.2193562199014653,0.04359963058235456,0.6196168799618662,132,0.04359963058235456
DA-IDM,prev_flow_pl_mean,-0.030972869269881697,0.5419624172741834,0.043175623973656825,0.3951527941473084,390,0.043175623973656825
DA-IDM,load_actual_mean,-0.13381512104859827,0.008143420444590243,-0.04285640952891891,0.3986596527213371,390,0.04285640952891891
