minute,correlation,r_squared,n
0,-0.6847742865235587,0.4689158234838488,70560
3,-0.6816895429987141,0.46470063303379566,70560
6,-0.8221317659650418,0.6759006406087983,70560
9,-0.872592118652582,0.7614170055346018,70560
12,-0.8951534823802713,0.8012997570175266,70560
