feature,correlation,r_squared,mean,std
qh_mean,-0.8888365458744314,0.7900304052819902,-7.091243236961451,43.20961443187303
qh_std,-0.014524976900391355,0.00021097495395690246,20.35909241377681,14.227010113478517
qh_range,-0.01421181151336377,0.000201975586491379,49.28785770975057,33.71300499884708
qh_trend,-0.26029913605553445,0.06775564023125763,2.1281703231292517,39.75237015988292
