minute_in_settlement,mean,std,count,p5,p25,p50,p75,p95
0,-8.25371763880115,47.664263175597085,71235,-88.561,-32.0055,-6.525,16.788,63.41500000000003
3,-9.98208552059063,50.12442337103462,71246,-95.71249999999999,-34.9915,-7.765,16.299,67.13875
6,-6.328527530284719,48.358743830387525,71158,-88.58364999999999,-30.36875,-3.666,19.5575,65.97264999999982
9,-5.100222403304438,49.90935078956437,71177,-90.21,-29.93,-2.696,21.405,70.6806
12,-6.130127683774486,48.05159500165809,71215,-87.2651,-29.538,-4.196,18.9775,66.489
