date,spread_mean,spread_sum,spread_std,spread_positive_pct,reg_vol,n_hours,direction,direction_binary,dow,dow_name,month,year_month,is_weekend,direction_lag1,direction_lag2,direction_lag3,spread_lag1,spread_lag2,reg_vol_lag1,direction_rolling_3d,direction_rolling_7d,spread_rolling_7d,period
2025-01-01,-75.84758068181817,-1668.646775,147.0882754527028,22.727272727272727,23.217807541443175,22,-1.0,0,2,Wednesday,1,2025-01,0,,,,,,,,,,2025
2025-01-02,61.73525729166666,1481.6461749999999,61.29431785022203,91.66666666666666,29.227040177799548,24,1.0,1,3,Thursday,1,2025-01,0,0.0,,,-75.84758068181817,,23.217807541443175,,,,2025
2025-01-03,101.72439791666666,2441.38555,50.44557029118704,100.0,31.17433653693008,24,1.0,1,4,Friday,1,2025-01,0,1.0,0.0,,61.73525729166666,-75.84758068181817,29.227040177799548,,,,2025
2025-01-04,40.003815217391306,920.08775,49.724833198779685,78.26086956521739,28.34735124625368,23,1.0,1,5,Saturday,1,2025-01,1,1.0,1.0,0.0,101.72439791666666,61.73525729166666,31.17433653693008,0.6666666666666666,,,2025
2025-01-05,18.0478375,433.1481,69.43749550805096,58.333333333333336,25.556578274757793,24,1.0,1,6,Sunday,1,2025-01,1,1.0,1.0,1.0,40.003815217391306,101.72439791666666,28.34735124625368,1.0,,,2025
2025-01-06,40.759729166666666,978.2335,69.43470818934539,75.0,22.78029414822802,24,1.0,1,0,Monday,1,2025-01,0,1.0,1.0,1.0,18.0478375,40.003815217391306,25.556578274757793,1.0,,,2025
2025-01-07,64.47791354166667,1547.4699249999999,61.33507513227036,91.66666666666666,30.625352058285916,24,1.0,1,1,Tuesday,1,2025-01,0,1.0,1.0,1.0,40.759729166666666,18.0478375,22.78029414822802,1.0,,,2025
2025-01-08,45.81731770833333,1099.615625,44.18486132166731,83.33333333333334,28.940876128549707,24,1.0,1,2,Wednesday,1,2025-01,0,1.0,1.0,1.0,64.47791354166667,40.759729166666666,30.625352058285916,1.0,0.8571428571428571,35.84305285031997,2025
2025-01-09,37.87070729166667,908.896975,47.04723213108873,75.0,27.510364564745842,24,1.0,1,3,Thursday,1,2025-01,0,1.0,1.0,1.0,45.81731770833333,64.47791354166667,28.940876128549707,1.0,1.0,53.223752620341614,2025
2025-01-10,19.448357291666664,466.7605749999999,52.214985047086024,66.66666666666666,31.642842992489435,24,1.0,1,4,Friday,1,2025-01,0,1.0,1.0,1.0,37.87070729166667,45.81731770833333,27.510364564745842,1.0,1.0,49.81453119177018,2025
2025-01-11,49.106344791666665,1178.552275,39.68712260589684,87.5,27.69605486413577,24,1.0,1,5,Saturday,1,2025-01,1,1.0,1.0,1.0,19.448357291666664,37.87070729166667,31.642842992489435,1.0,1.0,38.06081110248447,2025
2025-01-12,30.93314375,742.39545,46.70178207582897,70.83333333333334,23.079835290971445,24,1.0,1,6,Sunday,1,2025-01,1,1.0,1.0,1.0,49.106344791666665,19.448357291666664,27.69605486413577,1.0,1.0,39.36117247023809,2025
2025-01-13,5.102516666666664,122.46039999999994,45.138584726136116,58.333333333333336,29.71865557168385,24,1.0,1,0,Monday,1,2025-01,0,1.0,1.0,1.0,30.93314375,49.106344791666665,23.079835290971445,1.0,1.0,41.20193050595237,2025
2025-01-14,5.294644791666663,127.07147499999991,161.17311367160264,54.166666666666664,32.32861705669584,24,1.0,1,1,Tuesday,1,2025-01,0,1.0,1.0,1.0,5.102516666666664,30.93314375,29.71865557168385,1.0,1.0,36.108043005952375,2025
2025-01-15,78.53805208333333,1884.9132499999998,97.49987519522779,79.16666666666666,28.39151407492599,24,1.0,1,2,Wednesday,1,2025-01,0,1.0,1.0,1.0,5.294644791666663,5.102516666666664,32.32861705669584,1.0,1.0,27.653290327380944,2025
2025-01-16,41.496291666666664,995.911,57.23928700577177,75.0,31.895964030989575,24,1.0,1,3,Thursday,1,2025-01,0,1.0,1.0,1.0,78.53805208333333,5.294644791666663,28.39151407492599,1.0,1.0,32.327680952380945,2025
2025-01-17,12.343356250000005,296.2405500000001,69.61375210309843,58.333333333333336,28.199624465870873,24,1.0,1,4,Friday,1,2025-01,0,1.0,1.0,1.0,41.496291666666664,78.53805208333333,31.895964030989575,1.0,1.0,32.845621577380946,2025
2025-01-18,30.35260520833333,728.4625249999999,59.28547135575661,70.83333333333334,27.663375841784145,24,1.0,1,5,Saturday,1,2025-01,1,1.0,1.0,1.0,12.343356250000005,41.496291666666664,28.199624465870873,1.0,1.0,31.830621428571423,2025
2025-01-19,23.107553125,554.581275,55.299148129235164,62.5,27.144537454177662,24,1.0,1,6,Sunday,1,2025-01,1,1.0,1.0,1.0,30.35260520833333,12.343356250000005,27.663375841784145,1.0,1.0,29.151515773809518,2025
2025-01-20,59.565221875,1429.565325,111.48988454694344,75.0,29.78617681921132,24,1.0,1,0,Monday,1,2025-01,0,1.0,1.0,1.0,23.107553125,30.35260520833333,27.144537454177662,1.0,1.0,28.033574255952377,2025
2025-01-21,66.404790625,1593.714975,99.35863528085908,66.66666666666666,31.971283801026615,24,1.0,1,1,Tuesday,1,2025-01,0,1.0,1.0,1.0,59.565221875,23.107553125,29.78617681921132,1.0,1.0,35.813960714285706,2025
2025-01-22,-1.7043468750000024,-40.90432500000006,186.71719673319453,70.83333333333334,25.291148131488118,24,-1.0,0,2,Wednesday,1,2025-01,0,1.0,1.0,1.0,66.404790625,59.565221875,31.971283801026615,1.0,1.0,44.54398154761905,2025
2025-01-23,59.97516666666667,1439.404,83.99562996777806,83.33333333333334,32.7473109989371,24,1.0,1,3,Thursday,1,2025-01,0,0.0,1.0,1.0,-1.7043468750000024,66.404790625,25.291148131488118,0.6666666666666666,0.8571428571428571,33.080781696428566,2025
2025-01-24,49.89634062499999,1197.5121749999998,57.19620877246321,79.16666666666666,28.25771785241707,24,1.0,1,4,Friday,1,2025-01,0,1.0,0.0,1.0,59.97516666666667,-1.7043468750000024,32.7473109989371,0.6666666666666666,0.8571428571428571,35.720620982142854,2025
2025-01-25,58.12646458333333,1395.03515,54.33100854375443,83.33333333333334,24.448641727632154,24,1.0,1,5,Saturday,1,2025-01,1,1.0,1.0,0.0,49.89634062499999,59.97516666666667,28.25771785241707,0.6666666666666666,0.8571428571428571,41.08533303571428,2025
2025-01-26,50.39777708333333,1209.54665,39.980959028278946,91.66666666666666,28.877102042500898,24,1.0,1,6,Sunday,1,2025-01,1,1.0,1.0,1.0,58.12646458333333,49.89634062499999,24.448641727632154,1.0,0.8571428571428571,45.053027232142846,2025
2025-01-27,68.26487291666666,1638.3569499999999,53.486560758429896,91.66666666666666,33.42730541191602,24,1.0,1,0,Monday,1,2025-01,0,1.0,1.0,1.0,50.39777708333333,58.12646458333333,28.877102042500898,1.0,0.8571428571428571,48.95163065476191,2025
2025-01-28,36.94446666666666,886.6672,41.815931766403125,75.0,27.80593959768412,24,1.0,1,1,Tuesday,1,2025-01,0,1.0,1.0,1.0,68.26487291666666,50.39777708333333,33.42730541191602,1.0,0.8571428571428571,50.19443794642856,2025
2025-01-29,22.147055208333327,531.5293249999999,42.64033640515238,66.66666666666666,28.422353617435135,24,1.0,1,2,Wednesday,1,2025-01,0,1.0,1.0,1.0,36.94446666666666,68.26487291666666,27.80593959768412,1.0,0.8571428571428571,45.98582023809523,2025
