datetime,reg_mean,reg_std,reg_range,reg_abs_mean,reg_count,imbalance,imb_price,idm_price,idm_imb_spread,month,year_month,reg_vol_quartile,period
2025-01-02 10:00:00,44.126,17.481717502792954,66.44800000000001,44.126,60,-41.344,117.664725,118.50999999999999,0.8452749999999867,2025-01,2025-01,Q1 (Low),2025
2025-01-02 11:00:00,26.4051,27.347312790058336,101.966,31.3255,60,-28.337,101.12847500000001,121.725,20.596524999999986,2025-01,2025-01,Q3,2025
2025-01-02 12:00:00,-60.58835,43.24435843751221,153.445,64.91045000000001,60,66.644,69.994375,126.065,56.07062499999999,2025-01,2025-01,Q4 (High),2025
2025-01-02 13:00:00,-84.83375,14.215676303537204,49.17099999999999,84.83375000000004,60,84.735,71.959325,115.265,43.305674999999994,2025-01,2025-01,Q1 (Low),2025
2025-01-02 14:00:00,-19.5896,30.882201295474996,125.66300000000001,26.668699999999998,60,13.465,213.338525,111.095,-102.243525,2025-01,2025-01,Q3,2025
2025-01-02 15:00:00,5.081472727272726,22.57851551877691,89.137,17.194454545454548,55,-6.324000000000001,98.7109,121.665,22.95410000000001,2025-01,2025-01,Q2,2025
2025-01-02 16:00:00,-22.73935,23.846357767460606,96.838,27.837950000000003,60,22.717,82.150825,112.265,30.114175000000003,2025-01,2025-01,Q2,2025
2025-01-02 17:00:00,-68.31505,32.235890243285034,134.995,71.03514999999999,60,74.499,41.956475,138.58999999999997,96.63352499999998,2025-01,2025-01,Q3,2025
2025-01-02 18:00:00,-39.014300000000006,22.59186699264935,94.47999999999999,39.0143,60,38.403,45.485575,138.14,92.65442499999999,2025-01,2025-01,Q2,2025
2025-01-02 19:00:00,-22.34265,22.679050765435186,98.69200000000001,24.061249999999998,60,21.21,29.29875,141.07999999999998,111.78124999999999,2025-01,2025-01,Q2,2025
2025-01-02 20:00:00,3.38565,49.11107386075752,185.293,39.21515000000001,60,-0.48299999999999876,94.4415,191.265,96.82349999999998,2025-01,2025-01,Q4 (High),2025
2025-01-02 21:00:00,-15.7391,31.7499897161067,159.368,25.132500000000004,60,9.675,50.191325,135.88,85.68867499999999,2025-01,2025-01,Q3,2025
2025-01-02 22:00:00,19.3574,41.32904296307946,138.933,29.825699999999994,60,-20.175,143.734975,149.26,5.525024999999999,2025-01,2025-01,Q4 (High),2025
2025-01-02 23:00:00,-3.22145,25.814927387354913,81.352,22.08975,60,3.376,43.38525,124.755,81.36975,2025-01,2025-01,Q3,2025
2025-01-03 00:00:00,-81.41029999999999,44.19351215759762,174.66,81.555,60,87.523,8.16725,118.50500000000001,110.33775000000001,2025-01,2025-01,Q4 (High),2025
2025-01-03 01:00:00,-65.03135,37.61031907346211,121.35300000000001,65.03134999999999,60,66.562,11.125175000000002,124.94500000000001,113.81982500000001,2025-01,2025-01,Q4 (High),2025
2025-01-03 02:00:00,-85.298,37.75987939689158,145.812,85.29800000000002,60,84.64500000000001,-59.73095,105.645,165.37595,2025-01,2025-01,Q4 (High),2025
2025-01-03 03:00:00,-50.360099999999996,43.32429731244294,140.55300000000003,50.64189999999999,60,45.555,-15.265775,88.775,104.04077500000001,2025-01,2025-01,Q4 (High),2025
2025-01-03 04:00:00,-26.7875,9.748410188507144,31.611999999999995,26.787500000000005,60,26.257,13.787925000000001,68.70500000000001,54.91707500000001,2025-01,2025-01,Q1 (Low),2025
2025-01-03 05:00:00,-56.77845,34.76855945813787,123.60799999999999,56.94885000000001,60,57.444,5.52105,71.66,66.13895,2025-01,2025-01,Q4 (High),2025
2025-01-03 06:00:00,-46.24285,46.221311326484795,163.152,52.91514999999999,60,44.17,37.17225,61.265,24.092750000000002,2025-01,2025-01,Q4 (High),2025
2025-01-03 07:00:00,-49.53895,31.53777442166827,133.159,49.589050000000015,60,49.662,0.9624749999999997,139.36,138.397525,2025-01,2025-01,Q3,2025
2025-01-03 08:00:00,-50.131049999999995,27.516460449618585,95.762,50.22565000000001,60,54.116,56.37695,139.065,82.68805,2025-01,2025-01,Q3,2025
2025-01-03 09:00:00,8.0229,30.888485929335864,166.20999999999998,21.1374,60,-12.675,145.2891,163.375,18.08590000000001,2025-01,2025-01,Q3,2025
2025-01-03 10:00:00,-17.3276,21.78204921816065,67.952,21.324300000000004,60,20.59,16.9718,121.345,104.3732,2025-01,2025-01,Q2,2025
2025-01-03 11:00:00,-18.9345,23.627736256931573,108.27699999999999,24.594899999999996,60,21.361,64.1628,125.375,61.212199999999996,2025-01,2025-01,Q2,2025
2025-01-03 12:00:00,-81.08685,14.538417249813037,57.25000000000001,81.08685000000004,60,79.201,35.359225,123.31,87.950775,2025-01,2025-01,Q1 (Low),2025
2025-01-03 13:00:00,-60.9589,14.88761778043321,58.464000000000006,60.95889999999999,60,61.753,3.0738000000000003,97.985,94.9112,2025-01,2025-01,Q1 (Low),2025
2025-01-03 14:00:00,-88.4559,24.746794031496048,90.88,88.45589999999997,60,87.464,-8.245775,75.91999999999999,84.16577499999998,2025-01,2025-01,Q2,2025
2025-01-03 15:00:00,-103.84275000000001,36.472266989360854,150.31300000000002,103.84275,60,104.69200000000001,-9.45285,105.555,115.00785,2025-01,2025-01,Q4 (High),2025
2025-01-03 16:00:00,-128.783,31.999354789575882,110.50300000000001,128.78299999999996,60,130.285,6.7427,63.519999999999996,56.7773,2025-01,2025-01,Q3,2025
2025-01-03 17:00:00,-93.47205000000001,29.10411739607022,95.18800000000002,93.47205000000001,60,95.431,17.726725000000002,110.255,92.528275,2025-01,2025-01,Q3,2025
2025-01-03 18:00:00,-46.8955,35.030237287089996,136.69299999999998,47.002399999999994,60,44.447,-12.440625,173.035,185.475625,2025-01,2025-01,Q4 (High),2025
2025-01-03 19:00:00,-35.66365,22.861263925366295,83.761,35.73405,60,37.514,-1.7369,162.58499999999998,164.32189999999997,2025-01,2025-01,Q2,2025
