date,spread_mean,direction_binary,period,da_price_mean,da_price_std,da_price_max,da_price_min,da_price_range,morning_idm_price,morning_imb_price,morning_spread,morning_spread_positive,prev_afternoon_spread,prev_afternoon_positive
2025-01-01,-75.84758068181817,0,2025,74.14166666666667,61.85923977004194,180.0,-5.71,185.71,124.0775,307.8942666666666,-183.81676666666667,0.16666666666666666,,
2025-01-02,61.73525729166666,1,2025,112.85791666666667,34.40233371497103,157.86,48.58,109.28000000000002,103.13214285714285,38.14279642857143,64.98934642857144,0.8571428571428571,-30.731452083333327,0.3333333333333333
2025-01-03,101.72439791666666,1,2025,127.71541666666667,26.75208857822323,166.41,87.22,79.19,91.35714285714286,0.1109892857142855,91.24615357142856,1.0,51.723099999999995,0.9166666666666666
2025-01-04,40.003815217391306,1,2025,120.30958333333332,14.539132047285555,153.4,100.71,52.69000000000001,102.88142857142857,40.761517857142856,62.119910714285716,0.7142857142857143,116.49213333333334,1.0
2025-01-05,18.0478375,1,2025,109.64791666666667,25.873479115843143,199.05,78.56,120.49000000000001,102.575,113.27289642857143,-10.697896428571426,0.2857142857142857,18.47202727272727,0.7272727272727273
2025-01-06,40.759729166666666,1,2025,116.805,28.473539050967236,161.34,74.49,86.85000000000001,68.7,79.47131785714285,-10.77131785714286,0.7142857142857143,18.43533125,0.6666666666666666
2025-01-07,64.47791354166667,1,2025,120.40458333333333,43.0873324448166,177.08,14.38,162.70000000000002,55.06214285714286,-46.04900714285714,101.11115,0.8571428571428571,84.00174791666667,0.8333333333333334
2025-01-08,45.81731770833333,1,2025,119.86291666666666,28.832459135821914,170.1,70.87,99.22999999999999,82.73285714285714,11.602560714285715,71.13029642857143,0.8571428571428571,59.85519374999999,0.9166666666666666
2025-01-09,37.87070729166667,1,2025,125.41041666666666,19.880310442674222,159.74,89.22,70.52000000000001,101.07214285714285,109.59159642857142,-8.519453571428578,0.2857142857142857,39.0425125,0.75
2025-01-10,19.448357291666664,1,2025,117.09750000000001,23.923829352124322,151.83,71.5,80.33000000000001,83.39214285714286,45.381639285714286,38.01050357142857,0.5714285714285714,49.68156666666667,1.0
2025-01-11,49.106344791666665,1,2025,101.64708333333334,6.164146317118098,114.54,91.63,22.91000000000001,93.27428571428571,35.63606071428571,57.638225,1.0,20.35494166666666,0.75
2025-01-12,30.93314375,1,2025,110.94875,20.516036211895944,146.66,85.0,61.66,87.26928571428572,50.71486071428571,36.554425,0.8571428571428571,41.071989583333334,0.75
2025-01-13,5.102516666666664,1,2025,137.90375,30.569503105361317,220.91,100.0,120.91,105.99785714285714,119.41567857142857,-13.417821428571433,0.42857142857142855,17.899364583333334,0.5833333333333334
2025-01-14,5.294644791666663,1,2025,151.34541666666667,41.477191425101246,219.0,100.22,118.78,110.12,239.32672499999998,-129.206725,0.2857142857142857,12.971591666666663,0.6666666666666666
2025-01-15,78.53805208333333,1,2025,228.79833333333332,93.99970211176974,368.41,108.81,259.6,123.9692857142857,100.59169642857144,23.377589285714276,0.5714285714285714,95.99555416666665,0.75
2025-01-16,41.49629166666666,1,2025,157.45624999999998,31.176789835653715,222.89,115.28,107.60999999999999,125.3307142857143,104.00148928571427,21.329225000000008,0.8571428571428571,78.49348958333334,0.8333333333333334
2025-01-17,12.343356250000005,1,2025,147.15875,25.89288928954954,208.13,116.12,92.00999999999999,118.66,54.65951428571429,64.0004857142857,0.8571428571428571,61.506668749999996,0.75
2025-01-18,30.35260520833333,1,2025,137.03791666666666,20.075242589723086,182.1,115.01,67.08999999999999,128.55142857142857,73.261625,55.28980357142858,0.8571428571428571,-9.951424999999993,0.5
2025-01-19,23.107553125,1,2025,134.42958333333334,21.27250184161348,174.04,107.51,66.52999999999999,120.04857142857144,43.85221071428571,76.1963607142857,1.0,34.846252083333326,0.6666666666666666
2025-01-20,59.565221875,1,2025,233.35625000000002,125.08165381105535,563.13,114.41,448.72,120.205,70.36916428571429,49.835835714285714,0.8571428571428571,1.7585354166666658,0.5
2025-01-21,66.404790625,1,2025,234.55083333333334,96.09051230895327,517.52,130.12,387.4,144.04714285714286,147.38318928571428,-3.3360464285714255,0.2857142857142857,24.758220833333336,0.6666666666666666
2025-01-22,-1.7043468750000024,0,2025,199.01958333333334,68.54454524196319,400.0,123.21,276.79,130.89285714285714,98.97966071428571,31.91319642857143,0.7142857142857143,73.14636041666667,0.75
2025-01-23,59.97516666666667,1,2025,176.74791666666667,43.51548379891487,244.31,109.64,134.67000000000002,129.21857142857144,153.62975357142858,-24.41118214285714,0.5714285714285714,-42.67423541666667,0.6666666666666666
2025-01-24,49.89634062499999,1,2025,166.13291666666666,45.112871630781406,243.35,107.16,136.19,111.34214285714286,103.59762500000001,7.744517857142857,0.5714285714285714,104.69923125000001,1.0
2025-01-25,58.12646458333333,1,2025,118.91208333333333,29.622577168094438,167.08,84.36,82.72000000000001,104.45,95.70449642857143,8.74550357142857,0.5714285714285714,60.14539583333333,0.8333333333333334
2025-01-26,50.39777708333333,1,2025,114.8275,15.172492630042555,143.13,77.0,66.13,110.57214285714285,61.668485714285715,48.90365714285714,1.0,91.0211875,1.0
2025-01-27,68.26487291666666,1,2025,130.14416666666668,58.010905864978206,217.63,30.97,186.66,66.13357142857143,36.43628214285714,29.697289285714284,0.8571428571428571,58.7794,0.8333333333333334
2025-01-28,36.94446666666666,1,2025,122.14708333333333,21.1601657097084,150.91,82.04,68.86999999999999,93.91499999999999,72.37894642857142,21.53605357142857,0.5714285714285714,88.43183749999999,0.9166666666666666
2025-01-29,22.147055208333327,1,2025,126.34666666666668,38.44652273151536,196.54,81.65,114.88999999999999,86.855,107.31888571428571,-20.463885714285727,0.14285714285714285,46.65585625,0.8333333333333334
