datetime,direction,pred,target,size,pnl,spread,thresh_s,thresh_d,month,week
2026-02-02 01:00:00,deficit,-4.861805482667442,-15.345,4.861805482667442,9.694531291291673,0.9099999999999966,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 03:15:00,deficit,-3.0291109834990304,-7.771,3.0291109834990304,13.344937757241443,2.0400000000000063,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 03:30:00,deficit,-3.2314839253676744,-8.492,3.2314839253676744,17.08021025527618,0.6499999999999915,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 05:00:00,deficit,-3.147331246948977,5.153,3.147331246948977,-6.4572418236231535,1.4899999999999949,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 11:00:00,deficit,-3.4474354320458547,-17.793,3.4474354320458547,26.194109981527756,3.710000000000008,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 12:30:00,deficit,-6.568547630747256,-12.314,5.0,24.845437500000003,1.9799999999999898,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 13:30:00,deficit,-12.56609289081975,-5.338,5.0,33.73100000000001,3.0500000000000114,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 14:00:00,deficit,-11.42720314741393,-4.998,5.0,64.31012500000001,7.329999999999984,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 14:15:00,deficit,-10.49083940588369,-1.174,5.0,70.94762500000002,5.579999999999984,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 14:30:00,deficit,-9.47643970844969,-1.856,5.0,59.46012500000002,6.340000000000003,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 21:30:00,deficit,-3.8312046201905656,-6.134,3.8312046201905656,8.83164500040555,5.700000000000003,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 23:00:00,deficit,-5.740221692815302,-4.278,5.0,-22.822843750000015,3.990000000000009,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-02 23:30:00,deficit,-3.2839295400942867,1.377,3.2839295400942867,6.62674404175439,1.2299999999999898,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 00:30:00,deficit,-5.8276924827168095,5.431,5.0,-10.105000000000004,1.2199999999999989,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 00:45:00,deficit,-5.25871546375816,5.85,5.0,-7.2050000000000125,0.8200000000000074,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 01:00:00,deficit,-6.2297314536011745,8.634,5.0,-16.856156249999987,0.519999999999996,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 01:15:00,deficit,-4.300218138231314,9.679,4.300218138231314,-3.6927316971160407,0.8499999999999943,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 01:30:00,deficit,-3.0251144733181365,15.176,3.0251144733181365,0.1021543343708622,1.4500000000000028,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 09:00:00,deficit,-8.889190429672182,-8.539,5.0,53.55921875,5.1200000000000045,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 09:15:00,deficit,-6.489641885680717,-0.054,5.0,85.43421875,5.060000000000002,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 09:45:00,deficit,-7.982608363354241,-7.611,5.0,128.90921875,5.849999999999994,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-03 13:00:00,deficit,-6.503244548394757,-5.116,5.0,45.86525000000002,8.550000000000011,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-04 04:00:00,surplus,4.186658022515758,1.63,4.186658022515758,0.09399047260547538,0.10999999999999943,3.0,3.0,2026-02,2026-02-02/2026-02-08
2026-02-04 04:15:00,surplus,3.5988039785719375,3.318,3.5988039785719375,0.1707632487832432,0.09000000000000341,3.0,3.0,2026-02,2026-02-02/2026-02-08
