datetime,target,pred_median,direction,size,bid,ask,mid,spread,imb_settlement_price,pnl
2026-02-01 00:00:00,-2.545,-2.4625057456003807,deficit,2.4625057456003807,103.52,103.85,103.685,0.3299999999999983,120.21175,10.072725845769257
2026-02-01 01:45:00,-2.962,3.3004834598663786,surplus,3.3004834598663786,99.48,99.96,99.72,0.4799999999999897,121.37345,-18.064742401102894
2026-02-01 02:30:00,-0.9,-2.111019479664733,deficit,2.111019479664733,104.61,106.3,105.455,1.6899999999999975,106.5622,0.138377326892027
2026-02-01 06:00:00,16.756,2.623988460677567,surplus,2.623988460677567,94.31,95.4,94.855,1.0900000000000034,95.44635,-0.7454423218227337
2026-02-01 07:00:00,16.918,3.696437379473028,surplus,3.696437379473028,96.97,97.14,97.055,0.1700000000000017,85.032,11.032017359037255
2026-02-01 07:15:00,18.233,3.1360551745049987,surplus,3.1360551745049987,97.28,97.89,97.585,0.6099999999999994,85.032,9.60260094433431
2026-02-01 07:30:00,15.954,2.963782062629509,surplus,2.963782062629509,100.7,101.03,100.865,0.3299999999999983,85.032,11.609134339319791
2026-02-01 07:45:00,14.548,3.301539228368338,surplus,3.301539228368338,101.84,102.96,102.4,1.1199999999999903,85.032,13.873067837603761
2026-02-01 08:15:00,21.303,2.4261811674807348,surplus,2.4261811674807348,103.38,103.79,103.585,0.4100000000000108,88.973,8.738498019973735
2026-02-01 08:30:00,18.138,3.3375656195925,surplus,3.3375656195925,108.61,109.51,109.06,0.9000000000000057,88.973,16.38494401798448
2026-02-01 08:45:00,20.1,4.479206220463524,surplus,4.479206220463524,104.13,105.72,104.925,1.5900000000000034,88.973,16.972832170891405
2026-02-01 12:00:00,3.589,-4.884591512232549,deficit,4.884591512232549,105.21,105.7,105.455,0.4900000000000091,119.884525,17.321402605012594
2026-02-01 12:15:00,2.032,-7.558737276093313,deficit,5.0,101.25,101.26,101.255,0.0100000000000051,119.884525,23.28065624999999
2026-02-01 12:30:00,-3.797,-5.987443805242855,deficit,5.0,104.12,105.4,104.76,1.2800000000000011,119.884525,18.10565624999999
2026-02-01 12:45:00,-9.488,-6.044691694426419,deficit,5.0,95.07,96.6,95.835,1.5300000000000011,119.884525,29.105656250000003
2026-02-01 13:00:00,-13.753,-6.25069054030528,deficit,5.0,99.18,99.2,99.19,0.019999999999996,112.7419,16.927374999999998
2026-02-01 14:00:00,-1.289,-3.0063834140509123,deficit,3.0063834140509123,97.58,97.99,97.785,0.4099999999999966,117.196875,14.435807608937287
2026-02-01 14:15:00,-8.799,-2.613456091125369,deficit,2.613456091125369,98.8,98.81,98.805,0.0100000000000051,117.196875,12.013322616377694
2026-02-01 14:45:00,-1.559,-2.819183313039553,deficit,2.819183313039553,98.93,99.98,99.455,1.0499999999999972,117.196875,12.134381675671966
2026-02-01 15:00:00,-3.802,-4.7996277963391245,deficit,4.7996277963391245,103.03,103.63,103.33,0.5999999999999943,122.62345,22.790372642094347
2026-02-01 15:15:00,-6.149,-4.630966399097698,deficit,4.630966399097698,103.94,104.94,104.44,1.0,122.62345,20.472865692531055
2026-02-01 15:30:00,-15.98,-3.0748898378143954,deficit,3.0748898378143954,153.27,,153.27,,122.62345,
2026-02-01 15:45:00,6.354,-4.269415002314903,deficit,4.269415002314903,141.12,,141.12,,122.62345,
2026-02-01 16:00:00,6.633,-3.7195456810362177,deficit,3.7195456810362177,106.03,109.47,107.75,3.4399999999999977,85.0545,-22.703641893834938
2026-02-01 16:15:00,2.944,-3.159931131261329,deficit,3.159931131261329,169.16,184.12,176.64,14.960000000000008,85.0545,-78.2600393709923
2026-02-01 16:30:00,4.01,-4.807225961894865,deficit,4.807225961894865,145.72,164.98,155.35,19.25999999999999,85.0545,-96.05498465435699
2026-02-01 16:45:00,10.885,-4.845085478915398,deficit,4.845085478915398,143.33,151.43,147.38,8.099999999999994,85.0545,-80.39874280143725
2026-02-01 17:00:00,0.265,-3.873709284938029,deficit,3.873709284938029,140.74,168.32,154.53,27.579999999999984,123.4845,-43.419923161209745
2026-02-01 17:15:00,2.578,-2.374808568536872,deficit,2.374808568536872,161.6,,161.6,,123.4845,
2026-02-01 17:30:00,1.096,-2.474042292435279,deficit,2.474042292435279,159.14,165.89,162.515,6.75,123.4845,-26.228250107966048
2026-02-01 20:45:00,2.155,2.339214760723367,surplus,2.339214760723367,131.0,135.72,133.36,4.719999999999999,112.09545,11.055450601208232
2026-02-01 21:45:00,9.329,3.6322008797538414,surplus,3.6322008797538414,101.61,114.84,108.225,13.230000000000004,101.57075,0.035640971132580544
2026-02-01 22:30:00,-6.081,3.1309484393918137,surplus,3.1309484393918137,130.73,141.37,136.05,10.640000000000017,138.442425,-6.036801254419099
2026-02-01 22:45:00,-1.109,4.098136951092318,surplus,4.098136951092318,111.55,114.95,113.25,3.4000000000000057,138.442425,-27.552210149244697
2026-02-01 23:15:00,8.601,3.209696141850253,surplus,3.209696141850253,104.33,105.62,104.975,1.2900000000000065,86.388,14.397092044269304
2026-02-01 23:30:00,11.778,3.7963369666645903,surplus,3.7963369666645903,104.87,105.13,105.0,0.2599999999999909,86.388,17.54097495447374
2026-02-01 23:45:00,21.952,2.517377517125932,surplus,2.517377517125932,98.78,98.82,98.8,0.039999999999992,86.388,7.798835548056135
2026-02-02 00:15:00,-7.498,-2.040293246399454,deficit,2.040293246399454,113.6,114.08,113.84,0.480000000000004,105.9961,-4.123381643642136
2026-02-02 00:45:00,-4.755,3.301502947290312,surplus,3.301502947290312,104.46,105.12,104.79,0.6600000000000108,105.9961,-1.267859669333166
2026-02-02 01:15:00,-10.264,2.203224896334908,surplus,2.203224896334908,104.77,106.19,105.48,1.4200000000000017,119.866075,-8.315012069234749
2026-02-02 01:30:00,-5.791,2.2841076147463912,surplus,2.2841076147463912,106.06,107.5,106.78,1.4399999999999975,119.866075,-7.883640259314942
2026-02-02 02:00:00,-7.928,-3.918790612028198,deficit,3.918790612028198,105.27,106.1,105.685,0.8299999999999983,116.5417,10.22970898340372
2026-02-02 02:15:00,-7.512,-3.1702717843375776,deficit,3.1702717843375776,101.39,103.31,102.35,1.9200000000000017,116.5417,10.487021292204885
2026-02-02 02:30:00,-4.408,-5.382753942346632,deficit,5.0,101.81,102.59,102.2,0.7800000000000011,116.5417,17.439625000000003
2026-02-02 02:45:00,-8.014,-4.312232576190419,deficit,4.312232576190419,105.06,105.4,105.23,0.3400000000000034,116.5417,12.011400423535198
2026-02-02 03:00:00,-8.052,-3.496687120650921,deficit,3.496687120650921,105.92,106.79,106.355,0.8700000000000045,124.80225,15.745800647236132
2026-02-02 03:15:00,-7.771,-3.617854337362294,deficit,3.617854337362294,104.26,104.27,104.265,0.0099999999999909,124.80225,18.570672429576746
2026-02-02 03:30:00,-8.492,-2.901345119126293,deficit,2.901345119126293,103.81,103.86,103.835,0.0499999999999971,124.80225,15.190173705255653
2026-02-02 03:45:00,-8.165,-4.730545733306664,deficit,4.730545733306664,105.5,106.1,105.8,0.5999999999999943,124.80225,22.117962235183644
2026-02-02 04:00:00,-7.278,-2.747542418855253,deficit,2.747542418855253,107.85,108.31,108.08,0.4600000000000079,101.68415,-4.551200983993019
2026-02-02 04:15:00,-4.587,-4.011411877863955,deficit,4.011411877863955,109.07,109.26,109.165,0.1900000000000119,101.68415,-7.5974636687289125
2026-02-02 04:30:00,-2.184,-2.8071789337044173,deficit,2.8071789337044173,112.45,113.48,112.965,1.0300000000000011,101.68415,-8.278265406284314
2026-02-02 04:45:00,1.691,-3.0709280185954384,deficit,3.0709280185954384,109.95,111.04,110.495,1.0900000000000034,101.68415,-7.182785475694036
2026-02-02 06:00:00,16.479,2.631465920843552,surplus,2.631465920843552,125.27,129.95,127.61,4.679999999999993,122.8623,1.5839451244037492
2026-02-02 06:15:00,13.052,3.358749847480537,surplus,3.358749847480537,179.63,180.11,179.87,0.4800000000000182,122.8623,47.66712592920521
2026-02-02 07:00:00,23.602,2.6362917355372764,surplus,2.6362917355372764,150.33,191.3,170.815,40.97,67.87075,54.34665982340054
2026-02-02 08:45:00,1.079,3.660432413358789,surplus,3.660432413358789,,158.69,158.69,,68.57025,
2026-02-02 09:30:00,-8.948,-2.525972320512324,deficit,2.525972320512324,190.02,226.34,208.18,36.31999999999999,197.2576,-18.365334353516907
2026-02-02 09:45:00,-3.496,-2.517120109380243,deficit,2.517120109380243,183.51,197.99,190.75,14.480000000000018,197.2576,-0.4608846920275304
2026-02-02 10:00:00,-3.229,-3.421690849001526,deficit,3.421690849001526,168.22,175.98,172.1,7.759999999999991,179.916125,3.3670507232565363
2026-02-02 10:30:00,-13.353,-2.751859893456785,deficit,2.751859893456785,170.63,189.25,179.94,18.620000000000005,179.916125,-6.421379065759742
2026-02-02 11:00:00,-17.793,-4.7049962241441285,deficit,4.7049962241441285,156.52,186.73,171.625,30.20999999999998,193.102575,7.4957353282688315
2026-02-02 11:15:00,-11.68,-5.704339712926011,deficit,5.0,,178.2,178.2,,193.102575,18.628218750000016
2026-02-02 11:30:00,-16.001,-4.538690392441136,deficit,4.538690392441136,166.24,171.99,169.115,5.75,193.102575,23.95586032804822
2026-02-02 11:45:00,-15.137,-5.378422831730104,deficit,5.0,166.04,178.56,172.3,12.52000000000001,193.102575,18.17821875
2026-02-02 12:00:00,-9.002,-7.4312394994401245,deficit,5.0,149.21,154.17,151.69,4.95999999999998,167.21635,16.307937500000023
2026-02-02 12:15:00,-13.803,-8.557472250129809,deficit,5.0,171.41,,171.41,,167.21635,
2026-02-02 12:30:00,-12.314,-10.416331845293117,deficit,5.0,157.23,197.3,177.265,40.07000000000002,167.21635,-37.60456250000001
2026-02-02 12:45:00,-12.684,-11.791423586596652,deficit,5.0,165.0,166.48,165.74,1.4799999999999898,167.21635,0.9204375000000198
2026-02-02 13:00:00,-10.566,-13.520057475623547,deficit,5.0,153.92,168.11,161.015,14.190000000000026,167.9848,-0.1565000000000083
2026-02-02 13:15:00,-13.783,-11.590134096784912,deficit,5.0,164.5,165.0,164.75,0.5,167.9848,3.7310000000000088
2026-02-02 13:30:00,-5.338,-10.555329877497243,deficit,5.0,157.82,,157.82,,167.9848,
2026-02-02 13:45:00,-3.683,-11.430999497937034,deficit,5.0,150.0,171.27,160.635,21.27000000000001,167.9848,-4.106500000000004
2026-02-02 14:00:00,-4.998,-10.5103723731397,deficit,5.0,,181.72,181.72,,199.8581,22.67262500000001
2026-02-02 14:15:00,-1.174,-11.910899878876531,deficit,5.0,170.0,183.82,176.91,13.819999999999991,199.8581,20.047625000000018
2026-02-02 14:30:00,-1.856,-10.464883145497312,deficit,5.0,157.25,,157.25,,199.8581,
2026-02-02 14:45:00,-8.687,-9.64812258240159,deficit,5.0,238.26,267.97,253.115,29.71000000000004,199.8581,-85.13987500000002
