delivery_start,lead_minutes,snapshot_time,bid,ask,mid,spread,mid_move_from_start,mid_change_15min,mid_change_1h,spread_change_15min,n_updates_session,session_start_mid
2024-03-01 00:00:00,60,2024-02-29 22:59:31.944,58.2,59.14,58.67,0.9399999999999977,-18.370000000000005,-1.5699999999999932,-1.3299999999999983,0.05999999999999517,1039,77.04
2024-03-01 00:00:00,75,2024-02-29 22:44:31.984,59.8,60.68,60.239999999999995,0.8800000000000026,-16.80000000000001,-6.105000000000004,-2.3600000000000065,0.5700000000000003,1039,77.04
2024-03-01 00:00:00,90,2024-02-29 22:29:32.272,66.19,66.5,66.345,0.3100000000000023,-10.695000000000007,4.795000000000002,193.865,-0.18999999999999773,1039,77.04
2024-03-01 00:00:00,105,2024-02-29 22:14:32.810,61.3,61.8,61.55,0.5,-15.490000000000009,1.5499999999999972,142.74,,1039,77.04
2024-03-01 00:00:00,120,2024-02-29 21:59:31.423,60.0,,60.0,,-17.040000000000006,-2.6000000000000014,144.05,,1039,77.04
2024-03-01 01:00:00,60,2024-02-29 23:59:31.620,,60.24,60.24,,-13.059999999999995,0.6799999999999997,1.6300000000000026,,838,73.3
2024-03-01 01:00:00,75,2024-02-29 23:44:32.217,59.56,,59.56,,-13.739999999999995,-2.509999999999998,-3.1850000000000023,,838,73.3
2024-03-01 01:00:00,90,2024-02-29 23:29:32.332,62.07,,62.07,,-11.229999999999997,-2.490000000000002,-12.589999999999996,,838,73.3
2024-03-01 01:00:00,105,2024-02-29 23:14:32.092,,64.56,64.56,,-8.739999999999995,5.950000000000003,7.390000000000001,,838,73.3
2024-03-01 01:00:00,120,2024-02-29 22:59:31.944,58.61,,58.61,,-14.689999999999998,-4.135000000000005,-8.875,,838,73.3
2024-03-01 02:00:00,60,2024-03-01 00:59:33.223,,69.45,69.45,,-30.75999999999999,-4.5,-1.5999999999999943,,837,100.21
2024-03-01 02:00:00,75,2024-03-01 00:44:31.888,,73.95,73.95,,-26.25999999999999,6.719999999999999,-0.8599999999999994,,837,100.21
2024-03-01 02:00:00,90,2024-03-01 00:28:01.682,67.23,,67.23,,-32.97999999999999,-7.709999999999994,-11.920000000000002,,837,100.21
2024-03-01 02:00:00,105,2024-03-01 00:13:33.635,,74.94,74.94,,-25.269999999999996,3.8900000000000006,-1.240000000000009,,837,100.21
2024-03-01 02:00:00,120,2024-02-29 23:59:31.620,,71.05,71.05,,-29.159999999999997,-3.760000000000005,-3.8400000000000034,,837,100.21
2024-03-01 03:00:00,60,2024-03-01 01:59:31.851,73.85,,73.85,,-2.1500000000000057,0.36999999999999034,-0.05000000000001137,,929,76.0
2024-03-01 03:00:00,75,2024-03-01 01:44:32.851,73.48,,73.48,,-2.519999999999996,4.579999999999998,-0.20999999999999375,,929,76.0
2024-03-01 03:00:00,90,2024-03-01 01:29:31.489,,68.9,68.9,,-7.099999999999994,-5.640000000000001,-4.359999999999999,,929,76.0
2024-03-01 03:00:00,105,2024-03-01 01:14:33.170,74.54,,74.54,,-1.4599999999999937,0.6400000000000006,-1.5899999999999892,,929,76.0
2024-03-01 03:00:00,120,2024-03-01 00:59:33.223,,73.9,73.9,,-2.0999999999999943,0.21000000000000796,-0.2599999999999909,,929,76.0
2024-03-01 04:00:00,60,2024-03-01 02:59:32.233,,89.01,89.01,,3.010000000000005,9.200000000000003,8.950000000000003,,754,86.0
2024-03-01 04:00:00,75,2024-03-01 02:43:02.224,,79.81,79.81,,-6.189999999999998,-9.099999999999994,-11.549999999999997,,754,86.0
2024-03-01 04:00:00,90,2024-03-01 02:29:31.766,,88.91,88.91,,2.9099999999999966,8.789999999999992,1.1499999999999915,,754,86.0
2024-03-01 04:00:00,105,2024-03-01 02:14:04.394,,80.12,80.12,,-5.8799999999999955,0.060000000000002274,-10.39,,754,86.0
2024-03-01 04:00:00,120,2024-03-01 01:58:31.884,,80.06,80.06,,-5.939999999999998,-11.299999999999997,-5.284999999999997,,754,86.0
2024-03-01 05:00:00,60,2024-03-01 03:59:31.509,,69.38,69.38,,-17.620000000000005,0.45999999999999375,-6.77000000000001,,1209,87.0
2024-03-01 05:00:00,75,2024-03-01 03:43:31.117,,68.92,68.92,,-18.08,-13.89,-9.689999999999998,,1209,87.0
2024-03-01 05:00:00,90,2024-03-01 03:29:31.357,,82.81,82.81,,-4.189999999999998,2.8900000000000006,10.829999999999998,,1209,87.0
2024-03-01 05:00:00,105,2024-03-01 03:14:31.313,,79.92,79.92,,-7.079999999999998,3.769999999999996,0.4399999999999977,,1209,87.0
2024-03-01 05:00:00,120,2024-03-01 02:59:32.233,76.15,,76.15,,-10.849999999999994,-2.4599999999999937,11.710000000000008,,1209,87.0
2024-03-02 00:00:00,60,2024-03-01 22:59:32.514,,79.99,79.99,,0.03999999999999204,-5.015000000000001,19.934999999999995,,1653,79.95
2024-03-02 00:00:00,75,2024-03-01 22:44:35.490,80.51,89.5,85.005,8.989999999999995,5.054999999999993,-6.984999999999999,30.004999999999995,,1653,79.95
2024-03-02 00:00:00,90,2024-03-01 22:29:31.923,,91.99,91.99,,12.039999999999992,31.429999999999993,36.989999999999995,,1653,79.95
2024-03-02 00:00:00,105,2024-03-01 22:14:31.872,,60.56,60.56,,-19.39,0.5050000000000026,5.560000000000002,,1653,79.95
2024-03-02 00:00:00,120,2024-03-01 21:59:31.641,59.81,60.3,60.055,0.4899999999999949,-19.895000000000003,5.055,11.055,,1653,79.95
2024-03-02 01:00:00,60,2024-03-01 23:59:02.445,,67.98,67.98,,-6.8999999999999915,3.489999999999995,-1.7000000000000028,,2893,74.88
2024-03-02 01:00:00,75,2024-03-01 23:43:01.734,61.0,67.98,64.49000000000001,6.980000000000004,-10.389999999999986,-0.5099999999999909,-3.3999999999999915,,2893,74.88
2024-03-02 01:00:00,90,2024-03-01 23:27:31.630,65.0,,65.0,,-9.879999999999995,-4.950000000000003,-5.5,,2893,74.88
2024-03-02 01:00:00,105,2024-03-01 23:14:31.696,,69.95,69.95,,-4.929999999999993,0.269999999999996,15.46,,2893,74.88
2024-03-02 01:00:00,120,2024-03-01 22:59:32.514,,69.68,69.68,,-5.199999999999989,1.7900000000000063,7.730000000000004,,2893,74.88
2024-03-02 02:00:00,60,2024-03-02 00:58:32.675,68.4,,68.4,,13.770000000000003,0.27000000000001023,6.900000000000006,,1740,54.63
2024-03-02 02:00:00,75,2024-03-02 00:43:32.134,68.13,,68.13,,13.499999999999993,8.219999999999999,-4.6200000000000045,,1740,54.63
2024-03-02 02:00:00,90,2024-03-02 00:29:31.830,59.91,,59.91,,5.279999999999994,-9.965000000000003,-1.4500000000000028,,1740,54.63
2024-03-02 02:00:00,105,2024-03-02 00:14:02.146,68.0,71.75,69.875,3.75,15.244999999999997,8.375,1.875,,1740,54.63
2024-03-02 02:00:00,120,2024-03-01 23:59:31.619,61.5,,61.5,,6.869999999999997,-11.25,0.14000000000000057,,1740,54.63
2024-03-02 03:00:00,60,2024-03-02 01:57:31.659,53.78,53.88,53.83,0.10000000000000142,2.719999999999999,-5.665000000000006,-12.239999999999995,-0.39000000000000057,561,51.11
2024-03-02 03:00:00,75,2024-03-02 01:42:31.740,59.25,59.74,59.495000000000005,0.490000000000002,8.385000000000005,4.975000000000001,0.8150000000000048,,561,51.11
2024-03-02 03:00:00,90,2024-03-02 01:29:02.071,,54.52,54.52,,3.4100000000000037,0.2950000000000017,-0.19999999999999574,,561,51.11
2024-03-02 03:00:00,105,2024-03-02 01:11:31.768,53.99,54.46,54.225,0.46999999999999886,3.115000000000002,-11.844999999999992,-0.49499999999999744,,561,51.11
2024-03-02 03:00:00,120,2024-03-02 00:59:02.211,,66.07,66.07,,14.959999999999994,7.3899999999999935,6.189999999999991,,561,51.11
2024-03-02 04:00:00,60,2024-03-02 02:52:31.372,,90.99,90.99,,20.989999999999995,-0.2400000000000091,-2.825000000000003,,452,70.0
2024-03-02 04:00:00,75,2024-03-02 02:38:01.557,91.23,,91.23,,21.230000000000004,0.020000000000010232,-2.5799999999999983,,452,70.0
2024-03-02 04:00:00,90,2024-03-02 02:29:31.495,91.21,,91.21,,21.209999999999994,-0.29000000000000625,18.39999999999999,,452,70.0
2024-03-02 04:00:00,105,2024-03-02 02:14:03.018,,91.5,91.5,,21.5,-2.3149999999999977,18.36,,452,70.0
2024-03-02 04:00:00,120,2024-03-02 01:57:31.659,87.14,100.49,93.815,13.349999999999994,23.814999999999998,0.0049999999999954525,20.685000000000002,-0.030000000000001137,452,70.0
2024-03-02 05:00:00,60,2024-03-02 03:58:03.632,,76.85,76.85,,-20.13000000000001,9.199999999999989,-0.7800000000000011,,1167,96.98
2024-03-02 05:00:00,75,2024-03-02 03:42:02.983,,67.65,67.65,,-29.33,-9.679999999999993,-10.099999999999994,,1167,96.98
2024-03-02 05:00:00,90,2024-03-02 03:27:02.642,,77.33,77.33,,-19.650000000000006,9.379999999999995,-0.5400000000000063,,1167,96.98
2024-03-02 05:00:00,105,2024-03-02 03:13:31.146,,67.95,67.95,,-29.03,-9.679999999999993,-0.519999999999996,,1167,96.98
