Obchodný deň;Číslo periódy;Perióda;Perióda (min);Cena SK (EUR/MWh);Dopyt úspešný (MW);Ponuka úspešná (MW);Tok CZ ➝ SK (MW);Tok SK ➝ CZ (MW);Tok PL ➝ SK (MW);Tok SK ➝ PL (MW);Tok HU ➝ SK (MW);Tok SK ➝ HU (MW);Stav zverejnenia
1.1.2026;1;00:00 - 00:15;15;106,27;793,6;1501,5;0,0;0,0;0,0;0,0;0,0;707,9;Konečné
1.1.2026;2;00:15 - 00:30;15;101,46;768,1;1501,4;0,0;0,0;0,0;0,0;0,0;733,3;Konečné
1.1.2026;3;00:30 - 00:45;15;101,80;748,9;1502,5;0,0;0,0;0,0;0,0;0,0;753,6;Konečné
1.1.2026;4;00:45 - 01:00;15;95,04;729,8;1504,5;0,0;0,0;182,3;0,0;0,0;957,0;Konečné
1.1.2026;5;01:00 - 01:15;15;101,95;708,2;1514,2;0,0;0,0;68,6;0,0;0,0;874,6;Konečné
1.1.2026;6;01:15 - 01:30;15;100,55;690,0;1517,4;0,0;0,0;0,0;0,0;0,0;827,4;Konečné
1.1.2026;7;01:30 - 01:45;15;95,51;673,0;1523,0;0,0;0,0;0,0;407,3;0,0;442,7;Konečné
1.1.2026;8;01:45 - 02:00;15;88,98;654,6;1527,5;0,0;0,0;4840,3;0,0;0,0;5713,2;Konečné
1.1.2026;9;02:00 - 02:15;15;100,02;693,9;1297,4;0,0;0,0;501,4;0,0;0,0;1104,9;Konečné
1.1.2026;10;02:15 - 02:30;15;92,43;673,8;1310,8;0,0;0,0;4814,7;0,0;0,0;5451,7;Konečné
1.1.2026;11;02:30 - 02:45;15;88,99;661,7;1319,1;0,0;0,0;924,6;0,0;0,0;1582,0;Konečné
1.1.2026;12;02:45 - 03:00;15;82,09;663,3;1330,4;0,0;0,0;0,0;667,1;0,0;0,0;Konečné
1.1.2026;13;03:00 - 03:15;15;85,07;646,6;1352,9;0,0;0,0;0,0;0,0;0,0;706,3;Konečné
1.1.2026;14;03:15 - 03:30;15;80,43;654,2;1362,9;0,0;0,0;0,0;0,0;0,0;708,7;Konečné
1.1.2026;15;03:30 - 03:45;15;53,99;663,8;1367,9;0,0;0,0;695,3;0,0;0,0;1399,4;Konečné
1.1.2026;16;03:45 - 04:00;15;53,52;670,3;1365,5;0,0;0,0;4747,2;0,0;0,0;5442,4;Konečné
1.1.2026;17;04:00 - 04:15;15;55,51;773,0;1362,5;0,0;0,0;4721,7;0,0;0,0;5311,2;Konečné
1.1.2026;18;04:15 - 04:30;15;48,40;774,1;1359,0;0,0;0,0;0,0;0,0;0,0;584,9;Konečné
