lag,lag_minutes,correlation,p_value
0,0,-0.6880814709141172,0.0
1,15,-0.6090481073090391,0.0
2,30,-0.5774467542526708,0.0
3,45,-0.542420289007818,0.0
4,60,-0.44050802773358694,0.0
5,75,-0.3921166654959055,0.0
6,90,-0.3706656085780774,0.0
7,105,-0.35193856895532,0.0
8,120,-0.3117045248230725,0.0
9,135,-0.2881589700354822,0.0
10,150,-0.27092645537611854,0.0
11,165,-0.2578304201680047,0.0
12,180,-0.24507195313370891,0.0
