tradeday,hour,ttd_bucket,avg_bid,avg_ask,n_snapshots,mid_price,spread,da_price,idm_da_diff,idm_da_pct
2024-02-06,3,1.0,-70.0,60.0,2,-5.0,130.0,45.56,-50.56,-110.97453906935908
2024-02-06,3,0.5,60.0,,1,60.0,,45.56,14.439999999999998,31.694468832309035
2024-02-06,4,1.0,47.410000000000004,45.662,10,46.536,-1.7480000000000047,48.1,-1.564,-3.2515592515592515
2024-02-06,4,0.5,60.0,,1,60.0,,48.1,11.899999999999999,24.740124740124735
2024-02-06,5,3.0,50.10666666666667,51.45333333333333,9,50.78,1.346666666666664,56.62,-5.839999999999996,-10.314376545390315
2024-02-06,5,1.0,53.8,,6,53.8,,56.62,-2.8200000000000003,-4.980572235959026
2024-02-06,6,3.0,63.15133333333333,64.65142857142857,22,63.90138095238095,1.5000952380952342,80.95,-17.048619047619056,-21.06067825524281
2024-02-06,6,1.0,68.55499999999999,60.0,3,64.2775,-8.554999999999993,80.95,-16.6725,-20.596046942557134
2024-02-06,7,6.0,82.77,92.38499999999999,5,87.57749999999999,9.614999999999995,92.15,-4.572500000000019,-4.962018448182333
2024-02-06,7,3.0,89.454,90.3,8,89.877,0.8460000000000036,92.15,-2.2730000000000103,-2.4666304937601846
2024-02-06,7,1.0,,83.386,5,83.386,,92.15,-8.76400000000001,-9.510580575149223
2024-02-06,8,6.0,80.3509090909091,85.0,12,82.67545454545456,4.649090909090901,83.75,-1.0745454545454436,-1.2830393487109772
2024-02-06,8,3.0,82.27666666666667,83.3375,11,82.80708333333334,1.0608333333333348,83.75,-0.9429166666666617,-1.1258706467661632
2024-02-06,8,1.0,,80.11071428571428,14,80.11071428571428,,83.75,-3.6392857142857196,-4.345415778251605
2024-02-06,9,6.0,71.17111111111112,72.78944444444444,45,71.98027777777779,1.6183333333333252,71.44,0.5402777777777885,0.7562678860271397
2024-02-06,9,3.0,72.688,70.654,10,71.67099999999999,-2.034000000000006,71.44,0.23099999999999454,0.32334826427770796
2024-02-06,9,1.0,77.73285714285714,68.1275,11,72.93017857142857,-9.605357142857144,71.44,1.4901785714285722,2.085916253399457
2024-02-06,10,6.0,58.79578947368421,60.0,20,59.397894736842105,1.2042105263157907,60.22,-0.8221052631578942,-1.365169815938051
2024-02-06,10,3.0,72.0,,1,72.0,,60.22,11.780000000000001,19.561607439388908
2024-02-06,10,1.0,74.20333333333333,51.80777777777778,12,63.00555555555556,-22.395555555555553,60.22,2.785555555555561,4.625631942138096
