hour,ttd_bucket,avg_spread,median_spread
0,0.5,157.71762820512822,104.42750000000001
0,1.0,22.07833423240161,9.338250680601696
0,3.0,42.06842782127916,11.692173913043476
0,6.0,62.07094966015601,27.290620784361252
1,0.5,155.8079700854701,104.9
1,1.0,36.90350694756831,6.098251543209884
1,3.0,13.530309635261357,5.767078382303875
1,6.0,45.57081435416406,7.651219325612736
1,12.0,61.21019865484406,35.89881176470588
2,0.5,170.28282828282826,140.0
2,1.0,31.593274556375405,5.455018694276674
2,3.0,11.364265474474315,3.6747665586610836
2,6.0,36.66035556289461,5.605446600503626
2,12.0,56.256407641747785,26.32250398724083
3,0.5,137.35386524822695,88.99
3,1.0,24.629516077287096,5.3764482444315504
3,3.0,15.233191021844464,1.7148387839705208
3,6.0,21.44666496463982,7.265482305042283
3,12.0,52.91133328752901,22.563346491228074
4,0.5,164.62158855052994,55.0
4,1.0,28.630413832331723,5.556899648419609
4,3.0,12.138567111683521,1.843746438746436
4,6.0,16.691111503348093,5.431849415204667
4,12.0,61.60777903965893,24.61674358974359
5,0.5,191.94109471666488,125.545
5,1.0,30.34725670507941,6.346469382672119
5,3.0,11.375301414075015,2.196570204385843
5,6.0,20.10196225170175,5.230990990990989
5,12.0,63.142332329818316,31.06143333333334
6,0.5,113.07052034017991,85.0
6,1.0,34.17161509555628,6.863822580645177
6,3.0,12.379070703257755,2.943277020244608
6,6.0,18.87046087556197,5.074502113237639
6,12.0,74.25487534660903,45.87791366906474
7,0.5,160.46984905476887,117.83333333333334
7,1.0,26.055967303761587,7.086811145510836
7,3.0,19.722263010551664,2.80616315049226
7,6.0,13.455963686958917,3.6833453453453444
7,12.0,64.09514288264708,26.72263403263402
8,0.5,98.7474401144455,77.80428571428571
8,1.0,17.611649751030015,8.010578215346143
8,3.0,8.014390891983624,2.827226221397652
8,6.0,12.066870391300021,3.211583817325426
8,12.0,22.57231158935009,13.414312896405931
9,0.5,95.54103822335738,65.66416666666667
9,1.0,16.001197444040024,7.754467593252549
9,3.0,9.317178717379601,3.5139997458563954
9,6.0,13.582124517662903,3.836289246467821
9,12.0,26.6155760589112,12.274339648947908
10,0.5,114.244281570789,58.99
10,1.0,17.91835227803266,8.409951112106278
10,3.0,14.457573943784261,3.562216484053323
10,6.0,9.845566326914522,3.6445567512793247
10,12.0,18.255875115100455,10.255656908665104
11,0.5,134.45152416374475,59.044687499999995
11,1.0,15.66892269883882,8.074046511627905
11,3.0,10.412690143052817,3.8135289855072467
11,6.0,11.188871393293448,3.7765403055182993
11,12.0,20.801787598947698,10.694072127259997
12,0.5,101.46656073931946,54.943333333333335
12,1.0,19.952432934826387,11.177271317829451
12,3.0,16.024187982610663,6.317299372318446
12,6.0,20.925095545637163,3.852388663967611
12,12.0,18.83391321456899,7.879921568627445
12,24.0,74.42747627231584,50.71470588235294
13,0.5,102.38977035795446,59.947500000000005
13,1.0,18.572320429404456,8.30900676788001
13,3.0,15.766356429315918,7.665776012869664
13,6.0,11.944078771018376,3.9565831925675674
13,12.0,16.56267818931732,6.879606964111605
13,24.0,86.90229039189317,49.8917303938527
14,0.5,105.42163295746644,65.745
14,1.0,23.296549024732773,8.700573024321347
14,3.0,18.956319823134308,8.158276902240829
14,6.0,17.58938210238494,4.545021482277121
14,12.0,13.171103818400974,6.734617854647067
14,24.0,89.491523938998,50.581125
15,0.5,126.98588973545377,69.295
15,1.0,22.24416606930198,9.703699379067176
15,3.0,17.404389444577962,5.213595170131935
15,6.0,20.618991820942423,8.40029488908737
15,12.0,34.953829325029176,7.117928181658158
15,24.0,82.06342979888795,58.066132174343764
16,0.5,97.17521374715051,67.63000000000001
16,1.0,25.930752559046645,12.015556118104712
16,3.0,19.87885075022645,7.692737913518641
16,6.0,31.82587469331336,10.389932084309137
16,12.0,30.986162100352423,8.37195588235294
16,24.0,91.83104989817338,63.65214433416047
17,0.5,113.57753857924217,76.17333333333335
17,1.0,36.78468573712382,12.64647286821706
17,3.0,19.488827758331208,8.038438127090302
17,6.0,32.00359262362973,11.644319641790503
17,12.0,36.547753734140095,9.734371840334603
17,24.0,89.85399342872019,75.76924248120301
18,0.5,112.90695444049479,79.21285714285713
18,1.0,40.76479430420646,14.370417072379098
18,3.0,25.62438043227329,8.785107142857157
18,6.0,34.48894222879652,12.695919948793374
18,12.0,40.94433607991457,9.362563462831346
18,24.0,89.42882024828845,64.58886787450285
19,0.5,162.99614754189227,94.0
19,1.0,45.345246420082844,13.544902789310086
19,3.0,24.873068017080147,8.900877192982449
19,6.0,30.278811011991724,10.738747502466133
19,12.0,77.13355173003512,10.698132998804986
19,24.0,68.59703114280956,31.828391312990732
20,0.5,217.13483037700612,93.55583333333335
