lead_time_min,n_samples,mae,rmse,mbe,r2,correlation
15,70992,6.563955678104575,9.42595149350615,-0.36188886071670046,0.3532623716886827,0.6825452302331056
12,70985,6.594650683242938,9.746194269220677,-0.7897326090019019,0.30746451138539066,0.6807686344351613
9,70803,4.744735758371821,7.091191317760288,-0.04660645876587159,0.6310025839814494,0.817322390624956
6,70689,3.4061277518425785,5.449782555473785,0.13283661885158932,0.7810407126350988,0.8889713635608562
3,70623,2.524489759002025,4.622628098433147,0.027749348654121084,0.841958905726954,0.9180869982085855
0,70570,2.150574762647017,4.351000878382466,-0.08034776108828123,0.859923597955442,0.9273681332566017
