hour,mean_error,std_error,count
0,-2.3811323578876555,9.407444453990587,2973
1,-1.3653641871423763,6.93817084611512,2971
2,-2.770904287643484,7.595131030973488,2962
3,-0.9442819542549613,5.27414239136221,2973
4,-0.43054510265903734,6.067947050907042,2971
5,0.625273532388664,7.944970147142121,2964
6,2.190644616942288,9.39467278240831,2963
7,2.369339587559162,7.942151196424258,2958
8,-0.9091710348326005,9.354355030759965,2957
9,-2.645834969532837,10.83445383819766,2954
10,-2.2058397457627117,10.390721023881193,2950
11,-4.102180644616942,11.515717157599116,2963
12,-1.1681853129205921,9.968037541042872,2972
13,-0.809215824915825,8.779398632817491,2970
14,-0.461356306457009,9.159862861662504,2989
15,1.817282826595389,10.928342138850363,2993
16,1.384294240400668,10.716017222688036,2995
17,2.1963865988271816,10.856995628044853,2899
18,1.7075285862785863,11.203619571949101,2886
19,1.1525869789872545,10.509682579556811,2903
20,-1.4199413969335606,10.176639413357632,2935
21,-3.2205752197430693,10.616944841874727,2958
22,-3.97926798378926,10.410807064712875,2961
23,-3.477783558178752,8.785590030547477,2965
