imb_quartile,mean_error,std_error,count
Small,-0.9606259222754154,7.571504856067833,17755
Med-Small,-1.032426217724659,7.944090246027008,17738
Med-Large,-1.071253874112476,9.171178742753458,17746
Large,-0.094647159923363,13.125820447133675,17746
