imb_quartile,mean_error,std_error,count
Small,0.029419687446916934,2.70159022338721,17661
Med-Small,0.026750968673879785,2.880480523326857,17653
Med-Large,0.039476195196555965,3.4451895526829692,17654
Large,0.015350526762956338,7.616685797059006,17655
