model,r2,mae,residual_std,n_samples
regulation only,0.4725732268319005,5.821207675529553,8.57382720741833,71196
+ load_deviation,0.47582707720431483,5.82517966843444,8.57185596793525,70084
+ hour (sin/cos),0.47294534645753805,5.82369670303335,8.570802093331864,71196
+ load_dev + hour,0.47620667345138434,5.827372195388818,8.56875161675546,70084
+ residual_lag1,0.4977951090077153,5.787064870313707,8.366370756832431,71195
full model,0.5009377859484114,5.792284543387763,8.364075869919464,70083
