dow,mean_residual,std_residual,count,day_name
0,0.2919239486394773,9.093431713702602,10232,Mon
1,-0.1943357664470314,8.196222893807326,10056,Tue
2,-0.3825536851613167,8.424206211489437,10088,Wed
3,-0.1996185553438467,8.410635287745919,10111,Thu
4,0.06375623416228818,8.126895410979438,10186,Fri
5,0.09130962637356628,8.757048970801604,10311,Sat
6,0.3186354147264307,8.926005948154991,10212,Sun
