feature,correlation,p_value
load_deviation,-0.05422670515474839,8.4629292677845695e-47
hour_sin,0.005979367015454181,
hour_cos,-0.02580111882382522,
residual_lag1,0.1924850165092918,0.0
residual_lag2,0.005230671797379724,0.16282186082608968
