quantile,range,correlation,p_value,n_samples,mean_value,label
0,"(1876.999, 2596.0]",-0.6898155353498199,0.0,17544,2373.3630300957593,Low Load
1,"(2596.0, 2931.0]",-0.657450985018168,0.0,17548,2770.7383747435606,Med-Low
2,"(2931.0, 3260.0]",-0.6540991747293777,0.0,17512,3084.3861923252625,Med-High
3,"(3260.0, 4551.0]",-0.6635825538005423,0.0,17505,3586.8181091116826,High Load
