Condition,Min r,Max r,Range,Stable?
Weekend,-0.6666799453842668,-0.6657893933122306,0.0008905520720361437,YES
Hour,-0.7847468365349924,-0.4588408726186514,0.325905963916341,NO
Month,-0.7422459800485888,-0.5740388731076632,0.16820710694092555,NO
Load Level,-0.6898155353498199,-0.6540991747293777,0.035716360620442145,YES
Imbalance Magnitude,-0.7762668742449149,-0.1327614418559962,0.6435054323889187,NO
Load Ramp,-0.6834360297281922,-0.6361195159859441,0.0473165137422481,YES
Regulation Sign,-0.5812286398550719,-0.5450881561351012,0.036140483719970695,YES
