quantile,range,correlation,p_value,n_samples,mean_value,label
0,"(2.124, 4.927]",-0.1327614418559962,8.42700678494557e-71,17800,1.0298308426966294,Small |Imb|
1,"(4.927, 10.633]",-0.3061257463850681,0.0,17803,3.413211425040724,Medium-Small
2,"(10.633, 232.008]",-0.5315899907118808,0.0,17798,7.374467299696595,Medium-Large
3,"(-0.001, 2.124]",-0.7762668742449149,0.0,17797,19.898078833511267,Large |Imb|
