feature,importance,pct
damas_fe_rmean24,1311,3.5241935483870965
da_price_change24h,1040,2.795698924731183
da_flow_cz,983,2.64247311827957
da_flow_hu,968,2.6021505376344085
da_price,941,2.529569892473118
da_net_import,865,2.325268817204301
da_demand,847,2.2768817204301075
da_supply,824,2.2150537634408605
load_yesterday,809,2.174731182795699
proxy_rmean32,732,1.9677419354838708
damas_forecast_load,727,1.9543010752688172
load_deviation,726,1.9516129032258065
solar_surprise_lag,706,1.8978494623655913
load_momentum,693,1.8629032258064515
proxy_yesterday,690,1.8548387096774193
load_rmean16,682,1.8333333333333333
damas_fe,636,1.7096774193548387
idm_vwap_lag,631,1.696236559139785
damas_fe_abs,614,1.6505376344086022
solar_surprise_rmean4,611,1.64247311827957
spread_da_idm_lag,608,1.6344086021505377
hour_sin,600,1.6129032258064515
proxy_yesterday_2,589,1.5833333333333335
nowcast_pred_error,574,1.543010752688172
hour_cos,561,1.5080645161290323
imb_price_rmean4,561,1.5080645161290323
reg_vol_rmean4,553,1.4865591397849462
idm_volume_lag,541,1.4543010752688172
damas_fe_rmean4,529,1.4220430107526882
spread_da_imb_lag,525,1.411290322580645
qh_in_hour,497,1.3360215053763442
load_rmean4,487,1.3091397849462365
load_rmean8,471,1.2661290322580645
proxy_range8,412,1.1075268817204302
nowcast_recent_bias,405,1.0887096774193548
proxy_rmean16,402,1.0806451612903227
proxy_rstd8,402,1.0806451612903227
proxy_lag96_diff,401,1.077956989247312
nowcast_pred_rmean4,401,1.077956989247312
imb_price_lag,401,1.077956989247312
nowcast_pred_error_abs,392,1.053763440860215
load_ramp4,376,1.010752688172043
load_rstd4,373,1.0026881720430108
month_cos,367,0.9865591397849461
proxy_lag20,358,0.9623655913978495
proxy_abs_rmean8,357,0.9596774193548386
dow_sin,339,0.9112903225806452
proxy_momentum4,334,0.8978494623655914
proxy_lag23,329,0.8844086021505376
proxy_lag18,325,0.8736559139784945
proxy_lag16,324,0.8709677419354838
proxy_lag22,323,0.868279569892473
month_sin,317,0.8521505376344086
proxy_rmax4,309,0.8306451612903226
proxy_lag17,299,0.803763440860215
proxy_lag21,292,0.7849462365591398
proxy_rmin4,283,0.760752688172043
proxy_lag14,272,0.7311827956989247
proxy_range4,264,0.7096774193548387
proxy_lag13,260,0.6989247311827957
proxy_lag19,255,0.685483870967742
proxy_dev_from_hour,254,0.6827956989247312
proxy_lag15,251,0.6747311827956989
proxy_lag12,248,0.6666666666666667
proxy_rstd4,245,0.6586021505376344
proxy_abs_rmean4,238,0.6397849462365591
dow_cos,229,0.6155913978494624
proxy_lag8,218,0.5860215053763441
proxy_lag9,214,0.575268817204301
proxy_lag10,206,0.5537634408602151
proxy_ewm4,198,0.532258064516129
proxy_lag11,197,0.5295698924731183
proxy_rmean8,182,0.489247311827957
proxy_pos_ratio_16,177,0.4758064516129032
proxy_acceleration,176,0.4731182795698925
proxy_momentum,174,0.467741935483871
proxy_rmean4,170,0.456989247311828
proxy_lag8_pos,133,0.3575268817204301
reg_rmean8,114,0.3064516129032258
reg_rstd8,109,0.29301075268817206
proxy_lag8_neg,109,0.29301075268817206
reg_momentum,102,0.27419354838709675
temp_change6h,77,0.20698924731182797
reg_rmean4,75,0.20161290322580644
temp,73,0.19623655913978494
is_peak,68,0.1827956989247312
temp_rmean24h,68,0.1827956989247312
proxy_pos_ratio_8,66,0.1774193548387097
is_weekend,56,0.15053763440860216
proxy_zero_cross4,31,0.08333333333333334
temp_deviation,28,0.07526881720430108
proxy_pos_ratio_4,10,0.026881720430107527
xborder_deviation,0,0.0
xborder_momentum,0,0.0
prod_rmean4,0,0.0
prod_rmean8,0,0.0
xborder_vol,0,0.0
prod_momentum,0,0.0
prod_deviation,0,0.0
prod_vol,0,0.0
xborder_rmean4,0,0.0
xborder_rmean8,0,0.0
