Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.1.2026;1;00:00 - 00:15;152.3;73.2;20.3;4.0;16.3;117.93;24.3
1.1.2026;2;00:15 - 00:30;168.5;61.2;27.5;3.0;24.5;116.65;30.5
1.1.2026;3;00:30 - 00:45;466.6;69.4;31.3;6.0;25.3;117.40;37.3
1.1.2026;4;00:45 - 01:00;116.6;71.0;34.8;17.5;17.3;108.68;52.3
1.1.2026;5;01:00 - 01:15;258.2;31.3;17.4;6.7;10.7;112.04;24.1
1.1.2026;6;01:15 - 01:30;81.9;30.9;11.9;6.1;5.8;101.83;18.0
1.1.2026;7;01:30 - 01:45;127.2;58.5;28.7;2.2;26.5;87.42;30.9
1.1.2026;8;01:45 - 02:00;3,392.9;155.5;35.3;27.8;7.5;73.58;63.1
1.1.2026;9;02:00 - 02:15;1,657.9;107.8;47.2;13.0;34.2;82.06;60.2
1.1.2026;10;02:15 - 02:30;1,664.8;113.0;44.1;8.4;35.7;86.37;52.5
1.1.2026;11;02:30 - 02:45;793.3;151.3;29.8;4.1;25.7;83.34;33.9
1.1.2026;12;02:45 - 03:00;194.2;91.5;23.5;4.9;18.6;72.56;28.4
1.1.2026;13;03:00 - 03:15;9,200.5;111.6;35.9;11.0;24.9;48.80;46.9
1.1.2026;14;03:15 - 03:30;1,840.6;73.5;6.6;6.7;-0.1;58.00;13.3
1.1.2026;15;03:30 - 03:45;719.6;193.7;23.2;5.9;17.3;58.45;29.1
1.1.2026;16;03:45 - 04:00;286.8;63.3;26.5;11.2;15.3;58.36;37.7
1.1.2026;17;04:00 - 04:15;3,211.9;234.2;9.0;4.8;4.2;43.67;13.8
1.1.2026;18;04:15 - 04:30;287.8;1,678.2;17.1;8.2;8.9;54.88;25.3
1.1.2026;19;04:30 - 04:45;397.0;3,303.4;47.1;31.6;15.5;61.34;78.7
1.1.2026;20;04:45 - 05:00;480.5;3,610.6;26.7;29.2;-2.5;62.69;55.9
1.1.2026;21;05:00 - 05:15;88.6;1,971.7;4.3;9.1;-4.8;69.77;13.4
1.1.2026;22;05:15 - 05:30;97.8;67.6;5.9;9.9;-4.0;74.73;15.8
1.1.2026;23;05:30 - 05:45;233.2;150.6;16.7;10.4;6.3;79.34;27.1
1.1.2026;24;05:45 - 06:00;357.2;96.8;14.4;19.1;-4.7;78.73;33.5
1.1.2026;25;06:00 - 06:15;94.3;33.7;16.8;0.4;16.4;25.93;17.2
1.1.2026;26;06:15 - 06:30;61.2;34.5;15.7;5.2;10.5;19.85;20.9
1.1.2026;27;06:30 - 06:45;178.4;37.7;40.9;0.4;40.5;28.17;41.3
1.1.2026;28;06:45 - 07:00;81.0;47.7;41.5;2.4;39.1;25.41;43.9
1.1.2026;29;07:00 - 07:15;119.0;148.1;38.0;31.1;6.9;46.47;69.1
1.1.2026;30;07:15 - 07:30;350.1;231.9;23.7;5.5;18.2;28.75;29.2
1.1.2026;31;07:30 - 07:45;156.0;243.1;28.3;16.0;12.3;31.49;44.3
1.1.2026;32;07:45 - 08:00;221.0;197.3;28.9;34.8;-5.9;43.09;63.7
1.1.2026;33;08:00 - 08:15;344.6;283.6;22.4;27.5;-5.1;50.53;49.9
1.1.2026;34;08:15 - 08:30;256.9;261.6;18.0;38.8;-20.8;51.17;56.8
1.1.2026;35;08:30 - 08:45;582.6;380.1;48.7;27.1;21.6;42.26;75.8
1.1.2026;36;08:45 - 09:00;684.5;448.2;54.7;43.7;11.0;38.64;98.4
1.1.2026;37;09:00 - 09:15;504.5;507.9;19.3;30.1;-10.8;54.93;49.4
1.1.2026;38;09:15 - 09:30;365.8;578.1;31.2;36.7;-5.5;47.62;67.9
1.1.2026;39;09:30 - 09:45;677.6;488.7;16.8;32.1;-15.3;39.22;48.9
1.1.2026;40;09:45 - 10:00;820.7;2,540.6;56.2;50.7;5.5;33.39;106.9
1.1.2026;41;10:00 - 10:15;729.1;748.3;47.4;40.9;6.5;31.30;88.3
1.1.2026;42;10:15 - 10:30;467.5;720.9;31.8;43.2;-11.4;33.18;75.0
1.1.2026;43;10:30 - 10:45;443.9;700.3;44.3;69.6;-25.3;36.63;113.9
1.1.2026;44;10:45 - 11:00;1,031.4;877.6;44.8;75.8;-31.0;38.99;120.6
1.1.2026;45;11:00 - 11:15;2,405.0;717.7;56.6;61.8;-5.2;44.84;118.4
1.1.2026;46;11:15 - 11:30;540.9;512.0;47.4;46.8;0.6;35.35;94.2
1.1.2026;47;11:30 - 11:45;596.1;533.6;48.5;42.2;6.3;40.08;90.7
1.1.2026;48;11:45 - 12:00;798.1;3,091.2;66.7;82.7;-16.0;30.29;149.4
1.1.2026;49;12:00 - 12:15;526.9;454.1;55.8;47.5;8.3;35.32;103.3
1.1.2026;50;12:15 - 12:30;596.8;578.6;53.4;62.5;-9.1;26.42;115.9
1.1.2026;51;12:30 - 12:45;622.4;755.1;39.7;56.3;-16.6;20.32;96.0
1.1.2026;52;12:45 - 13:00;497.9;1,080.4;65.7;71.8;-6.1;30.20;137.5
1.1.2026;53;13:00 - 13:15;688.3;483.5;65.2;45.2;20.0;39.88;110.4
1.1.2026;54;13:15 - 13:30;570.6;926.4;42.3;34.8;7.5;25.12;77.1
1.1.2026;55;13:30 - 13:45;602.4;673.6;63.3;79.7;-16.4;23.24;143.0
1.1.2026;56;13:45 - 14:00;639.0;621.4;69.3;86.7;-17.4;23.52;156.0
1.1.2026;57;14:00 - 14:15;937.5;656.9;66.0;76.1;-10.1;19.21;142.1
1.1.2026;58;14:15 - 14:30;452.3;883.8;65.0;110.2;-45.2;44.56;175.2
1.1.2026;59;14:30 - 14:45;573.0;646.8;51.1;99.3;-48.2;56.27;150.4
1.1.2026;60;14:45 - 15:00;388.5;707.0;81.8;84.4;-2.6;49.67;166.2
1.1.2026;61;15:00 - 15:15;586.9;710.5;91.3;81.5;9.8;55.65;172.8
1.1.2026;62;15:15 - 15:30;505.0;742.5;52.6;53.2;-0.6;46.37;105.8
1.1.2026;63;15:30 - 15:45;340.2;4,145.8;67.3;53.3;14.0;50.83;120.6
1.1.2026;64;15:45 - 16:00;251.8;3,025.6;91.0;44.7;46.3;67.99;135.7
1.1.2026;65;16:00 - 16:15;368.6;180.6;39.9;37.1;2.8;60.14;77.0
1.1.2026;66;16:15 - 16:30;129.1;291.9;41.0;50.8;-9.8;62.71;91.8
1.1.2026;67;16:30 - 16:45;244.8;1,185.7;30.8;19.0;11.8;75.86;49.8
1.1.2026;68;16:45 - 17:00;210.5;1,315.2;19.1;15.3;3.8;89.49;34.4
1.1.2026;69;17:00 - 17:15;2,090.5;155.9;13.8;18.2;-4.4;91.93;32.0
1.1.2026;70;17:15 - 17:30;3,051.7;76.5;37.0;24.1;12.9;86.94;61.1
1.1.2026;71;17:30 - 17:45;4,829.1;72.7;25.4;17.6;7.8;93.34;43.0
1.1.2026;72;17:45 - 18:00;265.4;331.6;13.0;34.3;-21.3;89.05;47.3
1.1.2026;73;18:00 - 18:15;172.5;147.9;32.2;14.3;17.9;89.18;46.5
1.1.2026;74;18:15 - 18:30;173.0;108.4;22.4;14.7;7.7;95.69;37.1
