load_quartile,mean_residual,std_residual,count
Q1-Low,0.507374261037807,7.385102656291662,17521
Q2,0.2568363071097769,8.425054222578726,17530
Q3,-0.18081799281290697,8.931804383772972,17512
Q4-High,-0.5513685633326617,9.425513225469476,17521
