hour,mean_residual,std_residual,count
0,-0.217821474305442,7.838059904145354,2978
1,-0.21651452147502104,6.2277975851666785,2977
2,-0.23625756242062954,5.546931179215608,2970
3,-0.44128393850847436,4.7981404746899114,2974
4,-0.3708549029852131,5.782572123602212,2974
5,-0.2302678083282279,8.2416467104278,2968
6,-0.33121017530345404,9.700169211465724,2963
7,1.2123998615405953,7.331457241746977,2970
8,0.792722589614549,8.670425555158983,2971
9,0.2204823518122872,10.256208487930923,2965
10,0.2775638172696485,9.878899312555003,2962
11,-0.6741532758966154,10.320841928663198,2975
12,0.16182787647434815,10.383189547085935,2981
13,1.3845494575937547,9.4332324595613,2985
14,-0.43047882624059586,9.814120929162074,3000
15,0.04611946812039498,10.318064688397524,3002
16,-0.04709121586688884,9.788738479519827,3000
17,0.46366297504242354,8.86730398501456,2943
18,-0.5288914348054373,8.021875233243929,2901
19,0.2044900030850501,7.372941943090142,2912
20,-0.08512340055731886,9.096164707929345,2936
21,0.18776516208446273,9.027716068362558,2960
22,-1.1210487124244684,7.860809693402506,2965
23,-0.026972236632257233,7.066696521421304,2964
