qh,label,n_samples,correlation,acc_predict_pos,acc_predict_neg,n_predict_pos,n_predict_neg
1,QH1 (:00-:15),12405,-0.32928688053987976,0.7951959544879899,0.7592592592592593,1582,432
2,QH2 (:15-:30),12405,-0.34929799695730873,0.8166877370417194,0.7800925925925926,1582,432
3,QH3 (:30-:45),12405,-0.315108967838225,0.7256637168141593,0.7824074074074074,1582,432
4,QH4 (:45-:60),12404,-0.26483192883279766,0.7237673830594185,0.7083333333333333,1582,432
