feature,correct_mean,wrong_mean,diff,p_value
Import Dev (first obs),12.46808510638298,10.06060606060606,-2.4074790457769186,0.8045098900147942
Import Dev (period mean),15.382978723404255,18.006060606060608,2.6230818826563524,0.7254661121822227
Frequency Dev (mean),0.0008489361702128587,0.00086060606060595,1.1669890393091356e-05,0.9952092465278027
Regulation (first obs),2.404404255319149,-0.39133333333333314,-2.7957375886524822,0.6977265285943206
Actual magnitude,5.647180851063831,3.8736363636363635,-1.773544487427467,0.04335355025356258
