date,load_fcst_mean,load_fcst_peak,load_fcst_peak_hour,load_fcst_offpeak,load_fcst_range,solar_share_of_load,da_price_mean,da_price_max,da_price_max_hour,da_price_min,da_price_min_hour,da_price_range,da_price_std,da_price_median,peak_in_morning,peak_in_evening,extreme_price_flag,day_of_week,is_weekend,month,idm_vwap_mean,spread_da_idm_mean,spread_positive,solar_fcst_total,solar_fcst_peak,solar_fcst_peak_hour,solar_fcst_max_ramp,temp_fcst_mean,temp_fcst_min,temp_fcst_max,temp_fcst_range,cold_spell,da_price_yesterday,da_volatility_yesterday,da_range_yesterday,da_max_yesterday,idm_vwap_yesterday,spread_yesterday,load_actual_yesterday,nuclear_yesterday,hydro_yesterday,gas_yesterday,solar_actual_yesterday,net_import_yesterday,da_price_7d,da_volatility_7d,da_range_7d,idm_vwap_7d,spread_7d,load_actual_7d,load_fcst_vs_7d,temp_fcst_vs_7d,solar_fcst_vs_7d,load_fcst_vs_last_week,high_volatility
2025-09-15,2402.0916666666667,2736.5,11.0,2070.0,666.5,0.033649492976607194,62.440416666666664,162.58,7,9.24,11,153.34,49.63345886545966,50.03,1,0,1,0,0,9,71.28916666666667,-8.848749999999999,0.0,1939.9,256.3,12.0,73.5,16.14803683489583,10.9736877,22.787146885,11.813459185,0.0,71.26625,44.01307037218554,153.31,153.3,85.38291666666667,-14.116666666666669,2444.4166666666665,1926.8708333333332,448.8416666666667,143.6375,425.5,-154.77916666666667,103.45982142857143,55.52457608728208,220.12857142857143,109.14166666666667,-5.681845238095236,2692.2202380952376,-290.1285714285709,,450.7285714285715,-339.1749999999997,0
2025-09-16,2808.6083333333336,3180.0,19.0,2112.5,1067.5,0.008605982203523098,88.49833333333333,186.56,17,47.56,0,139.0,34.24386821235194,79.43,0,1,0,1,0,9,67.91375,20.584583333333335,1.0,580.1,115.5,14.0,35.7,14.434288859479167,11.692064625,15.6827454925,3.9906808675,0.0,62.440416666666664,49.63345886545966,153.34,162.58,71.28916666666667,-8.848749999999999,2323.4166666666665,1935.0583333333332,516.5041666666666,289.375,2120.2,-485.91249999999997,94.23571428571428,50.717571343053926,191.1542857142857,96.7642261904762,-2.5285119047619027,2639.8869047619046,168.721428571429,,-940.9,15.454166666666879,0
2025-09-17,2898.504166666667,3216.0,19.0,2353.0,863.0,0.023870070913014036,81.50916666666666,209.1,19,8.63,13,200.47,47.51217710427934,72.4,0,1,1,2,0,9,86.70208333333335,-5.192916666666669,0.0,1660.5,225.5,12.0,59.0,13.371271971322917,9.408502205,18.481071035,9.07256883,0.0,88.49833333333333,34.24386821235194,139.0,186.56,67.91375,20.584583333333335,2819.3333333333335,1934.8,540.5958333333334,388.05,552.5,-181.71666666666667,86.95761904761903,44.93023953175396,167.08285714285714,86.09541666666667,0.862202380952383,2649.5238095238096,248.98035714285743,-3.670828028677084,371.07142857142867,92.98333333333358,0
2025-09-18,2809.1666666666665,3135.0,20.0,2245.0,890.0,0.030200237318303173,81.55833333333334,271.9,19,0.0,13,271.9,65.16594433789228,78.4,0,1,1,3,0,9,71.65499999999999,9.903333333333334,1.0,2036.1,266.5,12.0,69.2,14.198522795510414,9.141982644,19.9040614075,10.762078763499998,0.0,81.50916666666666,47.51217710427934,200.47,209.1,86.70208333333335,-5.192916666666669,2794.125,1949.1791666666666,552.5166666666667,305.6125,1915.6,-154.81666666666666,80.74565476190476,45.13495255338303,167.5542857142857,82.34232142857142,-1.5966666666666656,2642.589285714286,166.57738095238074,-2.183169912822919,609.1571428571426,-28.462500000000546,1
2025-09-19,2817.5333333333333,3097.0,8.0,2335.3,761.6999999999998,0.029697962757021506,96.31,409.24,19,0.0,13,409.24,88.21578563263272,79.63,0,1,1,4,0,9,93.68374999999999,2.626250000000003,1.0,2008.2,282.5,12.0,76.50000000000001,17.986064434583334,12.45759949,24.71454573,12.256946240000001,0.0,81.55833333333334,65.16594433789228,271.9,271.9,71.65499999999999,9.903333333333334,2816.375,1949.3083333333334,498.6666666666667,297.175,1772.6,-66.36666666666669,78.3979761904762,48.291988290139734,180.48857142857145,78.63297619047619,-0.2349999999999984,2639.333333333333,178.20000000000027,1.8483327679166663,511.2857142857147,-80.78333333333376,1
2025-09-20,2480.754166666667,2755.3,19.0,2174.5,580.8000000000002,0.03690074087013189,61.23374999999999,139.9,19,-10.11,13,150.01,45.67960936143219,78.30000000000001,0,1,1,5,1,9,53.84375,7.39,1.0,2197.0,329.8,12.0,84.7,19.1907024140625,13.30972987,26.4727302875,13.1630004175,0.0,96.31,88.21578563263272,409.24,409.24,93.68374999999999,2.626250000000003,2782.875,1929.6500000000003,527.0791666666668,293.5083333333333,2229.7,-142.68749999999997,79.06773809523808,53.74294716494405,211.54285714285712,77.94125,1.1264880952380971,2639.047619047619,-158.29345238095175,2.7448121362847218,667.4285714285713,-26.079166666666424,0
2025-09-21,2419.0708333333337,2747.0,19.0,2128.0,619.0,0.039984360386305345,28.718333333333334,118.64,19,-14.06,13,132.7,49.44893049941759,0.56,0,1,1,6,1,9,29.745416666666667,-1.0270833333333347,0.0,2321.4,322.3,12.0,86.50000000000001,20.078411364270835,13.5929454025,27.6369504375,14.044005035000001,0.0,61.23374999999999,45.67960936143219,150.01,139.9,53.84375,7.39,2481.0,1916.9958333333332,414.3291666666667,132.20000000000002,2274.8,-128.46666666666667,77.54517857142856,53.49484484089053,211.03857142857143,75.78148809523809,1.763690476190478,2637.3630952380954,-218.29226190476174,3.246854816651787,708.414285714286,-93.77083333333303,0
2025-09-22,2717.5041666666666,3135.5,19.0,2082.0,1053.5,0.03559332169070578,100.43166666666667,275.96,19,33.22,11,242.73999999999998,49.726899086446394,89.72999999999999,0,1,1,0,0,9,96.555,3.876666666666665,1.0,2321.4,322.3,12.0,86.50000000000001,19.8154702003125,13.7388596625,27.3025497475,13.563690085,0.0,28.718333333333334,49.44893049941759,132.7,118.64,29.745416666666667,-1.0270833333333347,2392.6666666666665,1907.904166666667,363.1916666666666,128.92916666666667,2319.9000000000005,-148.83749999999998,71.46690476190476,54.27139628763796,208.0942857142857,67.83327380952382,3.6336309523809542,2629.970238095238,87.53392857142853,2.5522469860267876,437.78571428571445,315.4124999999999,0
2025-09-23,2858.183333333334,3180.8,8.0,2272.5,908.3000000000002,0.01395845846137698,118.11208333333333,306.74,19,79.33,14,227.41000000000003,50.904915793985495,98.645,0,1,1,1,0,9,122.31958333333334,-4.207500000000002,0.0,957.5,166.5,13.0,53.2,14.518552668229168,11.70457798,17.704889015,6.000311034999999,0.0,100.43166666666667,49.726899086446394,242.73999999999998,275.96,96.555,3.876666666666665,2739.875,1909.7041666666664,385.625,248.82500000000005,2244.8,20.354166666666675,76.89422619047619,54.28474489063607,220.8657142857143,71.44267857142857,5.451547619047621,2689.464285714286,168.71904761904807,-3.1601663793898798,-943.9142857142858,49.57500000000027,1
2025-09-24,2946.9791666666665,3365.0,19.0,2360.0,1005.0,0.004931603690219504,89.53083333333335,168.65,19,54.94,12,113.71000000000001,27.70436096838667,81.95,0,1,0,2,0,9,109.83249999999998,-20.301666666666666,0.0,348.79999999999995,48.3,12.0,13.0,11.531416455208335,10.3751211,12.6251513575,2.2500302575000006,0.0,118.11208333333333,50.904915793985495,227.41000000000003,306.74,122.31958333333334,-4.207500000000002,2877.0,1934.5666666666666,346.3458333333333,481.95416666666665,688.4,-19.337499999999995,81.12476190476191,56.66489454515514,233.49571428571429,79.21494047619048,1.9098214285714294,2697.702380952381,249.27678571428532,-5.9526722352678565,-1572.0285714285717,48.474999999999454,0
