date,load_fcst_mean,load_fcst_peak,load_fcst_peak_hour,load_fcst_offpeak,load_fcst_range,solar_share_of_load,da_price_mean,da_price_max,da_price_max_hour,da_price_min,da_price_min_hour,da_price_range,da_price_std,da_price_median,peak_in_morning,peak_in_evening,extreme_price_flag,day_of_week,is_weekend,month,idm_vwap_mean,spread_da_idm_mean,spread_positive,solar_fcst_total,solar_fcst_peak,solar_fcst_peak_hour,solar_fcst_max_ramp,temp_fcst_mean,temp_fcst_min,temp_fcst_max,temp_fcst_range,cold_spell,da_price_yesterday,da_volatility_yesterday,da_range_yesterday,da_max_yesterday,idm_vwap_yesterday,spread_yesterday,load_actual_yesterday,nuclear_yesterday,hydro_yesterday,gas_yesterday,solar_actual_yesterday,net_import_yesterday,da_price_7d,da_volatility_7d,da_range_7d,idm_vwap_7d,spread_7d,load_actual_7d,load_fcst_vs_7d,temp_fcst_vs_7d,solar_fcst_vs_7d,load_fcst_vs_last_week,high_volatility
2024-01-01,2465.4166666666665,2790.0,19.0,2130.0,660.0,0.0,19.39833333333333,63.03,17,0.0,8,63.03,24.775443955425015,1.3900000000000001,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024-01-02,2911.6666666666665,3300.0,11.0,2220.0,1080.0,0.0,59.907500000000006,90.19,16,10.17,4,80.02,26.97236157866854,76.77000000000001,0,1,0,1,0,1,,,,,,,,,,,,,19.39833333333333,24.775443955425015,63.03,63.03,,,2485.4583333333335,2438.1749999999997,929.4916666666668,111.42500000000001,371.7,-1245.0541666666668,,,,,,,,,,,0
2024-01-03,3092.5,3520.0,11.0,2430.0,1090.0,0.0,54.35375,85.57,18,19.08,3,66.49,22.710029925984912,59.06,0,1,0,2,0,1,,,,,,,,,,,,,59.907500000000006,26.97236157866854,80.02,90.19,,,2910.9583333333335,2443.6,1032.0041666666666,125.09583333333335,305.1,-900.4375,,,,,,,,,,,0
2024-01-04,3027.0833333333335,3410.0,11.0,2430.0,980.0,0.0,82.69041666666666,118.06,18,25.48,3,92.58,25.406146034780242,91.11500000000001,0,1,0,3,0,1,,,,,,,,,,,,,54.35375,22.710029925984912,66.49,85.57,,,3020.75,2429.579166666667,1035.6541666666667,126.87916666666668,543.5999999999999,-763.7541666666666,44.55319444444444,24.819278486692824,69.84666666666666,,,2805.7222222222226,221.36111111111086,,,,0
2024-01-05,3026.25,3390.0,11.0,2450.0,940.0,0.0,97.78958333333333,117.4,17,73.03,3,44.370000000000005,14.215444900947844,98.25999999999999,0,1,0,4,0,1,,,,,,,,,,,,,82.69041666666666,25.406146034780242,92.58,118.06,,,3042.125,2427.4041666666667,1157.825,334.9875,493.1,-1076.6000000000001,54.0875,24.965995373714676,75.53,,,2864.822916666667,161.42708333333303,,,,0
2024-01-06,2767.9166666666665,3080.0,18.0,2410.0,670.0,0.0,88.64416666666666,104.29,17,73.01,3,31.28,10.200337981044363,90.27000000000001,0,1,0,5,1,1,,,,,,,,,,,,,97.78958333333333,14.215444900947844,44.370000000000005,117.4,,,3099.2083333333335,2437.620833333333,1130.9208333333333,402.64166666666665,814.3000000000001,-1150.3041666666668,62.82791666666667,22.81588527916131,69.298,,,2911.7,-143.7833333333333,,,,0
2024-01-07,2833.3333333333335,3350.0,11.0,2340.0,1010.0,0.0,86.33833333333332,104.85,18,71.86,4,32.989999999999995,9.730171215557204,84.83500000000001,0,1,0,6,1,1,,,,,,,,,,,,,88.64416666666666,10.200337981044363,31.28,104.29,,,2845.5,2439.1,1046.4416666666666,138.9,83.7,-1404.4583333333333,67.130625,20.713294062808487,62.961666666666666,,,2900.6666666666665,-67.33333333333303,,,,0
2024-01-08,3370.4166666666665,3820.0,8.0,2550.0,1270.0,0.0,101.9975,130.83,17,75.05,3,55.780000000000015,17.092499817171273,101.4,0,1,0,0,0,1,,,,,,,,,,,,,86.33833333333332,9.730171215557204,32.989999999999995,104.85,,,2969.3333333333335,2442.8624999999997,1089.0833333333333,142.19583333333333,134.5,-1083.2083333333333,69.87458333333333,19.14427651320116,58.68,,,2910.476190476191,459.9404761904757,,,905.0,0
2024-01-09,3524.1666666666665,3980.0,16.0,2810.0,1170.0,0.0,109.15666666666665,137.84,17,84.11,3,53.730000000000004,17.552507727849942,109.41499999999999,0,1,0,1,0,1,,,,,,,,,,,,,101.9975,17.092499817171273,55.780000000000015,130.83,,,3529.0833333333335,2447.7125,1127.7375,416.94166666666666,544.6,-905.0499999999998,81.6744642857143,18.046713064879196,57.64428571428572,,,3059.5654761904766,464.6011904761899,,,612.5,0
2024-01-10,3628.3333333333335,4080.0,8.0,2950.0,1130.0,0.0,112.79333333333334,143.79,17,85.86,3,57.92999999999999,19.281357670641047,110.35,0,1,0,2,0,1,,,,,,,,,,,,,109.15666666666665,17.552507727849942,53.730000000000004,137.84,,,3660.2083333333335,2443.0625,1014.9083333333333,442.8458333333333,1057.1999999999998,-681.7541666666667,88.71005952380952,16.701019657619394,53.88857142857143,,,3166.6011904761904,461.7321428571431,,,535.8333333333335,0
