lead_time_min,month,model_mae,baseline_mae,model_rmse,baseline_rmse,model_corr,baseline_corr,model_bias,baseline_bias,model_dir_acc,baseline_dir_acc,n_obs
0,2026-04,1.506965807237991,1.8948827486678506,2.764878106787273,2.8813175047317117,0.9845509322140037,0.9827944752197473,-0.3645647242141204,-0.098785013321492,0.9520426287744227,0.9325044404973357,1126
3,2026-04,2.230543596254555,2.2855356067316213,3.410046889423806,3.293619717876241,0.9762223591212275,0.9775782280264221,-0.27610488470294275,-0.173945792736935,0.9264836138175376,0.9158547387068202,1129
6,2026-04,3.058818037841673,3.288202437943262,4.361074660184341,4.3878864183720765,0.9606147471622161,0.9611896506611064,-0.33541359039599805,-0.20668515070921983,0.8936170212765957,0.8918439716312057,1128
9,2026-04,4.160660393355223,4.56148808680248,5.6194800545799835,6.103394212559789,0.9351687300948528,0.9259092230466768,-0.7655905433221625,-0.22044433126660726,0.8644818423383526,0.8370239149689991,1129
12,2026-04,5.229334120969918,6.238804915854739,7.148536437059484,8.6965272125183,0.8914089060723859,0.8582742770284074,-0.6506907719961151,0.7518704605845882,0.8263950398582817,0.8051372896368467,1129
