week_start,week_end,lead,static_mae,retrained_mae,baseline_mae,improvement_pct,n
2026-03-02,2026-03-09,0,1.251318089280799,1.2406930187235232,1.768740302690583,0.849110282053267,669
2026-03-02,2026-03-09,3,1.94479526213939,1.901118057642581,2.1274472305389223,2.245851033633306,668
2026-03-02,2026-03-09,6,2.673872576679167,2.6364111761597724,3.092668038922156,1.4010166694599868,668
2026-03-02,2026-03-09,9,3.6195829664661456,3.5825105203592913,4.425632660687594,1.0242187138771008,669
2026-03-02,2026-03-09,12,4.314893783514552,4.379004424798207,6.198730855855857,-1.4857988284345591,666
2026-03-09,2026-03-16,0,1.1904879227641982,1.1686113587443907,1.744497245127436,1.837613267761029,667
2026-03-09,2026-03-16,3,1.9296037926841763,1.931408162583494,2.1635392481203013,-0.093509864883079,665
2026-03-09,2026-03-16,6,2.66370626602597,2.644667610745483,3.1498261654135336,0.7147430451815873,665
2026-03-09,2026-03-16,9,3.6224871069077658,3.5789711402148088,4.369509805389221,1.2012731973559232,668
2026-03-09,2026-03-16,12,4.415918265310108,4.373143289405808,6.287907575757576,0.9686541583055153,660
2026-03-16,2026-03-23,0,1.2300043426506329,1.224201412451593,1.7900195660522276,0.47178127733554787,651
2026-03-16,2026-03-23,3,1.9374896393031675,1.8786572610438537,2.1469875192604007,3.0365260833329355,649
2026-03-16,2026-03-23,6,2.6076040377388208,2.563737509389567,3.213214976958526,1.6822541963576798,651
2026-03-16,2026-03-23,9,3.417597994785402,3.391649823960452,4.431254747320061,0.7592516985479802,653
2026-03-16,2026-03-23,12,4.642300161361973,4.624470662406891,6.269131007751938,0.3840660520721628,645
2026-03-23,2026-03-30,0,2.4431451044308443,2.3821282484822066,2.8541146384479714,2.4974716335095515,567
2026-03-23,2026-03-30,3,2.9796173813188953,2.9112019663260007,3.165587566137566,2.2961141058524537,567
2026-03-23,2026-03-30,6,3.637174310473973,3.5979728801452855,4.000715608465608,1.0777990544967642,567
2026-03-23,2026-03-30,9,4.463978304897474,4.41090220413528,5.21791975308642,1.1889865303324587,567
2026-03-23,2026-03-30,12,5.679811224160604,5.610771217532984,7.153393683274022,1.2155334729073264,562
2026-03-30,2026-04-06,0,1.5679233776331947,1.5277180984228276,1.7727918671548117,2.564237499351374,478
2026-03-30,2026-04-06,3,2.2159291338353038,2.2289236909615338,2.211839748953975,-0.5864157354048105,478
2026-03-30,2026-04-06,6,3.02159324894883,3.001997601630775,3.1395598326359835,0.6485203567645148,478
2026-03-30,2026-04-06,9,4.227857437416974,4.215066139612598,4.367060125260961,0.302547992540414,479
2026-03-30,2026-04-06,12,5.270189243593922,5.20987686851432,6.0352897245762716,1.1444062497928953,472
2026-04-06,2026-04-13,0,1.7436556631687685,1.7469635708680802,2.2835695804195804,-0.18971106332428267,286
2026-04-06,2026-04-13,3,2.50529923467504,2.5402209818596178,2.664245644599303,-1.3939152138489952,287
2026-04-06,2026-04-13,6,3.4199965388791904,3.459085302825516,3.6187439024390247,-1.1429474709099052,287
2026-04-06,2026-04-13,9,4.688144867993224,4.674833100239995,4.965134320557492,0.28394531585639315,287
2026-04-06,2026-04-13,12,6.100489444744927,5.944398335113298,6.815313604240282,2.558665350467726,283
