attr,unit,n,first,last,min,p05,median,mean,p95,max,std,note
Pdod,MW,2880,2026-03-24T10:45:00+00:00,2026-04-23T10:30:00+00:00,-1.982757441278784,-1.4981838821268159,-0.022717731417937353,-0.039903459032037486,1.8023608632406036,2.766607186170481,0.8245379043236393,Actual delivered power (+ discharge / - charge)
SoC.15M,%,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,7.4,20.8,39.5,44.024435993434246,76.80000000000001,98.4000015258789,19.505235631809555,"State of charge, 15-min series"
PP_Pdb,MW,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,-1.8,-1.5,0.0,-0.026553280111072546,1.8,2.7,0.7930861559246081,Planned Pdb from production plan
RBO_RE,MWh,2881,2026-03-24T10:45:00+00:00,2026-04-23T10:45:00+00:00,-0.19498253013058503,-0.027710788610504456,-0.0021295800587534802,-0.0031393580364689304,0.006497836421476458,0.2408633463977456,0.03158082888375799,RBO regulation energy (balancing)
Adelta,MW,2880,2026-03-24T10:45:00+00:00,2026-04-23T10:30:00+00:00,-0.22842300571626106,-0.0855730861947068,-0.0004271120042323717,-0.0034046842024538153,0.06511477669500157,0.19864363032780713,0.04568909784367697,Pdod - PP_Pdb (schedule deviation)
