dataset,baseline_eur_mwh,current_pred15_eur_mwh,oracle_eur_mwh,best_r1_X,best_r1_eur_mwh,best_r12_X,best_r12_A,best_r12_Y,best_r12_eur_mwh,best_full_X,best_full_A,best_full_Y,best_full_F,best_full_eur_mwh,best_full_pct_curtailed,floor_uplift_vs_r12
Real Preds (Oct-Mar),97.1471754302046,96.11130824430629,100.02785210464577,29,97.1471754302046,59,80.0,14.0,97.321496495243,52,75.0,11.0,2,97.20566033561023,1.0788381742738589,-0.11583615963276372
Summer Oracle,50.523603513109386,60.45486638369663,67.12559868428882,17,60.46312144841489,32,35.0,2.0,64.03530883856033,31,35.0,-3.0,0,64.37731759422306,22.398959583833534,0.34200875566273226
Summer Simulated,50.523603513109386,58.101708999189825,67.12559868428882,26,59.28754995629428,35,20.0,8.0,62.413097226458355,34,10.0,5.0,-6,62.43190422977821,14.335734293717486,0.018807003319857074
