X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-5,15.0,-6.0,combined,83096.18057404604,30.3447927892368,8073,80.76230492196879
-5,20.0,-20.0,combined,67599.33111881584,24.685703738977452,8409,84.1236494597839
-5,20.0,-18.0,combined,68758.99428726966,25.109185760761637,8380,83.83353341336534
-5,20.0,-16.0,combined,69865.39796358236,25.513218654536363,8353,83.56342537014805
-5,20.0,-14.0,combined,71630.66447616406,26.157852934620244,8316,83.19327731092437
-5,20.0,-12.0,combined,73049.63806452538,26.676029091632117,8279,82.82312925170068
-5,20.0,-10.0,combined,76731.11267166023,28.020418007471605,8235,82.38295318127251
-5,20.0,-8.0,combined,80010.18370276238,29.217858495019865,8166,81.69267707082834
-5,20.0,-6.0,combined,82949.60799865334,30.29126789316877,8079,80.82232893157263
-5,25.0,-20.0,combined,66727.2305113215,24.367232877344986,8439,84.42376950780313
-5,25.0,-18.0,combined,67935.56851779099,24.80848981806566,8409,84.1236494597839
-5,25.0,-16.0,combined,69054.2109562332,25.216992023164334,8381,83.84353741496598
-5,25.0,-14.0,combined,70841.15084772042,25.86954091722189,8343,83.46338535414166
-5,25.0,-12.0,combined,72371.77725538753,26.428490087418762,8303,83.06322529011605
-5,25.0,-10.0,combined,76139.21729600002,27.804271580484965,8256,82.59303721488595
-5,25.0,-8.0,combined,79649.76359745128,29.086241453933425,8180,81.8327330932373
-5,25.0,-6.0,combined,82846.6034483331,30.253653026706512,8083,80.8623449379752
-5,30.0,-20.0,combined,65525.78358358629,23.92849239832979,8476,84.79391756702681
-5,30.0,-18.0,combined,66758.95806739455,24.37881904301583,8445,84.48379351740695
-5,30.0,-16.0,combined,68144.38155407,24.884743483081365,8410,84.13365346138455
-5,30.0,-14.0,combined,70217.31170824105,25.64172937052332,8365,83.68347338935574
-5,30.0,-12.0,combined,71995.69828826502,26.291154794137096,8317,83.20328131252501
-5,30.0,-10.0,combined,75804.59818857905,27.682076463839856,8267,82.70308123249299
-5,30.0,-8.0,combined,79439.01635868578,29.00928146314848,8187,81.90276110444178
-5,30.0,-6.0,combined,82798.29567924807,30.236012152807508,8085,80.88235294117648
-5,35.0,-20.0,combined,64797.72755884282,23.662623268639653,8497,85.00400160064025
-5,35.0,-18.0,combined,66046.7581945738,24.118740211281704,8465,84.68387354941976
-5,35.0,-16.0,combined,67458.87271307057,24.634411595482973,8429,84.32372949179671
-5,35.0,-14.0,combined,69712.0513896802,25.457220051738318,8379,83.82352941176471
-5,35.0,-12.0,combined,71561.49004965441,26.132592042672517,8329,83.3233293317327
-5,35.0,-10.0,combined,75370.38994996843,27.523513712375273,8279,82.82312925170068
-5,35.0,-8.0,combined,79239.48483252323,28.93641718979084,8193,81.96278511404562
-5,35.0,-6.0,combined,82637.3149751827,30.1772257432014,8090,80.93237294917968
-5,40.0,-20.0,combined,64159.2112241649,23.42945195156475,8521,85.24409763905562
-5,40.0,-18.0,combined,65408.24185989588,23.885568894206795,8489,84.92396958783513
-5,40.0,-16.0,combined,66916.2589545224,24.4362616690485,8451,84.5438175270108
-5,40.0,-14.0,combined,69169.43763113204,25.259070125303843,8401,84.04361744697879
-5,40.0,-12.0,combined,71107.26063432626,25.966718023052245,8347,83.50340136054422
-5,40.0,-10.0,combined,75042.80732016679,27.403888153727284,8293,82.96318527410963
-5,40.0,-8.0,combined,78999.3804682703,28.848736659461846,8204,82.07282913165265
-5,40.0,-6.0,combined,82548.20653275831,30.144685412196292,8094,80.97238895558223
-5,45.0,-20.0,combined,63198.56598643749,23.0786466500283,8546,85.49419767907163
-5,45.0,-18.0,combined,64447.59662216848,23.534763592670352,8514,85.17406962785114
-5,45.0,-16.0,combined,66081.05714701445,24.131265391109576,8473,84.76390556222489
-5,45.0,-14.0,combined,68537.25573173459,25.028211996689528,8419,84.22368947579032
-5,45.0,-12.0,combined,70509.48610111355,25.74842466444404,8364,83.6734693877551
-5,45.0,-10.0,combined,74627.31157129414,27.252158768366254,8304,83.07322929171669
-5,45.0,-8.0,combined,78772.95801772713,28.7660524458542,8210,82.1328531412565
-5,45.0,-6.0,combined,82426.9010404027,30.100387467281156,8097,81.00240096038416
-5,50.0,-20.0,combined,61675.31087194952,22.522389304685046,8581,85.84433773509403
-5,50.0,-18.0,combined,63167.78885126962,23.067407555970505,8545,85.48419367747098
-5,50.0,-16.0,combined,64844.67291375047,23.679766620563278,8503,85.0640256102441
-5,50.0,-14.0,combined,67537.8548232317,24.66325402542788,8446,84.49379751900761
-5,50.0,-12.0,combined,69680.87818393033,25.445836321914378,8386,83.8935574229692
-5,50.0,-10.0,combined,74081.06923623802,27.052683770171644,8320,83.23329331732693
-5,50.0,-8.0,combined,78546.60466209913,28.68339346410281,8217,82.20288115246099
-5,50.0,-6.0,combined,82396.98530071361,30.089462934820926,8098,81.0124049619848
-5,55.0,-20.0,combined,60348.02919613777,22.037696901890804,8617,86.20448179271709
-5,55.0,-18.0,combined,62019.33661873936,22.648019507281393,8577,85.80432172869148
-5,55.0,-16.0,combined,63841.88528549066,23.313571898002728,8531,85.34413765506203
-5,55.0,-14.0,combined,66658.20231884121,24.34202538666419,8470,84.73389355742297
-5,55.0,-12.0,combined,68903.34977614551,25.161901028390854,8407,84.10364145658264
-5,55.0,-10.0,combined,73723.1677176268,26.921986458379642,8330,83.33333333333334
-5,55.0,-8.0,combined,78278.11986483981,28.58534905961139,8224,82.27290916366546
-5,55.0,-6.0,combined,82226.38168001725,30.027162459836862,8102,81.05242096838735
-5,60.0,-20.0,combined,57882.29874309124,21.13726947965646,8660,86.63465386154462
-5,60.0,-18.0,combined,59625.6986142235,21.773918570779838,8618,86.21448579431772
-5,60.0,-16.0,combined,61596.40598948281,22.493575076498253,8568,85.71428571428571
-5,60.0,-14.0,combined,64614.33841875513,23.595653819294164,8503,85.0640256102441
-5,60.0,-12.0,combined,67501.44274775358,24.649957182206247,8428,84.31372549019608
-5,60.0,-10.0,combined,72609.09381192032,26.515152575197316,8345,83.48339335734293
-5,60.0,-8.0,combined,77842.61101588179,28.426311355492917,8234,82.37294917967188
-5,60.0,-6.0,combined,81996.9951863572,29.943395846610144,8107,81.10244097639055
-5,65.0,-20.0,combined,55833.49944452602,20.389095619531854,8707,87.10484193677472
-5,65.0,-18.0,combined,57628.07821270587,21.044434053719645,8663,86.66466586634654
-5,65.0,-16.0,combined,59622.85871552592,21.77288150581578,8612,86.15446178471389
-5,65.0,-14.0,combined,62758.131506138765,22.917810219887077,8544,85.47418967587035
-5,65.0,-12.0,combined,65922.8135587258,24.073478512534987,8463,84.66386554621849
-5,65.0,-10.0,combined,71255.58898727287,26.020884088253318,8375,83.78351340536214
-5,65.0,-8.0,combined,76774.56646109073,28.036286320877423,8256,82.59303721488595
-5,65.0,-6.0,combined,81586.30156234371,29.793420085576876,8115,81.18247298919567
-5,70.0,-20.0,combined,53420.06755442681,19.50776641631128,8759,87.625050020008
-5,70.0,-18.0,combined,55214.646322606655,20.163104850499074,8715,87.18487394957984
-5,70.0,-16.0,combined,57458.076320105654,20.982353315843437,8659,86.62464985994399
