X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed,avoided_loss
5,,,rule1_only,43362.187426727425,97.63763660049332,780,20.520915548539858,6486.541580260331
5,0.0,-10.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,-8.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,-6.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,-4.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,-2.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,0.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,2.0,combined,43358.688523774574,97.6297582014714,781,20.547224414627728,6490.040483213186
5,0.0,4.0,combined,43362.187426727425,97.63763660049332,780,20.520915548539858,6486.541580260331
5,5.0,-10.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,-8.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,-6.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,-4.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,-2.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,0.0,combined,43308.640504960815,97.51706623265018,789,20.757695343330703,6540.088502026941
5,5.0,2.0,combined,43360.520232517214,97.63388261777014,784,20.626151012891345,6488.208774470548
5,5.0,4.0,combined,43362.187426727425,97.63763660049332,780,20.520915548539858,6486.541580260331
5,10.0,-10.0,combined,43100.58849495518,97.04860032369994,799,21.02078400420942,6748.140512032583
5,10.0,-8.0,combined,43100.58849495518,97.04860032369994,799,21.02078400420942,6748.140512032583
5,10.0,-6.0,combined,43100.58849495518,97.04860032369994,799,21.02078400420942,6748.140512032583
5,10.0,-4.0,combined,43100.58849495518,97.04860032369994,799,21.02078400420942,6748.140512032583
5,10.0,-2.0,combined,43100.58849495518,97.04860032369994,799,21.02078400420942,6748.140512032583
5,10.0,0.0,combined,43232.9988136614,97.34674558221208,796,20.941857405945804,6615.730193326355
5,10.0,2.0,combined,43353.47670123415,97.61802286094947,788,20.73138647724283,6495.252305753614
5,10.0,4.0,combined,43360.17265996775,97.63309999668272,781,20.547224414627728,6488.556347020003
5,15.0,-10.0,combined,42748.53750375694,96.25589523239105,809,21.283872665088136,7100.191503230819
5,15.0,-8.0,combined,42748.53750375694,96.25589523239105,809,21.283872665088136,7100.191503230819
5,15.0,-6.0,combined,42748.53750375694,96.25589523239105,809,21.283872665088136,7100.191503230819
5,15.0,-4.0,combined,42748.53750375694,96.25589523239105,809,21.283872665088136,7100.191503230819
5,15.0,-2.0,combined,42748.53750375694,96.25589523239105,809,21.283872665088136,7100.191503230819
5,15.0,0.0,combined,43205.13501331544,97.28400530608823,800,21.04709287029729,6643.593993672321
5,15.0,2.0,combined,43325.61290088818,97.5552825848256,792,20.836621941594316,6523.11610609958
5,15.0,4.0,combined,43362.39815955302,97.63811110273285,783,20.599842146803475,6486.330847434743
5,20.0,-10.0,combined,42744.3948220055,96.24656725150722,811,21.336490397263876,7104.33418498225
5,20.0,-8.0,combined,42744.3948220055,96.24656725150722,811,21.336490397263876,7104.33418498225
5,20.0,-6.0,combined,42744.3948220055,96.24656725150722,811,21.336490397263876,7104.33418498225
5,20.0,-4.0,combined,42744.3948220055,96.24656725150722,811,21.336490397263876,7104.33418498225
5,20.0,-2.0,combined,42744.3948220055,96.24656725150722,811,21.336490397263876,7104.33418498225
5,20.0,0.0,combined,43200.992331564004,97.27467732520438,802,21.099710602473035,6647.736675423754
5,20.0,2.0,combined,43326.05958466736,97.55628837238142,793,20.86293080768219,6522.669422320396
5,20.0,4.0,combined,43362.39815955302,97.63811110273285,783,20.599842146803475,6486.330847434743
5,25.0,-10.0,combined,42554.73273116563,95.8195094990909,824,21.67850565640621,7293.996275822126
5,25.0,-8.0,combined,42554.73273116563,95.8195094990909,824,21.67850565640621,7293.996275822126
5,25.0,-6.0,combined,42554.73273116563,95.8195094990909,824,21.67850565640621,7293.996275822126
5,25.0,-4.0,combined,42554.73273116563,95.8195094990909,824,21.67850565640621,7293.996275822126
5,25.0,-2.0,combined,42571.22999882267,95.8566560159063,823,21.65219679031834,7277.499008165089
5,25.0,0.0,combined,43051.135162104285,96.93724739553556,809,21.283872665088136,6797.59384488347
5,25.0,2.0,combined,43328.13011383554,97.56095053512021,797,20.968166272033674,6520.598893152219
5,25.0,4.0,combined,43362.65737198824,97.63869476539045,785,20.652459878979215,6486.071634999515
5,30.0,-10.0,combined,42352.16654612608,95.36339589560028,835,21.967903183372798,7496.562460861681
5,30.0,-8.0,combined,42352.16654612608,95.36339589560028,835,21.967903183372798,7496.562460861681
5,30.0,-6.0,combined,42352.16654612608,95.36339589560028,835,21.967903183372798,7496.562460861681
5,30.0,-4.0,combined,42352.16654612608,95.36339589560028,835,21.967903183372798,7496.562460861681
5,30.0,-2.0,combined,42387.277374215235,95.44245413682725,833,21.915285451197054,7461.451632772521
5,30.0,0.0,combined,43011.02984351567,96.84694317532714,817,21.494343593791108,6837.699163472087
5,30.0,2.0,combined,43317.958772319624,97.53804796019017,802,21.099710602473035,6530.77023466813
5,30.0,4.0,combined,43356.116567404344,97.62396698667503,787,20.70507761115496,6492.612439583411
5,35.0,-10.0,combined,42194.74027583006,95.00892279627827,845,22.230991844251513,7653.988731157699
5,35.0,-8.0,combined,42194.74027583006,95.00892279627827,845,22.230991844251513,7653.988731157699
5,35.0,-6.0,combined,42194.74027583006,95.00892279627827,845,22.230991844251513,7653.988731157699
5,35.0,-4.0,combined,42194.74027583006,95.00892279627827,845,22.230991844251513,7653.988731157699
5,35.0,-2.0,combined,42229.85110391922,95.08798103750527,843,22.17837411207577,7618.87790306854
5,35.0,0.0,combined,42853.60357321965,96.49247007600512,827,21.757432254669823,6995.125433768106
5,35.0,2.0,combined,43283.279835225476,97.45996219794833,809,21.283872665088136,6565.449171762288
5,35.0,4.0,combined,43328.36674296931,97.56148334747915,789,20.757695343330703,6520.362264018453
5,40.0,-10.0,combined,42106.708904151834,94.81070458849331,852,22.415153906866614,7742.020102835928
5,40.0,-8.0,combined,42106.708904151834,94.81070458849331,852,22.415153906866614,7742.020102835928
5,40.0,-6.0,combined,42106.708904151834,94.81070458849331,852,22.415153906866614,7742.020102835928
5,40.0,-4.0,combined,42132.824041892134,94.86950744138831,851,22.388845040778744,7715.904965095626
5,40.0,-2.0,combined,42180.697055736295,94.97730200172005,848,22.309918442515126,7668.031951251456
5,40.0,0.0,combined,42828.460245561706,96.43585542544255,829,21.810049986845566,7020.26876142605
5,40.0,2.0,combined,43283.279835225476,97.45996219794833,809,21.283872665088136,6565.449171762288
5,40.0,4.0,combined,43328.36674296931,97.56148334747915,789,20.757695343330703,6520.362264018453
5,45.0,-10.0,combined,41905.74943005845,94.35820877895623,870,22.888713496448304,7942.979576929305
5,45.0,-8.0,combined,41905.74943005845,94.35820877895623,870,22.888713496448304,7942.979576929305
5,45.0,-6.0,combined,41905.74943005845,94.35820877895623,870,22.888713496448304,7942.979576929305
5,45.0,-4.0,combined,41931.86456779875,94.41701163185122,869,22.86240463036043,7916.864439189003
5,45.0,-2.0,combined,42026.24823633045,94.6295331598459,863,22.7045514338332,7822.480770657308
5,45.0,0.0,combined,42751.01344128196,96.26147024376985,839,22.07313864772428,7097.715565705801
5,45.0,2.0,combined,43233.55391764629,97.3479954970427,817,21.494343593791108,6615.175089341472
5,45.0,4.0,combined,43314.6183108018,97.53052632009059,791,20.810313075506446,6534.110696185953
5,50.0,-10.0,combined,41700.07184410855,93.89508930584898,886,23.30965535385425,8148.657162879213
5,50.0,-8.0,combined,41711.880277583914,93.92167808295893,885,23.283346487766376,8136.848729403845
5,50.0,-6.0,combined,41711.880277583914,93.92167808295893,885,23.283346487766376,8136.848729403845
5,50.0,-4.0,combined,41757.34482599654,94.02404955726747,883,23.230728755590636,8091.384180991218
5,50.0,-2.0,combined,41905.18251449888,94.35693226827554,874,22.99394896079979,7943.546492488876
5,50.0,0.0,combined,42636.52534604932,96.00368004219628,848,22.309918442515126,7212.2036609384395
5,50.0,2.0,combined,43120.94868665303,97.09444489741917,824,21.67850565640621,6727.780320334732
5,50.0,4.0,combined,43267.33583724081,97.42406146568439,794,20.88923967377006,6581.393169746947
5,55.0,-10.0,combined,41492.26328464052,93.42717156885527,902,23.730597211260196,8356.465722347237
5,55.0,-8.0,combined,41516.74745142976,93.48230200210367,900,23.677979479084453,8331.981555557995
5,55.0,-6.0,combined,41516.74745142976,93.48230200210367,900,23.677979479084453,8331.981555557995
5,55.0,-4.0,combined,41625.184153448856,93.72646642124852,895,23.54643514864509,8223.544853538908
5,55.0,-2.0,combined,41793.40734563285,94.1052507003855,884,23.257037621678506,8055.321661354914
5,55.0,0.0,combined,42545.522188013376,95.79877033166045,856,22.5203893712181,7303.206818974384
5,55.0,2.0,combined,43074.25060477326,96.98929590427343,828,21.783741120757696,6774.478402214495
5,55.0,4.0,combined,43260.43253421859,97.4085174576021,795,20.91554853985793,6588.29647276916
5,60.0,-10.0,combined,41167.87299122536,92.69674943231716,931,24.49355432780847,8680.856015762398
5,60.0,-8.0,combined,41192.3571580146,92.75187986556556,929,24.440936595632728,8656.371848973158
5,60.0,-6.0,combined,41243.40790679651,92.86682965831237,926,24.362009997369114,8605.32110019125
5,60.0,-4.0,combined,41419.5043323853,93.26334191538746,917,24.12523020257827,8429.22467460245
5,60.0,-2.0,combined,41615.93836891122,93.70564790160401,903,23.756906077348066,8232.79063807654
5,60.0,0.0,combined,42446.2872080236,95.57532521762714,869,22.86240463036043,7402.441798964157
5,60.0,2.0,combined,43020.21371834089,96.86762229430113,835,21.967903183372798,6828.515288646857
5,60.0,4.0,combined,43234.4369152391,97.34998372234224,798,20.994475138121548,6614.292091748653
5,65.0,-10.0,combined,40739.68818279618,91.73261558196874,948,24.940805051302288,9109.040824191577
5,65.0,-8.0,combined,40764.172349585424,91.78774601521715,946,24.888187319126544,9084.556657402336
5,65.0,-6.0,combined,40841.6851716731,91.96227984766423,942,24.78295185477506,9007.043835314653
5,65.0,-4.0,combined,41056.3336640976,92.4455989038258,931,24.49355432780847,8792.39534289016
5,65.0,-2.0,combined,41291.73112038561,92.97563792301888,914,24.04630360431465,8556.997886602148
5,65.0,0.0,combined,42334.286190455794,95.32313511142806,877,23.072875559063405,7514.442816531967
5,65.0,2.0,combined,42972.81644906934,96.76089895704303,839,22.07313864772428,6875.912557918418
5,65.0,4.0,combined,43198.3535186937,97.26873557116988,800,21.04709287029729,6650.375488294063
