net_surprise_bin,n_samples,n_long,n_short,pct_long,mean_imbalance
<-150,128,24,104,18.75,-7.341455078125
-150:-75,424,174,250,41.0377358490566,-2.1252211084905657
-75:-25,627,288,339,45.933014354066984,-0.343902711323764
-25:0,458,250,208,54.585152838427945,0.7754677947598255
0:25,448,252,196,56.25,1.4020591517857144
25:75,760,495,265,65.13157894736842,2.8381210526315788
75:150,660,506,154,76.66666666666667,5.471999621212121
>150,321,267,54,83.17757009345794,9.621498442367601
