datetime,imbalance,error_static,error_adaptive,model_train_end
2025-01-01 00:00:00,-16.839,2.7610530124049877,2.7610530124049877,2025-01-01
2025-01-01 00:15:00,-17.158,0.07211688448590436,0.07211688448590436,2025-01-01
2025-01-01 00:30:00,-16.296,3.5347501504058148,3.5347501504058148,2025-01-01
2025-01-01 00:45:00,-16.007,7.539673292723437,7.539673292723437,2025-01-01
2025-01-01 01:00:00,-17.682,14.669638762839815,14.669638762839815,2025-01-01
2025-01-01 01:15:00,-11.718,0.6965442813326792,0.6965442813326792,2025-01-01
2025-01-01 01:30:00,-15.827,3.642249676054977,3.642249676054977,2025-01-01
2025-01-01 01:45:00,-3.326,10.106271419282995,10.106271419282995,2025-01-01
2025-01-01 02:00:00,-24.849,17.727829906173465,17.727829906173465,2025-01-01
2025-01-01 02:15:00,-14.071,2.204737206093119,2.204737206093119,2025-01-01
2025-01-01 02:30:00,-12.258,2.455881015394537,2.455881015394537,2025-01-01
2025-01-01 02:45:00,-4.07,5.9080506511649915,5.9080506511649915,2025-01-01
2025-01-01 03:00:00,-11.255,3.0057475505102254,3.0057475505102254,2025-01-01
2025-01-01 03:15:00,-7.389,1.703528299290899,1.703528299290899,2025-01-01
2025-01-01 03:30:00,-6.532,,,2025-01-01
2025-01-01 03:45:00,-2.719,1.5472776493055345,1.5472776493055345,2025-01-01
2025-01-01 04:00:00,-13.864,8.79680195969102,8.79680195969102,2025-01-01
2025-01-01 04:15:00,-11.995,4.3004401314364475,4.3004401314364475,2025-01-01
2025-01-01 04:30:00,-15.091,4.386155404228585,4.386155404228585,2025-01-01
2025-01-01 04:45:00,-19.62,8.122183865297835,8.122183865297835,2025-01-01
2025-01-01 05:00:00,-22.16,4.943937040086546,4.943937040086546,2025-01-01
2025-01-01 05:15:00,-12.806,0.5992774491190627,0.5992774491190627,2025-01-01
2025-01-01 05:30:00,-14.46,3.625868227046693,3.625868227046693,2025-01-01
2025-01-01 05:45:00,-2.857,9.776106660809308,9.776106660809308,2025-01-01
2025-01-01 06:00:00,3.893,5.247338853928143,5.247338853928143,2025-01-01
2025-01-01 06:15:00,0.785,0.7761036489404706,0.7761036489404706,2025-01-01
2025-01-01 06:30:00,-1.125,0.01279123447126973,0.01279123447126973,2025-01-01
2025-01-01 06:45:00,3.137,3.482185682704773,3.482185682704773,2025-01-01
2025-01-01 07:00:00,1.308,7.127589834902123,7.127589834902123,2025-01-01
2025-01-01 07:15:00,1.52,0.7300697876815944,0.7300697876815944,2025-01-01
2025-01-01 07:30:00,5.423,2.768749619403708,2.768749619403708,2025-01-01
2025-01-01 07:45:00,-3.613,7.717785425895563,7.717785425895563,2025-01-01
2025-01-01 08:00:00,1.323,0.5634415861243208,0.5634415861243208,2025-01-01
2025-01-01 08:15:00,4.718,2.845291902204416,2.845291902204416,2025-01-01
2025-01-01 08:30:00,-8.727,13.481921149932205,13.481921149932205,2025-01-01
2025-01-01 08:45:00,-3.209,1.6681431956656758,1.6681431956656758,2025-01-01
2025-01-01 09:00:00,2.547,2.860350786684756,2.860350786684756,2025-01-01
2025-01-01 09:15:00,-1.31,4.03452710413613,4.03452710413613,2025-01-01
2025-01-01 09:30:00,-1.056,1.225499576407334,1.225499576407334,2025-01-01
2025-01-01 09:45:00,1.227,2.307005221299776,2.307005221299776,2025-01-01
2025-01-01 10:00:00,11.996,7.750191079283587,7.750191079283587,2025-01-01
2025-01-01 10:15:00,9.991,3.7235036338034346,3.7235036338034346,2025-01-01
2025-01-01 10:30:00,-1.029,9.903499650838253,9.903499650838253,2025-01-01
2025-01-01 10:45:00,1.584,1.0374238111344178,1.0374238111344178,2025-01-01
