date,daily_mae,daily_mae_std,n_samples,imbalance_std,daily_bias,mae_standardized,mae_roll_7d,mae_roll_30d,above_10pct,above_20pct,above_30pct,mae_deviation,cusum
2025-01-01,4.931516608104665,4.698954575939784,93,9.155171449602802,1.9272956128879597,0.5386591212684082,,,False,False,False,0.5042487367900357,0.5042487367900357
2025-01-02,6.45705678346059,5.3309167571220994,96,11.818390562306853,-1.427036881281226,0.5463566929370649,,,False,False,False,2.0297889121459614,2.534037648935997
2025-01-03,6.326535852309879,5.866271793310744,94,10.096320078019614,-2.1507370523812273,0.62661799580653,5.9050364146250445,,True,True,True,1.8992679809952504,4.433305629931247
2025-01-04,5.375650990469444,4.720695508606732,94,9.559071363502452,-1.7261306124261881,0.5623612154413083,5.772690058586145,,True,True,True,0.9483831191548147,5.381688749086062
2025-01-05,4.858681577159646,3.9207791829490426,94,8.914486610957923,-2.080603402610988,0.5450321245855287,5.589888362300845,,True,True,False,0.43141370584501715,5.813102454931079
2025-01-06,4.331517733164209,3.966404848143154,96,9.001778535810859,-1.167308398977607,0.4811846587796593,5.380159924111406,,True,True,False,-0.09575013815041977,5.7173523167806595
2025-01-07,5.731592163210048,5.239025881954398,96,18.27979649714933,-1.8045803521833053,0.31354791964472195,5.430364529696925,5.430364529696925,True,True,False,1.3043242918954192,7.021676608676079
2025-01-08,5.267507833318542,4.392570485180429,95,8.776677106438582,-0.4629204680253907,0.6001710863276822,5.478363276156052,5.410007442649628,True,True,False,0.8402399620039134,7.861916570679992
2025-01-09,4.069962576767695,3.487032395007853,94,7.256914837679721,-0.9645652203089429,0.5608392364804158,5.137349818057066,5.261113568662747,True,False,False,-0.3573052945469337,7.504611276133058
2025-01-10,4.937235602775954,3.825441234341595,94,8.582207738907213,-0.7690795008656354,0.5752873564680946,4.938878353837934,5.228725772074067,True,False,False,0.5099677314613249,8.014579007594383
2025-01-11,5.414786827940801,4.782105395019982,93,7.742506343850952,-3.1097017708576056,0.6993583973284296,4.944469187762413,5.245640413516497,True,False,False,0.9875189566261717,9.002097964220555
2025-01-12,4.907721152873284,3.458024572234307,92,6.6813631714876855,-2.8411325886309835,0.7345388997587631,4.9514748414357905,5.217480475129563,True,False,False,0.4804532815586553,9.48255124577921
2025-01-13,4.433090306476171,3.518653790883711,92,6.6664629935761655,-0.2899964628404422,0.6649838618691677,4.9659852090517855,5.157142769848533,True,False,False,0.005822435161541684,9.48837368094075
2025-01-14,5.634324570780939,4.316268969104733,95,12.418647495183624,-1.7952769970371432,0.4536987278981969,4.95208983870477,5.191227184200848,True,False,False,1.2070566994663103,10.69543038040706
2025-01-15,5.087139516685683,4.275827561773934,91,9.335701702425956,-3.0955035320058975,0.5449123888956038,4.9263229363286465,5.184288006366503,True,False,False,0.6598716453710542,11.355302025778116
2025-01-16,5.166094324997757,4.16101544815481,90,9.81441742365754,-2.154932119614305,0.5263780927582055,5.082913186075799,5.183150901280957,True,False,False,0.7388264536831279,12.094128479461244
