Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.3.2025;1;00:00 - 00:15;45.4;10.4;35.4;0.4;35.0;167.78;35.8
1.3.2025;2;00:15 - 00:30;14.1;10.0;3.8;6.0;-2.2;136.57;9.8
1.3.2025;3;00:30 - 00:45;10.0;19.3;0.0;15.3;-15.3;115.26;15.3
1.3.2025;4;00:45 - 01:00;10.0;67.9;0.0;48.1;-48.1;96.29;48.1
1.3.2025;5;01:00 - 01:15;18.3;2.7;16.3;0.7;15.6;139.85;17.0
1.3.2025;6;01:15 - 01:30;4.5;16.6;2.5;6.6;-4.1;120.80;9.1
1.3.2025;7;01:30 - 01:45;10.0;40.4;0.0;30.4;-30.4;96.24;30.4
1.3.2025;8;01:45 - 02:00;10.1;55.2;0.1;34.9;-34.8;100.17;35.0
1.3.2025;9;02:00 - 02:15;31.4;5.0;21.4;1.0;20.4;139.05;22.4
1.3.2025;10;02:15 - 02:30;10.1;10.3;0.1;6.3;-6.2;115.09;6.4
1.3.2025;11;02:30 - 02:45;10.1;11.9;0.1;7.9;-7.8;110.36;8.0
1.3.2025;12;02:45 - 03:00;4.1;30.5;0.1;26.5;-26.4;106.43;26.6
1.3.2025;13;03:00 - 03:15;10.3;10.7;0.3;6.7;-6.4;116.21;7.0
1.3.2025;14;03:15 - 03:30;22.3;38.6;0.3;24.6;-24.3;100.72;24.9
1.3.2025;15;03:30 - 03:45;14.0;16.2;4.0;6.2;-2.2;107.53;10.2
1.3.2025;16;03:45 - 04:00;9.5;10.2;5.5;6.2;-0.7;105.35;11.7
1.3.2025;17;04:00 - 04:15;4.3;22.1;0.3;16.1;-15.8;93.23;16.4
1.3.2025;18;04:15 - 04:30;10.4;20.0;0.2;10.0;-9.8;103.15;10.2
1.3.2025;19;04:30 - 04:45;11.4;11.4;1.4;1.3;0.1;122.86;2.7
1.3.2025;20;04:45 - 05:00;14.3;5.3;10.3;1.2;9.1;135.09;11.5
1.3.2025;21;05:00 - 05:15;10.0;38.5;0.0;33.5;-33.5;98.07;33.5
1.3.2025;22;05:15 - 05:30;11.7;15.3;1.7;10.3;-8.6;108.37;12.0
1.3.2025;23;05:30 - 05:45;17.7;6.7;6.8;1.6;5.2;138.38;8.4
1.3.2025;24;05:45 - 06:00;18.1;6.8;8.1;1.7;6.4;127.60;9.8
1.3.2025;25;06:00 - 06:15;10.0;69.1;0.0;54.5;-54.5;90.98;54.5
1.3.2025;26;06:15 - 06:30;23.0;71.0;18.0;64.0;-46.0;103.99;82.0
1.3.2025;27;06:30 - 06:45;20.8;31.4;10.8;17.4;-6.6;141.80;28.2
1.3.2025;28;06:45 - 07:00;37.7;26.9;17.1;16.8;0.3;147.61;33.9
1.3.2025;29;07:00 - 07:15;10.0;68.0;0.0;58.0;-58.0;123.49;58.0
1.3.2025;30;07:15 - 07:30;16.0;22.2;6.0;12.2;-6.2;126.83;18.2
1.3.2025;31;07:30 - 07:45;16.7;33.3;6.7;23.3;-16.6;141.38;30.0
1.3.2025;32;07:45 - 08:00;36.2;28.5;26.2;18.4;7.8;143.59;44.6
1.3.2025;33;08:00 - 08:15;48.0;169.6;38.0;117.3;-79.3;134.93;155.3
1.3.2025;34;08:15 - 08:30;17.6;41.0;3.6;34.0;-30.4;136.50;37.6
1.3.2025;35;08:30 - 08:45;53.9;36.3;39.8;22.5;17.3;141.71;62.3
1.3.2025;36;08:45 - 09:00;143.4;78.7;89.0;59.4;29.6;139.93;148.4
1.3.2025;37;09:00 - 09:15;44.3;20.7;29.3;0.6;28.7;160.35;29.9
1.3.2025;38;09:15 - 09:30;28.4;21.3;18.4;7.3;11.1;144.79;25.7
1.3.2025;39;09:30 - 09:45;10.4;44.9;1.4;20.9;-19.5;125.36;22.3
1.3.2025;40;09:45 - 10:00;27.2;74.2;3.2;60.2;-57.0;104.13;63.4
1.3.2025;41;10:00 - 10:15;45.9;68.6;4.1;32.6;-28.5;136.01;36.7
1.3.2025;42;10:15 - 10:30;61.4;58.7;4.0;29.7;-25.7;117.30;33.7
1.3.2025;43;10:30 - 10:45;48.5;41.6;27.5;5.6;21.9;130.50;33.1
1.3.2025;44;10:45 - 11:00;38.5;30.9;31.5;15.8;15.7;114.38;47.3
1.3.2025;45;11:00 - 11:15;41.3;12.3;18.7;2.3;16.4;115.58;21.0
1.3.2025;46;11:15 - 11:30;40.9;20.4;9.4;10.3;-0.9;113.19;19.7
1.3.2025;47;11:30 - 11:45;71.2;20.4;14.1;12.4;1.7;100.19;26.5
1.3.2025;48;11:45 - 12:00;74.3;88.4;13.3;29.4;-16.1;98.06;42.7
1.3.2025;49;12:00 - 12:15;70.5;105.2;28.1;6.2;21.9;107.69;34.3
1.3.2025;50;12:15 - 12:30;72.7;168.5;11.7;10.5;1.2;103.47;22.2
1.3.2025;51;12:30 - 12:45;92.2;110.2;4.2;32.1;-27.9;95.00;36.3
1.3.2025;52;12:45 - 13:00;130.9;88.5;11.9;53.5;-41.6;91.65;65.4
1.3.2025;53;13:00 - 13:15;126.4;113.8;23.5;34.5;-11.0;98.77;58.0
1.3.2025;54;13:15 - 13:30;618.7;150.1;8.7;16.1;-7.4;96.40;24.8
1.3.2025;55;13:30 - 13:45;33.6;69.0;7.6;16.0;-8.4;94.68;23.6
1.3.2025;56;13:45 - 14:00;88.9;77.5;25.6;9.5;16.1;96.06;35.1
1.3.2025;57;14:00 - 14:15;67.1;52.0;21.1;14.0;7.1;100.79;35.1
1.3.2025;58;14:15 - 14:30;42.8;1,289.2;2.8;16.2;-13.4;91.57;19.0
1.3.2025;59;14:30 - 14:45;57.8;4,421.5;9.6;14.8;-5.2;99.57;24.4
1.3.2025;60;14:45 - 15:00;43.4;47.0;28.4;28.9;-0.5;101.99;57.3
1.3.2025;61;15:00 - 15:15;25.0;1,173.7;0.0;0.0;0.0;;0.0
1.3.2025;62;15:15 - 15:30;15.0;51.1;0.0;1.0;-1.0;101.00;1.0
1.3.2025;63;15:30 - 15:45;16.3;835.1;1.3;0.3;1.0;116.29;1.6
1.3.2025;64;15:45 - 16:00;41.4;26.3;7.2;7.2;0.0;103.20;14.4
1.3.2025;65;16:00 - 16:15;8.9;62.0;0.0;29.6;-29.6;90.68;29.6
1.3.2025;66;16:15 - 16:30;23.0;59.6;2.5;17.2;-14.7;105.61;19.7
1.3.2025;67;16:30 - 16:45;26.3;43.6;5.0;6.4;-1.4;133.42;11.4
1.3.2025;68;16:45 - 17:00;33.6;24.6;14.1;5.5;8.6;144.21;19.6
1.3.2025;69;17:00 - 17:15;1,659.0;63.9;1.0;31.3;-30.3;103.12;32.3
1.3.2025;70;17:15 - 17:30;16.7;744.2;3.9;14.6;-10.7;108.79;18.5
1.3.2025;71;17:30 - 17:45;55.4;140.0;1.2;8.9;-7.7;139.59;10.1
1.3.2025;72;17:45 - 18:00;95.1;122.0;4.6;9.8;-5.2;150.40;14.4
1.3.2025;73;18:00 - 18:15;27.3;25.5;7.3;4.8;2.5;114.36;12.1
1.3.2025;74;18:15 - 18:30;21.3;16.1;1.3;1.8;-0.5;102.23;3.1
1.3.2025;75;18:30 - 18:45;22.5;28.8;2.5;10.7;-8.2;129.27;13.2
1.3.2025;76;18:45 - 19:00;39.1;71.9;24.1;54.0;-29.9;125.69;78.1
1.3.2025;77;19:00 - 19:15;17.3;27.9;7.0;2.6;4.4;163.47;9.6
1.3.2025;78;19:15 - 19:30;11.0;22.6;0.2;2.4;-2.2;139.81;2.6
1.3.2025;79;19:30 - 19:45;10.0;23.7;0.0;3.7;-3.7;128.46;3.7
1.3.2025;80;19:45 - 20:00;5.2;22.7;0.2;17.7;-17.5;117.84;17.9
1.3.2025;81;20:00 - 20:15;53.7;76.7;26.0;61.5;-35.5;145.15;87.5
1.3.2025;82;20:15 - 20:30;37.4;61.7;27.4;61.6;-34.2;128.85;89.0
1.3.2025;83;20:30 - 20:45;17.7;37.5;7.7;27.5;-19.8;117.05;35.2
1.3.2025;84;20:45 - 21:00;42.3;121.3;32.3;101.5;-69.2;103.29;133.8
1.3.2025;85;21:00 - 21:15;34.1;16.4;21.3;6.4;14.9;149.46;27.7
1.3.2025;86;21:15 - 21:30;38.3;35.2;18.3;24.7;-6.4;123.47;43.0
1.3.2025;87;21:30 - 21:45;43.8;31.9;23.8;18.5;5.3;124.41;42.3
1.3.2025;88;21:45 - 22:00;32.9;52.2;12.3;33.5;-21.2;90.67;45.8
1.3.2025;89;22:00 - 22:15;76.2;3.6;56.2;0.0;56.2;178.10;56.2
1.3.2025;90;22:15 - 22:30;44.4;4.9;24.4;0.0;24.4;139.82;24.4
1.3.2025;91;22:30 - 22:45;28.0;135.0;18.0;18.9;-0.9;98.89;36.9
1.3.2025;92;22:45 - 23:00;45.1;236.6;35.1;36.2;-1.1;59.00;71.3
1.3.2025;93;23:00 - 23:15;24.9;13.5;13.3;1.2;12.1;126.84;14.5
1.3.2025;94;23:15 - 23:30;14.2;50.4;4.2;40.2;-36.0;107.84;44.4
1.3.2025;95;23:30 - 23:45;40.0;64.7;30.0;51.6;-21.6;98.83;81.6
1.3.2025;96;23:45 - 00:00;31.6;54.4;21.6;44.4;-22.8;105.76;66.0
2.3.2025;1;00:00 - 00:15;60.6;29.5;50.6;19.5;31.1;160.31;70.1
2.3.2025;2;00:15 - 00:30;18.9;18.7;8.9;8.7;0.2;152.63;17.6
2.3.2025;3;00:30 - 00:45;10.0;30.1;0.0;20.1;-20.1;130.45;20.1
2.3.2025;4;00:45 - 01:00;10.0;71.8;0.0;56.8;-56.8;100.67;56.8
2.3.2025;5;01:00 - 01:15;25.3;10.6;0.0;0.6;-0.6;138.50;0.6
2.3.2025;6;01:15 - 01:30;13.0;13.7;3.0;3.7;-0.7;106.53;6.7
2.3.2025;7;01:30 - 01:45;4.0;9.8;0.0;5.8;-5.8;110.66;5.8
2.3.2025;8;01:45 - 02:00;1.0;40.4;0.0;36.4;-36.4;93.19;36.4
2.3.2025;9;02:00 - 02:15;38.6;10.6;3.0;0.6;2.4;128.81;3.6
2.3.2025;10;02:15 - 02:30;10.4;16.0;0.4;5.9;-5.5;109.67;6.3
2.3.2025;11;02:30 - 02:45;10.0;17.6;0.0;7.6;-7.6;99.69;7.6
2.3.2025;12;02:45 - 03:00;10.0;38.6;0.0;28.6;-28.6;89.37;28.6
2.3.2025;13;03:00 - 03:15;11.3;11.2;0.0;1.0;-1.0;109.10;1.0
2.3.2025;14;03:15 - 03:30;10.0;12.1;0.0;2.1;-2.1;92.95;2.1
2.3.2025;15;03:30 - 03:45;10.0;10.8;0.0;0.7;-0.7;93.34;0.7
2.3.2025;16;03:45 - 04:00;10.0;11.0;0.0;1.0;-1.0;91.82;1.0
2.3.2025;17;04:00 - 04:15;10.7;13.1;0.7;9.1;-8.4;84.04;9.8
2.3.2025;18;04:15 - 04:30;10.7;19.9;0.7;9.7;-9.0;91.64;10.4
2.3.2025;19;04:30 - 04:45;13.2;10.8;2.7;0.8;1.9;102.61;3.5
2.3.2025;20;04:45 - 05:00;20.4;16.1;4.7;6.1;-1.4;106.24;10.8
2.3.2025;21;05:00 - 05:15;10.0;43.4;0.0;33.4;-33.4;86.64;33.4
2.3.2025;22;05:15 - 05:30;10.0;20.7;0.0;10.7;-10.7;95.99;10.7
2.3.2025;23;05:30 - 05:45;14.4;17.2;3.2;7.2;-4.0;108.53;10.4
2.3.2025;24;05:45 - 06:00;21.5;17.0;6.0;7.0;-1.0;104.73;13.0
2.3.2025;25;06:00 - 06:15;28.0;90.4;18.0;80.4;-62.4;70.33;98.4
2.3.2025;26;06:15 - 06:30;10.0;46.2;0.0;36.2;-36.2;82.24;36.2
2.3.2025;27;06:30 - 06:45;13.1;10.4;0.0;6.4;-6.4;115.06;6.4
2.3.2025;28;06:45 - 07:00;31.3;5.6;0.0;1.6;-1.6;129.01;1.6
