Delivery day;Period number;Period;Buy Orders (MWh);Sell Orders (MWh);Buy trades (MWh);Sell trades (MWh);Traded Quantity Difference (MWh);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MWh)
1.3.2025;1;00:00 - 01:00;35.9;41.4;9.1;13.9;-4.8;122.90;23.0
1.3.2025;2;01:00 - 02:00;53.0;57.5;19.3;20.9;-1.6;122.32;40.2
1.3.2025;3;02:00 - 03:00;48.5;30.6;18.5;11.1;7.4;116.82;29.6
1.3.2025;4;03:00 - 04:00;38.4;38.6;13.4;13.6;-0.2;111.44;27.0
1.3.2025;5;04:00 - 05:00;43.4;40.2;18.4;15.2;3.2;112.72;33.6
1.3.2025;6;05:00 - 06:00;41.9;45.6;16.9;19.1;-2.2;115.80;36.0
1.3.2025;7;06:00 - 07:00;53.1;73.0;22.1;34.4;-12.3;121.58;56.5
1.3.2025;8;07:00 - 08:00;47.3;74.8;13.5;40.8;-27.3;136.72;54.3
1.3.2025;9;08:00 - 09:00;71.8;106.4;24.8;75.4;-50.6;138.87;100.2
1.3.2025;10;09:00 - 10:00;70.8;160.8;34.7;118.7;-84.0;136.48;153.4
1.3.2025;11;10:00 - 11:00;260.0;165.5;45.9;129.5;-83.6;120.83;175.4
1.3.2025;12;11:00 - 12:00;109.3;173.1;58.3;132.0;-73.7;109.87;190.3
1.3.2025;13;12:00 - 13:00;308.0;230.1;34.0;88.6;-54.6;99.11;122.6
1.3.2025;14;13:00 - 14:00;139.8;360.5;17.8;124.5;-106.7;97.20;142.3
1.3.2025;15;14:00 - 15:00;107.0;176.2;15.0;87.3;-72.3;98.13;102.3
1.3.2025;16;15:00 - 16:00;147.0;16,676.5;16.9;16.9;0.0;88.13;33.8
1.3.2025;17;16:00 - 17:00;109.9;1,873.2;33.2;91.3;-58.1;117.03;124.5
1.3.2025;18;17:00 - 18:00;2,116.8;11,125.3;37.4;121.4;-84.0;114.62;158.8
1.3.2025;19;18:00 - 19:00;3,382.4;9,840.7;25.5;98.9;-73.4;133.92;124.4
1.3.2025;20;19:00 - 20:00;72.5;339.0;18.8;130.9;-112.1;138.78;149.7
1.3.2025;21;20:00 - 21:00;61.7;141.5;19.8;82.2;-62.4;129.69;102.0
1.3.2025;22;21:00 - 22:00;359.4;178.4;79.3;122.5;-43.2;123.72;201.8
1.3.2025;23;22:00 - 23:00;73.7;214.3;8.7;5.8;2.9;124.91;14.5
1.3.2025;24;23:00 - 00:00;38.7;62.2;13.7;21.2;-7.5;115.84;34.9
2.3.2025;1;00:00 - 01:00;87.3;68.6;32.3;39.6;-7.3;127.30;71.9
2.3.2025;2;01:00 - 02:00;53.0;72.0;12.0;37.0;-25.0;112.58;49.0
2.3.2025;3;02:00 - 03:00;63.1;100.5;18.0;61.0;-43.0;105.62;79.0
2.3.2025;4;03:00 - 04:00;67.2;82.0;26.2;48.0;-21.8;101.00;74.2
2.3.2025;5;04:00 - 05:00;82.2;81.2;33.2;51.2;-18.0;95.19;84.4
2.3.2025;6;05:00 - 06:00;61.4;78.1;12.0;38.1;-26.1;104.54;50.1
2.3.2025;7;06:00 - 07:00;65.0;108.7;2.0;58.7;-56.7;108.76;60.7
2.3.2025;8;07:00 - 08:00;42.0;100.4;2.0;55.6;-53.6;116.59;57.6
2.3.2025;9;08:00 - 09:00;204.6;148.1;40.2;43.1;-2.9;107.32;83.3
2.3.2025;10;09:00 - 10:00;57.5;89.7;22.0;54.2;-32.2;93.88;76.2
2.3.2025;11;10:00 - 11:00;83.2;284.2;21.1;184.7;-163.6;62.73;205.8
2.3.2025;12;11:00 - 12:00;112.1;166.4;36.4;93.8;-57.4;23.80;130.2
2.3.2025;13;12:00 - 13:00;204.6;466.9;94.4;44.6;49.8;6.24;139.0
2.3.2025;14;13:00 - 14:00;142.7;231.9;58.5;24.4;34.1;-6.28;82.9
2.3.2025;15;14:00 - 15:00;266.1;309.3;213.3;36.5;176.8;0.84;249.8
2.3.2025;16;15:00 - 16:00;78.5;25,317.2;7.2;7.2;0.0;-91.13;14.4
2.3.2025;17;16:00 - 17:00;83.7;189,601.3;10.2;10.2;0.0;-86.27;20.4
2.3.2025;18;17:00 - 18:00;123.4;27,208.5;5.0;5.0;0.0;-43.60;10.0
2.3.2025;19;18:00 - 19:00;113.0;20,249.5;5.0;5.0;0.0;-31.60;10.0
2.3.2025;20;19:00 - 20:00;116.0;32,139.5;5.0;5.0;0.0;-31.60;10.0
2.3.2025;21;20:00 - 21:00;301.2;61,961.9;36.7;37.3;-0.6;103.15;74.0
2.3.2025;22;21:00 - 22:00;188.0;21,301.2;25.0;29.5;-4.5;96.81;54.5
2.3.2025;23;22:00 - 23:00;230.3;2,897.0;32.3;16.0;16.3;116.10;48.3
2.3.2025;24;23:00 - 00:00;83.0;57.2;38.0;20.7;17.3;111.01;58.7
3.3.2025;1;00:00 - 01:00;59.0;40.9;33.0;20.4;12.6;120.94;53.4
3.3.2025;2;01:00 - 02:00;43.6;38.7;23.0;22.2;0.8;110.82;45.2
3.3.2025;3;02:00 - 03:00;54.4;52.6;28.0;29.1;-1.1;109.34;57.1
3.3.2025;4;03:00 - 04:00;48.0;50.1;28.0;35.1;-7.1;101.82;63.1
3.3.2025;5;04:00 - 05:00;53.7;48.8;33.7;28.8;4.9;107.62;62.5
3.3.2025;6;05:00 - 06:00;74.0;51.5;29.0;27.5;1.5;121.90;56.5
3.3.2025;7;06:00 - 07:00;149.0;727.2;126.6;328.1;-201.5;141.32;454.7
3.3.2025;8;07:00 - 08:00;286.8;547.6;266.8;392.6;-125.8;177.36;659.4
3.3.2025;9;08:00 - 09:00;119.6;225.5;90.9;150.5;-59.6;154.04;241.4
3.3.2025;10;09:00 - 10:00;83.1;416.0;35.4;101.3;-65.9;99.58;136.7
3.3.2025;11;10:00 - 11:00;1,711.8;6,046.5;39.7;117.6;-77.9;43.76;157.3
3.3.2025;12;11:00 - 12:00;3,800.7;5,454.2;249.2;75.1;174.1;27.89;324.3
3.3.2025;13;12:00 - 13:00;2,252.4;3,085.3;241.3;76.6;164.7;14.09;317.9
3.3.2025;14;13:00 - 14:00;2,773.7;1,653.4;286.4;165.2;121.2;32.39;451.6
3.3.2025;15;14:00 - 15:00;93.5;51,482.4;40.1;124.2;-84.1;44.13;164.3
3.3.2025;16;15:00 - 16:00;155.5;585.1;65.5;121.9;-56.4;80.50;187.4
3.3.2025;17;16:00 - 17:00;187.1;164.7;122.4;80.2;42.2;111.98;202.6
3.3.2025;18;17:00 - 18:00;271.6;51,847.9;67.4;67.4;0.0;118.91;134.8
3.3.2025;19;18:00 - 19:00;116.4;25,031.0;56.5;56.0;0.5;149.17;112.5
3.3.2025;20;19:00 - 20:00;569.5;5,566.7;99.5;99.5;0.0;127.28;199.0
3.3.2025;21;20:00 - 21:00;254.8;3,881.4;90.4;89.9;0.5;125.71;180.3
3.3.2025;22;21:00 - 22:00;3,054.6;13,635.2;85.0;63.2;21.8;118.44;148.2
3.3.2025;23;22:00 - 23:00;180.4;191.9;108.2;117.7;-9.5;136.50;225.9
3.3.2025;24;23:00 - 00:00;794.1;2,048.0;78.4;90.5;-12.1;127.70;168.9
4.3.2025;1;00:00 - 01:00;120.4;40.9;0.0;13.9;-13.9;128.41;13.9
4.3.2025;2;01:00 - 02:00;114.4;38.0;4.6;13.0;-8.4;125.73;17.6
4.3.2025;3;02:00 - 03:00;57.4;32.2;11.2;8.2;3.0;116.26;19.4
4.3.2025;4;03:00 - 04:00;48.5;32.0;11.0;7.0;4.0;117.89;18.0
4.3.2025;5;04:00 - 05:00;118.4;40.6;40.5;0.6;39.9;134.72;41.1
4.3.2025;6;05:00 - 06:00;90.6;42.7;43.2;0.7;42.5;151.01;43.9
4.3.2025;7;06:00 - 07:00;143.7;59.3;33.9;18.7;15.2;176.33;52.6
4.3.2025;8;07:00 - 08:00;55.8;89.1;24.8;59.1;-34.3;200.96;83.9
4.3.2025;9;08:00 - 09:00;858.8;1,118.1;32.9;26.1;6.8;125.85;59.0
4.3.2025;10;09:00 - 10:00;2,315.3;2,048.2;104.0;115.8;-11.8;91.57;219.8
4.3.2025;11;10:00 - 11:00;480.0;4,545.2;51.2;48.1;3.1;56.63;99.3
4.3.2025;12;11:00 - 12:00;789.1;6,783.3;130.0;61.3;68.7;20.75;191.3
4.3.2025;13;12:00 - 13:00;3,268.1;11,635.2;162.2;97.4;64.8;8.71;259.6
4.3.2025;14;13:00 - 14:00;1,684.2;3,310.8;106.1;86.0;20.1;11.73;192.1
4.3.2025;15;14:00 - 15:00;3,044.6;5,499.3;60.7;146.9;-86.2;48.89;207.6
4.3.2025;16;15:00 - 16:00;1,044.3;11,888.6;55.9;139.7;-83.8;88.19;195.6
4.3.2025;17;16:00 - 17:00;8,782.7;309.2;71.1;48.5;22.6;113.55;119.6
4.3.2025;18;17:00 - 18:00;3,658.6;5,679.5;46.1;148.5;-102.4;135.39;194.6
4.3.2025;19;18:00 - 19:00;4,573.9;16,863.9;68.8;140.0;-71.2;158.55;208.8
4.3.2025;20;19:00 - 20:00;2,302.6;12,601.3;20.1;74.6;-54.5;133.75;94.7
4.3.2025;21;20:00 - 21:00;319.7;817.6;42.2;34.2;8.0;134.68;76.4
4.3.2025;22;21:00 - 22:00;1,560.2;93.3;57.2;21.7;35.5;159.07;78.9
4.3.2025;23;22:00 - 23:00;145.0;5,824.0;70.0;66.1;3.9;148.57;136.1
4.3.2025;24;23:00 - 00:00;64.7;626.3;39.7;26.0;13.7;139.87;65.7
5.3.2025;1;00:00 - 01:00;17.0;127.1;7.0;106.1;-99.1;172.84;113.1
5.3.2025;2;01:00 - 02:00;84.8;34.1;22.9;22.1;0.8;153.91;45.0
5.3.2025;3;02:00 - 03:00;36.2;36.0;22.0;22.0;0.0;132.75;44.0
5.3.2025;4;03:00 - 04:00;87.0;40.0;18.7;22.0;-3.3;142.09;40.7
5.3.2025;5;04:00 - 05:00;78.5;105.5;54.5;61.8;-7.3;164.80;116.3
5.3.2025;6;05:00 - 06:00;67.6;185.0;33.4;135.9;-102.5;206.01;169.3
5.3.2025;7;06:00 - 07:00;95.6;68.1;36.7;55.1;-18.4;197.03;91.8
5.3.2025;8;07:00 - 08:00;29.4;231.6;12.1;196.1;-184.0;229.40;208.2
5.3.2025;9;08:00 - 09:00;109.5;1,145.7;21.7;31.8;-10.1;126.00;53.5
5.3.2025;10;09:00 - 10:00;452.2;6,552.4;34.1;21.9;12.2;69.72;56.0
5.3.2025;11;10:00 - 11:00;189.3;5,781.0;45.0;66.7;-21.7;15.68;111.7
5.3.2025;12;11:00 - 12:00;336.8;354.7;77.9;54.7;23.2;1.80;132.6
5.3.2025;13;12:00 - 13:00;934.3;463.9;104.1;56.8;47.3;3.38;160.9
5.3.2025;14;13:00 - 14:00;149.6;538.7;113.0;50.7;62.3;0.34;163.7
5.3.2025;15;14:00 - 15:00;7,182.7;3,995.3;69.5;65.1;4.4;8.78;134.6
5.3.2025;16;15:00 - 16:00;825.8;4,440.4;107.9;83.6;24.3;79.98;191.5
5.3.2025;17;16:00 - 17:00;19,344.6;869.6;66.7;45.2;21.5;123.53;111.9
5.3.2025;18;17:00 - 18:00;24,411.2;21,332.7;55.7;58.7;-3.0;149.95;114.4
5.3.2025;19;18:00 - 19:00;32,331.6;9,855.7;35.1;97.4;-62.3;149.27;132.5
5.3.2025;20;19:00 - 20:00;882.2;349.1;24.6;190.8;-166.2;143.68;215.4
5.3.2025;21;20:00 - 21:00;3,781.6;2,549.3;46.9;68.6;-21.7;134.54;115.5
5.3.2025;22;21:00 - 22:00;1,267.2;3,543.5;66.3;47.4;18.9;138.06;113.7
5.3.2025;23;22:00 - 23:00;38,897.0;7,313.8;91.3;63.8;27.5;102.48;155.1
5.3.2025;24;23:00 - 00:00;199.1;1,964.3;66.5;33.0;33.5;129.19;99.5
6.3.2025;1;00:00 - 01:00;91.2;59.1;13.0;13.2;-0.2;128.60;26.2
