,natgas_mw,hardcoal_mw,lignite_mw,nuclear_mw,fosiloil_mw,hydroreservoir_mw,hydrorunriver_mw,hydropump_mw,hydropump_cvtg2_mw,hydropump_cvtg3_mw,hydropump_cvtg4_mw,hydropump_cvtg5_mw,hydropump_cvtg6_mw,resl_mw,resl_isr_mw,de_spot,sk_spot_m1,sk_spot_m2,sk_spot_merged,cons_gfs,cons_icon,cons_ecmf,cons_seps,solar_fcst,temp_gfs,temp_ecm,temp_icon,cloud_ec,cloud_icon,picasso_pos,picasso_neg
2025-01-01 00:00:00+00:00,240.9,,20.3,2464.4,38.4,15.6,209.6,,,,,,,,,,,,,,,,2520.0,,,,,,,168.7666666666667,
2025-01-01 00:15:00+00:00,240.9,,20.3,2464.4,38.4,15.6,209.6,,,,,,,,,,,,,,,,2520.0,,,,,,,166.21333333333334,
2025-01-01 00:30:00+00:00,240.9,,20.3,2464.4,38.4,15.6,209.6,,,,,,,,,,,,,,,,2520.0,,,,,,,200.20199999999997,
2025-01-01 00:45:00+00:00,240.9,,20.3,2464.4,38.4,15.6,209.6,,,,,,,,,,,,,,,,2520.0,,,,,,,158.97666666666666,
2025-01-01 01:00:00+00:00,240.6,,20.7,2466.0,38.2,0.0,211.1,,,,,,,,,,,,,,,,2465.0,,,,,,,298.95200000000006,
2025-01-01 01:15:00+00:00,240.6,,20.7,2466.0,38.2,0.0,211.1,,,,,,,,,,,,,,,,2465.0,,,,,,,152.5,
2025-01-01 01:30:00+00:00,240.6,,20.7,2466.0,38.2,0.0,211.1,,,,,,,,,,,,,,,,2465.0,,,,,,,166.46666666666667,
2025-01-01 01:45:00+00:00,240.6,,20.7,2466.0,38.2,0.0,211.1,,,,,,,,,,,,,,,,2465.0,,,,,,,150.16666666666666,
2025-01-01 02:00:00+00:00,218.3,,19.7,2465.0,38.3,0.0,208.9,,,,,,,,,,,,,,,,2400.0,,,,,,,165.0,
2025-01-01 02:15:00+00:00,218.3,,19.7,2465.0,38.3,0.0,208.9,,,,,,,,,,,,,,,,2400.0,,,,,,,130.53333333333333,
2025-01-01 02:30:00+00:00,218.3,,19.7,2465.0,38.3,0.0,208.9,,,,,,,,,,,,,,,,2400.0,,,,,,,123.06400000000001,116.27999999999999
2025-01-01 02:45:00+00:00,218.3,,19.7,2465.0,38.3,0.0,208.9,,,,,,,,,,,,,,,,2400.0,,,,,,,140.86666666666667,54.5
2025-01-01 03:00:00+00:00,221.7,,21.2,2463.9,39.2,7.7,208.4,,,,,,,,,,,,,,,,2375.0,,,,,,,158.2,
2025-01-01 03:15:00+00:00,221.7,,21.2,2463.9,39.2,7.7,208.4,,,,,,,,,,,,,,,,2375.0,,,,,,,154.4,
2025-01-01 03:30:00+00:00,221.7,,21.2,2463.9,39.2,7.7,208.4,,,,,,,,,,,,,,,,2375.0,,,,,,,137.6,
2025-01-01 03:45:00+00:00,221.7,,21.2,2463.9,39.2,7.7,208.4,,,,,,,,,,,,,,,,2375.0,,,,,,,219.6,
2025-01-01 04:00:00+00:00,238.1,,22.9,2463.3,39.3,11.5,208.7,,,,,,,,,,,,,,,,2422.5,,,,,,,166.0,
2025-01-01 04:15:00+00:00,238.1,,22.9,2463.3,39.3,11.5,208.7,,,,,,,,,,,,,,,,2422.5,,,,,,,182.66666666666666,
2025-01-01 04:30:00+00:00,238.1,,22.9,2463.3,39.3,11.5,208.7,,,,,,,,,,,,,,,,2422.5,,,,,,,320.0,
2025-01-01 04:45:00+00:00,238.1,,22.9,2463.3,39.3,11.5,208.7,,,,,,,,,,,,,,,,2422.5,,,,,,,54.5,10.0
2025-01-01 05:00:00+00:00,214.9,,22.4,2465.2,39.0,6.1,254.1,,,,,,,,,,,,,,,,2482.5,,,,,,,197.65199999999996,32.92
2025-01-01 05:15:00+00:00,214.9,,22.4,2465.2,39.0,6.1,254.1,,,,,,,,,,,,,,,,2482.5,,,,,,,137.3286666666667,
2025-01-01 05:30:00+00:00,214.9,,22.4,2465.2,39.0,6.1,254.1,,,,,,,,,,,,,,,,2482.5,,,,,,,159.8,
2025-01-01 05:45:00+00:00,214.9,,22.4,2465.2,39.0,6.1,254.1,,,,,,,,,,,,,,,,2482.5,,,,,,,56.98533333333334,56.98533333333334
2025-01-01 06:00:00+00:00,204.1,,19.6,2463.9,37.3,2.1,331.9,,,,,,,,,,,,,,,,2517.5,,,,,,,132.0,70.0
2025-01-01 06:15:00+00:00,204.1,,19.6,2463.9,37.3,2.1,331.9,,,,,,,,,,,,,,,,2517.5,,,,,,,70.0,10.0
2025-01-01 06:30:00+00:00,204.1,,19.6,2463.9,37.3,2.1,331.9,,,,,,,,,,,,,,,,2517.5,,,,,,,54.5,54.5
2025-01-01 06:45:00+00:00,204.1,,19.6,2463.9,37.3,2.1,331.9,,,,,,,,,,,,,,,,2517.5,,,,,,,72.30866666666667,54.50888888888889
2025-01-01 07:00:00+00:00,204.9,,18.8,2464.2,36.5,2.1,277.4,,,,,,,,,,,,,,,,2562.5,,,,,,,72.11999999999999,13.333333333333334
2025-01-01 07:15:00+00:00,204.9,,18.8,2464.2,36.5,2.1,277.4,,,,,,,,,,,,,,,,2562.5,,,,,,,16.0,1.1326666666666665
2025-01-01 07:30:00+00:00,204.9,,18.8,2464.2,36.5,2.1,277.4,,,,,,,,,,,,,,,,2562.5,,,,,,,60.066,52.38399999999999
2025-01-01 07:45:00+00:00,204.9,,18.8,2464.2,36.5,2.1,277.4,,,,,,,,,,,,,,,,2562.5,,,,,,,39.61538461538461,-1.2
2025-01-01 08:00:00+00:00,203.7,,18.3,2463.6,36.7,2.1,273.7,2.1,,,,,,,,,,,,,,,2722.5,,,,,,,53.666666666666664,55.0
2025-01-01 08:15:00+00:00,203.7,,18.3,2463.6,36.7,2.1,273.7,2.1,,,,,,,,,,,,,,,2722.5,,,,,,,87.12666666666668,55.0
2025-01-01 08:30:00+00:00,203.7,,18.3,2463.6,36.7,2.1,273.7,2.1,,,,,,,,,,,,,,,2722.5,,,,,,,62.948461538461544,52.333333333333336
2025-01-01 08:45:00+00:00,203.7,,18.3,2463.6,36.7,2.1,273.7,2.1,,,,,,,,,,,,,,,2722.5,,,,,,,55.0,29.0
2025-01-01 09:00:00+00:00,203.4,,17.5,2464.6,37.4,2.5,193.2,2.1,,,,,,,,,,,,,,,2762.5,,,,,,,128.66666666666666,55.0
2025-01-01 09:15:00+00:00,203.4,,17.5,2464.6,37.4,2.5,193.2,,,,,,,,,,,,,,,,2762.5,,,,,,,123.46666666666667,
2025-01-01 09:30:00+00:00,203.4,,17.5,2464.6,37.4,2.5,193.2,,,,,,,,,,,,,,,,2762.5,,,,,,,96.13333333333334,55.0
2025-01-01 09:45:00+00:00,203.4,,17.5,2464.6,37.4,2.5,193.2,,,,,,,,,,,,,,,,2762.5,,,,,,,68.53846153846153,13.333333333333334
2025-01-01 10:00:00+00:00,204.2,,16.4,2466.1,36.8,2.2,187.4,,,,,,,,,,,,,,,,2897.5,,,,,,,55.0,56.0
2025-01-01 10:15:00+00:00,204.2,,16.4,2466.1,36.8,2.2,187.4,,,,,,,,,,,,,,,,2897.5,,,,,,,64.64285714285714,55.714285714285715
2025-01-01 10:30:00+00:00,204.2,,16.4,2466.1,36.8,2.2,187.4,,,,,,,,,,,,,,,,2897.5,,,,,,,147.50733333333332,55.0
2025-01-01 10:45:00+00:00,204.2,,16.4,2466.1,36.8,2.2,187.4,,,,,,,,,,,,,,,,2897.5,,,,,,,154.06466666666668,
2025-01-01 11:00:00+00:00,208.5,,18.1,2466.0,38.1,5.0,190.6,,,,,,,,,,,,,,,,2885.0,,,,,,,129.1473333333333,
2025-01-01 11:15:00+00:00,208.5,,18.1,2466.0,38.1,5.0,190.6,,,,,,,,,,,,,,,,2885.0,,,,,,,131.93333333333334,
2025-01-01 11:30:00+00:00,208.5,,18.1,2466.0,38.1,5.0,190.6,,,,,,,,,,,,,,,,2885.0,,,,,,,104.70733333333335,
2025-01-01 11:45:00+00:00,208.5,,18.1,2466.0,38.1,5.0,190.6,,,,,,,,,,,,,,,,2885.0,,,,,,,98.45733333333334,55.0
2025-01-01 12:00:00+00:00,210.7,,16.9,2465.6,37.3,17.7,190.3,17.7,,,,,,,,,,,,,,,2840.0,,,,,,,55.0,55.0
2025-01-01 12:15:00+00:00,210.7,,16.9,2465.6,37.3,17.7,190.3,17.7,,,,,,,,,,,,,,,2840.0,,,,,,,92.29933333333334,76.79
