feature,importance,pct
damas_fe_rmean24,944,2.5376344086021505
temp_deviation,898,2.413978494623656
temp_surprise_lag,836,2.247311827956989
da_flow_hu,823,2.2123655913978495
da_price_change24h,813,2.185483870967742
da_price,795,2.1370967741935485
pressure_change6h,784,2.10752688172043
windspeed,755,2.029569892473118
da_flow_cz,748,2.010752688172043
temp_rmean24h,747,2.008064516129032
temp_forecast_da,740,1.989247311827957
da_supply,711,1.911290322580645
temp_change6h,691,1.85752688172043
da_net_import,689,1.8521505376344085
load_yesterday,679,1.8252688172043012
da_demand,656,1.7634408602150538
damas_forecast_load,605,1.6263440860215053
proxy_yesterday,595,1.599462365591398
load_rmean16,573,1.5403225806451613
damas_fe_abs,573,1.5403225806451613
load_momentum,571,1.53494623655914
temp,554,1.489247311827957
solar_surprise_rmean4,546,1.467741935483871
damas_fe,536,1.4408602150537635
proxy_rmean32,532,1.4301075268817205
cloudcover,503,1.3521505376344085
proxy_yesterday_2,498,1.338709677419355
load_deviation,498,1.338709677419355
damas_fe_rmean4,487,1.3091397849462365
spread_da_idm_lag,486,1.306451612903226
radiation,483,1.2983870967741935
qh_in_hour,480,1.2903225806451613
solar_surprise_lag,479,1.2876344086021505
nowcast_pred_error,475,1.2768817204301075
idm_vwap_lag,456,1.2258064516129032
imb_price_rmean4,454,1.2204301075268817
idm_volume_lag,448,1.2043010752688172
reg_vol_rmean4,426,1.1451612903225807
hour_sin,426,1.1451612903225807
spread_da_imb_lag,423,1.1370967741935485
hour_cos,422,1.1344086021505377
load_rmean8,399,1.0725806451612903
proxy_rstd8,379,1.0188172043010753
load_rmean4,362,0.9731182795698925
imb_price_lag,350,0.9408602150537635
proxy_lag96_diff,338,0.9086021505376345
nowcast_recent_bias,337,0.9059139784946237
nowcast_pred_rmean4,337,0.9059139784946237
load_ramp4,315,0.8467741935483872
proxy_momentum4,306,0.8225806451612904
proxy_range8,305,0.8198924731182796
load_rstd4,297,0.7983870967741936
proxy_rmean16,296,0.7956989247311829
proxy_lag23,293,0.7876344086021505
proxy_rmax4,286,0.7688172043010753
proxy_lag21,284,0.7634408602150538
dow_sin,281,0.7553763440860215
proxy_lag22,280,0.7526881720430108
nowcast_pred_error_abs,280,0.7526881720430108
proxy_lag20,278,0.7473118279569892
proxy_dev_from_hour,275,0.739247311827957
proxy_rmin4,274,0.7365591397849462
proxy_lag15,272,0.7311827956989247
proxy_lag17,261,0.7016129032258065
proxy_lag18,249,0.6693548387096775
proxy_abs_rmean8,249,0.6693548387096775
proxy_lag16,244,0.6559139784946236
month_sin,244,0.6559139784946236
proxy_abs_rmean4,227,0.6102150537634409
month_cos,226,0.6075268817204301
proxy_range4,220,0.5913978494623656
proxy_lag19,220,0.5913978494623656
proxy_lag14,220,0.5913978494623656
proxy_lag11,220,0.5913978494623656
proxy_rstd4,215,0.5779569892473118
proxy_lag12,191,0.5134408602150538
proxy_lag9,180,0.4838709677419355
dow_cos,178,0.47849462365591394
proxy_ewm4,173,0.4650537634408602
proxy_lag13,173,0.4650537634408602
proxy_lag8,168,0.4516129032258065
proxy_lag10,165,0.4435483870967742
proxy_rmean8,162,0.4354838709677419
proxy_momentum,159,0.4274193548387097
proxy_acceleration,139,0.3736559139784946
proxy_pos_ratio_16,131,0.3521505376344086
reg_rmean8,129,0.34677419354838707
proxy_rmean4,128,0.34408602150537637
proxy_lag8_pos,122,0.3279569892473118
reg_momentum,104,0.27956989247311825
proxy_lag8_neg,94,0.25268817204301075
reg_rstd8,77,0.20698924731182797
reg_rmean4,70,0.1881720430107527
is_peak,69,0.18548387096774194
proxy_pos_ratio_8,48,0.12903225806451613
is_weekend,45,0.12096774193548387
proxy_zero_cross4,27,0.07258064516129033
proxy_pos_ratio_4,11,0.02956989247311828
xborder_deviation,0,0.0
xborder_momentum,0,0.0
prod_rmean8,0,0.0
prod_rmean4,0,0.0
xborder_rmean8,0,0.0
xborder_rmean4,0,0.0
xborder_vol,0,0.0
prod_momentum,0,0.0
prod_deviation,0,0.0
prod_vol,0,0.0
