Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
4/1/2024;1;-8.617;-2.1689;-2.1689;149.4750;-4,274.2376;2,986.9589;-1,287.2787;1,006.7480;-168.5691;449.0998;No
4/1/2024;2;1.061;-0.4963;-0.4963;-5.0000;-113.5850;108.2250;-5.3600;223.9190;-38.5729;-179.9861;No
4/1/2024;3;0.183;-0.6873;-0.6873;-5.0000;-100.3600;99.3250;-1.0350;307.4490;-53.4176;-252.9964;No
4/1/2024;4;2.490;-0.3208;-0.3208;-5.0000;-124.4100;111.9950;-12.4150;141.5670;-24.9329;-104.2191;No
4/1/2024;5;-6.417;-2.0552;-2.0552;132.0000;-3,412.7280;2,568.5880;-844.1400;895.7370;-139.1165;87.5195;No
4/1/2024;6;5.220;-0.3205;-0.3205;-5.0000;-117.2650;91.0200;-26.2450;135.2160;-21.6946;-87.2764;No
4/1/2024;7;4.703;-0.5047;-0.5047;-5.0000;-122.5000;99.0150;-23.4850;208.5840;-34.1631;-150.9359;No
4/1/2024;8;0.841;-0.8611;-0.8611;-5.0000;-122.8300;118.5150;-4.3150;360.3090;-58.2879;-297.7061;No
4/1/2024;9;3.680;-0.5355;-0.5355;-5.0000;-113.3350;94.7950;-18.5400;225.6120;-34.7047;-172.3673;No
4/1/2024;10;12.040;-0.0094;-0.0094;-5.0000;-153.1050;92.8100;-60.2950;3.8660;-0.6092;57.0382;No
4/1/2024;11;15.689;-0.0340;-0.0340;-5.0000;-160.6600;82.1300;-78.5300;13.8380;-2.2035;66.8955;No
4/1/2024;12;19.487;-0.1265;-0.1265;-5.0000;-167.5900;70.0650;-97.5250;51.2300;-8.1982;54.4932;No
4/1/2024;13;10.291;-0.0813;-0.0813;-5.0000;-139.4700;87.9950;-51.4750;32.9750;-5.1759;23.6759;No
4/1/2024;14;16.114;-0.1408;-0.1408;-5.0000;-150.8650;70.2550;-80.6100;56.2300;-8.9639;33.3439;No
4/1/2024;15;14.946;-0.1300;-0.1300;-5.0000;-153.6600;78.7700;-74.8900;52.1950;-8.2763;30.9713;No
4/1/2024;16;11.383;-0.0579;-0.0579;-5.0000;-154.9300;97.9950;-56.9350;23.2820;-3.6861;37.3391;No
4/1/2024;17;13.581;-0.1247;-0.1247;-5.0000;-172.4900;104.5250;-67.9650;50.5800;-8.0323;25.4173;No
4/1/2024;18;11.829;-0.1025;-0.1025;-5.0000;-168.7550;109.6000;-59.1550;41.7900;-6.6023;23.9673;No
4/1/2024;19;6.765;-0.0426;-0.0426;-5.0000;-150.3950;116.4950;-33.9000;17.4560;-2.7440;19.1880;No
4/1/2024;20;6.032;-0.0267;-0.0267;-5.0000;-146.5100;116.2350;-30.2750;10.9440;-1.7198;21.0508;No
4/1/2024;21;10.992;-0.0443;-0.0443;-5.0000;-185.7400;130.6950;-55.0450;18.4970;-3.0341;39.5821;No
4/1/2024;22;11.242;-0.0285;-0.0285;-2.0000;-71.7540;49.2440;-22.5100;11.8350;-1.9519;12.6269;No
4/1/2024;23;13.892;-0.0348;-0.0348;-2.0000;-68.1560;40.3260;-27.8300;14.3920;-2.3834;15.8214;No
4/1/2024;24;16.420;-0.0391;-0.0391;-2.0000;-71.1340;38.2520;-32.8820;16.0570;-2.6779;19.5029;No
4/1/2024;25;5.911;-0.1631;-0.1631;-5.0000;-174.5350;144.8750;-29.6600;68.2320;-13.2548;-25.3172;No
4/1/2024;26;10.571;-0.0522;-0.0522;-5.0000;-181.4500;128.5250;-52.9250;21.9660;-4.2422;35.2012;No
4/1/2024;27;3.989;-0.2138;-0.2138;-5.0000;-170.5750;150.5100;-20.0650;91.5510;-17.3751;-54.1109;No
4/1/2024;28;2.868;-0.0659;-0.0659;-5.0000;-140.2050;125.8000;-14.4050;28.2780;-5.3556;-8.5174;No
4/1/2024;29;3.803;-0.3290;-0.3290;-5.0000;-183.7000;164.6650;-19.0350;146.2500;-33.2458;-93.9692;No
4/1/2024;30;3.044;-0.4197;-0.4197;-5.0000;-156.5850;141.3950;-15.1900;189.0400;-42.4111;-131.4389;No
4/1/2024;31;2.785;-0.1512;-0.1512;-5.0000;-139.6900;125.9550;-13.7350;69.0350;-15.2789;-40.0211;No
4/1/2024;32;2.255;-0.1620;-0.1620;-5.0000;-123.0150;111.8350;-11.1800;74.9700;-16.3703;-47.4197;No
4/1/2024;33;1.610;-0.1587;-0.1587;0.0000;0.0000;0.0000;0.0000;74.8800;-18.8761;-56.0039;No
4/1/2024;34;2.106;-0.1344;-0.1344;0.0000;0.0000;0.0000;0.0000;63.9600;-15.9858;-47.9742;No
4/1/2024;35;2.563;-0.2676;-0.2676;-3.0000;-108.4200;101.3010;-7.1190;130.5630;-31.8289;-91.6151;No
4/1/2024;36;7.056;-0.3627;-0.3627;-15.5250;-672.4499;567.0041;-105.4458;177.2330;-43.1403;-28.6469;No
4/1/2024;37;7.022;-0.0316;-0.0316;-5.0000;-203.2750;170.2350;-33.0400;15.7950;-4.1360;21.3810;No
4/1/2024;38;16.791;-0.0418;-0.0418;-5.0000;-240.6600;158.7650;-81.8950;20.8130;-5.4710;66.5530;No
4/1/2024;39;36.625;-0.2162;-0.2162;-5.0000;-322.9850;141.8900;-181.0950;108.0150;-28.2976;101.3776;No
4/1/2024;40;44.925;-0.2201;-0.2201;-5.0000;-473.9050;251.2200;-222.6850;112.5100;-28.8080;138.9830;No
4/1/2024;41;15.465;-0.0436;-0.0436;-5.0000;-227.7550;153.2200;-74.5350;22.2290;-5.7546;58.0606;No
4/1/2024;42;11.076;-0.0426;-0.0426;-5.0000;-237.1150;184.4050;-52.7100;21.8020;-5.6226;36.5306;No
4/1/2024;43;14.484;-0.1107;-0.1107;-39.2850;-2,090.7870;1,542.6827;-548.1043;57.4250;-14.6109;505.2902;No
4/1/2024;44;31.375;-0.2198;-0.2198;-5.0000;-454.8150;300.4350;-154.3800;114.5600;-29.0105;68.8305;No
4/1/2024;45;26.871;-0.0531;-0.0531;-10.1700;-634.1402;367.8794;-266.2608;29.3950;-7.2991;244.1649;No
4/1/2024;46;28.028;-0.0786;-0.0786;-5.0000;-353.3700;216.3000;-137.0700;43.3400;-10.8044;104.5344;No
4/1/2024;47;11.481;-0.0507;-0.0507;-5.0000;-364.5250;310.3600;-54.1650;29.2050;-6.9692;31.9292;No
4/1/2024;48;14.873;-0.0157;-0.0157;-5.0000;-381.9500;310.3750;-71.5750;8.9650;-2.1581;64.7681;No
4/1/2024;49;16.958;-0.0100;-0.0100;-5.0000;-306.0450;224.8300;-81.2150;5.9250;-1.3412;76.6312;No
4/1/2024;50;26.066;-0.0109;-0.0109;-9.9000;-636.1344;384.6249;-251.5095;6.4200;-1.4619;246.5514;No
4/1/2024;51;22.322;-0.0005;-0.0005;-13.8150;-874.3514;575.3119;-299.0395;0.2850;-0.0671;298.8215;No
4/1/2024;52;44.276;-0.1217;-0.1217;-17.4300;-1,166.1367;404.5852;-761.5516;69.2350;-16.3223;708.6388;No
4/1/2024;53;51.258;-0.1884;-0.1884;-5.0000;-317.9450;65.3900;-252.5550;107.3250;-23.9882;169.2182;No
4/1/2024;54;46.884;-0.1943;-0.1943;-15.0150;-1,014.2332;320.6754;-693.5579;109.8000;-24.7394;608.4973;No
4/1/2024;55;48.480;-0.1989;-0.1989;-9.2400;-649.6182;207.6782;-441.9400;112.0000;-25.3251;355.2651;No
4/1/2024;56;51.512;-0.1993;-0.1993;-5.0000;-350.1800;95.5150;-254.6650;112.0650;-25.3761;167.9761;No
4/1/2024;57;43.071;-0.3340;-0.3340;-16.7400;-1,565.3072;856.6360;-708.6712;195.7650;-39.8245;552.7307;No
4/1/2024;58;72.473;-0.5442;-0.5442;-16.7400;-1,327.6996;124.6628;-1,203.0368;332.0250;-64.8877;935.8995;No
4/1/2024;59;64.954;-0.4578;-0.4578;-16.7400;-1,195.9391;118.5527;-1,077.3864;276.1200;-54.5858;855.8522;No
4/1/2024;60;53.616;-0.3547;-0.3547;-16.7400;-1,174.5454;285.4505;-889.0949;204.9750;-42.2927;726.4125;No
4/1/2024;61;58.986;-0.3473;-0.3473;-8.6850;-762.3085;255.2608;-507.0477;204.6900;-40.4778;342.8355;No
4/1/2024;62;48.137;-0.1200;-0.1200;-19.7400;-1,161.1660;221.1670;-939.9991;70.0450;-13.9860;883.9401;No
4/1/2024;63;38.853;-0.0362;-0.0362;-8.6850;-446.1137;112.8268;-333.2869;20.9450;-4.2191;316.5610;No
4/1/2024;64;34.383;-0.0336;-0.0336;-8.6850;-396.2531;100.7721;-295.4811;19.3050;-3.9161;280.0922;No
4/1/2024;65;54.907;-0.1899;-0.1899;-5.0000;-395.5650;123.3500;-272.2150;104.4300;-22.0485;189.8335;No
4/1/2024;66;41.150;-0.0748;-0.0748;-88.9200;-4,961.9138;1,334.2446;-3,627.6692;40.9050;-8.6847;3,595.4490;No
4/1/2024;67;25.208;0.0000;0.0000;-2.7450;-106.6405;38.3037;-68.3368;0.0000;0.0000;68.3368;No
4/1/2024;68;14.139;-0.3007;-0.3007;-2.7450;-102.0097;63.7115;-38.2982;164.4720;-34.9131;-91.2607;No
4/1/2024;69;8.058;-0.5701;-0.5701;-5.0000;-363.3600;324.2150;-39.1450;283.8610;-67.3813;-177.3347;No
4/1/2024;70;1.607;-0.3763;-0.3763;-11.4150;-428.2109;412.0016;-16.2093;177.9850;-44.4756;-117.3001;No
4/1/2024;71;-1.735;-0.6495;-0.6495;120.0000;-3,701.6400;3,477.9600;-223.6800;308.2800;-76.7657;-7.8343;No
4/1/2024;72;-0.428;-0.3612;-0.3612;125.8200;-3,666.3948;3,605.2463;-61.1485;172.1300;-42.6910;-68.2905;No
4/1/2024;73;24.363;-0.0905;-0.0905;-5.0000;-263.9200;142.4200;-121.5000;44.4000;-11.7492;88.8492;No
4/1/2024;74;-2.258;-0.9496;-0.9496;120.0000;-3,993.2400;3,720.2400;-273.0000;470.8450;-123.2818;-74.5632;No
4/1/2024;75;-3.794;-0.9613;-0.9613;120.0000;-3,609.0000;3,154.8000;-454.2000;484.3450;-124.8008;94.6558;No
4/1/2024;76;-7.560;-1.7511;-1.7511;129.0000;-4,668.1230;3,694.1730;-973.9500;889.6000;-227.3366;311.6866;No
4/1/2024;77;0.508;-0.7519;-0.7519;-5.0000;-178.3750;175.7950;-2.5800;395.2910;-107.5894;-285.1216;No
4/1/2024;78;-3.255;-0.7032;-0.7032;120.0000;-2,940.4800;2,553.9600;-386.5200;378.3050;-100.6209;108.8359;No
4/1/2024;79;-7.537;-1.5913;-1.5913;120.0000;-2,954.0400;2,052.1200;-901.9200;869.7850;-227.6991;259.8341;No
