Dátum;Zúčtovacia perióda;Veľkosť odchýlky sústavy (MWh);Zúčtovacia cena PNRE (EUR/MWh);Cena za PRE (EUR/MWh);Cena odchýlky sústavy (EUR/MWh);Zúčtovacia cena odchýlky (EUR/MWh);Platba SZ za odchýlku (EUR);Platba OKTE za odchýlku (EUR);Platba za odchýlku sústavy (EUR);Celkové náklady na RE (EUR);Platba za PRE (EUR);Saldo výnosov a nákladov za odchýlky a RE (EUR);Zúčtovanie v zvláštnom režime
1.1.2025;1;-16,839;-2,9578;-2,9578;170,0000;345,4821;-10644,6490;7297,9639;-3346,6851;1720,8531;-404,2987;2030,1307;Nie
1.1.2025;2;-17,158;-4,0251;-4,0251;170,0000;270,0000;-9109,2600;6006,9600;-3102,3000;2318,0216;-550,1869;1334,4653;Nie
1.1.2025;3;-16,296;-2,8264;-2,8264;170,0000;270,0000;-8422,1100;6451,9200;-1970,1900;1619,8892;-386,3378;736,6386;Nie
1.1.2025;4;-16,007;-1,7876;-1,7876;170,0000;270,0000;-7921,5300;6897,4200;-1024,1100;1015,7214;-244,3453;252,7339;Nie
1.1.2025;5;-17,682;-75,7761;-75,7761;2632,3001;2632,3001;-120640,9459;71772,2945;-48868,6514;44505,8834;-9205,2049;13567,9728;Nie
1.1.2025;6;-11,718;-3,3986;-3,3986;165,8127;212,2469;-7691,8277;5104,1135;-2587,7142;1978,6904;-412,8585;1021,8823;Nie
1.1.2025;7;-15,827;-7,4654;-7,4654;298,5213;298,5213;-10840,8010;6393,7292;-4447,0718;4298,6087;-906,8893;1055,3524;Nie
1.1.2025;8;-3,326;-2,5421;-2,5421;270,5376;270,5376;-7993,0334;6523,2026;-1469,8308;1440,9393;-308,8118;337,7032;Nie
1.1.2025;9;-24,849;-13,5495;-13,5495;383,3902;383,3902;-17537,8013;8932,2249;-8605,5764;8376,8311;-1497,8159;1726,5613;Nie
1.1.2025;10;-14,071;-6,9677;-6,9677;292,1622;292,1622;-11257,5939;6509,6660;-4747,9279;4238,4100;-770,2374;1279,7553;Nie
1.1.2025;11;-12,258;-3,6887;-3,6887;228,4852;229,5952;-7672,3828;5327,7566;-2344,6262;2227,1408;-407,7637;525,2490;Nie
1.1.2025;12;-4,070;-2,8272;-2,8272;333,0053;333,0053;-9856,6239;7728,0540;-2128,5699;1686,2934;-312,5300;754,8065;Nie
1.1.2025;13;-11,255;-4,2530;-4,2530;265,4488;265,4488;-8618,0607;5808,5506;-2809,5101;2520,9053;-431,9942;720,5990;Nie
1.1.2025;14;-7,389;-2,1061;-2,1061;162,4979;182,3179;-5386,4000;3928,0392;-1458,3609;1243,9297;-213,9250;428,3562;Nie
1.1.2025;15;-6,532;-1,7156;-1,7156;138,0238;182,3179;-5233,0707;3878,0841;-1354,9866;1016,1315;-174,2604;513,1155;Nie
1.1.2025;16;-2,719;-0,4050;-0,4050;101,2147;182,3179;-4669,8907;4254,0236;-415,8671;237,9414;-41,1375;219,0632;Nie
