Dátum;Zúčtovacia perióda;Veľkosť odchýlky sústavy (MWh);Zúčtovacia cena PNRE (EUR/MWh);Cena za PRE (EUR/MWh);Cena odchýlky sústavy (EUR/MWh);Zúčtovacia cena odchýlky (EUR/MWh);Platba SZ za odchýlku (EUR);Platba OKTE za odchýlku (EUR);Platba za odchýlku sústavy (EUR);Celkové náklady na RE (EUR);Platba za PRE (EUR);Saldo výnosov a nákladov za odchýlky a RE (EUR);Zúčtovanie v zvláštnom režime
1.12.2024;1;4,223;-0,1510;-0,1510;22,4894;22,4894;-305,0237;400,7836;95,7599;87,2797;-14,6636;-168,3760;Nie
1.12.2024;2;10,791;-0,2944;-0,2944;13,0631;13,0631;-151,9369;275,9711;124,0341;167,1904;-28,5892;-262,6354;Nie
1.12.2024;3;11,966;-1,3641;-1,3641;61,4489;61,4489;-718,8907;1508,3247;789,4340;761,6097;-132,4678;-1418,5760;Nie
1.12.2024;4;15,802;-1,8649;-1,8649;64,6653;64,6653;-680,2790;1715,4411;1035,1621;1028,1024;-181,1004;-1882,1641;Nie
1.12.2024;5;5,083;-1,2438;-1,2438;90,2693;90,0100;-1476,8841;1925,0439;448,1598;683,2525;-107,3847;-1024,0276;Nie
1.12.2024;6;9,071;-1,1716;-1,1716;70,1646;70,1646;-848,6408;1487,7000;639,0592;633,7664;-101,1513;-1171,6743;Nie
1.12.2024;7;11,607;-1,5804;-1,5804;68,4272;68,4272;-704,0475;1514,7045;810,6570;845,5982;-136,4454;-1519,8098;Nie
1.12.2024;8;15,566;-1,9978;-1,9978;67,6220;67,6220;-608,6656;1664,9889;1056,3233;1060,4376;-172,4821;-1944,2788;Nie
1.12.2024;9;5,070;-2,3648;-2,3648;105,0888;87,4221;-1447,0980;1934,7385;487,6405;1306,1209;-197,8817;-1595,8796;Nie
1.12.2024;10;11,037;-2,0900;-2,0900;84,3016;84,3016;-933,1344;1859,2718;926,1374;1140,5937;-174,8870;-1891,8441;Nie
1.12.2024;11;16,934;-2,4716;-2,4716;78,9589;78,9589;-694,1277;2057,5110;1363,3833;1328,4226;-206,8185;-2484,9874;Nie
1.12.2024;12;20,860;-2,5977;-2,5977;67,6084;67,6084;-567,0993;1990,7293;1423,6301;1383,6604;-217,3703;-2589,9201;Nie
1.12.2024;13;3,873;-1,2701;-1,2701;79,9789;79,9789;-1574,3846;1956,2039;381,8193;712,0618;-105,6609;-988,2202;Nie
1.12.2024;14;-0,027;-0,4374;-0,4374;64,6672;128,5500;-2360,4351;2243,5832;-116,8520;247,4745;-36,3877;-94,2348;Nie
1.12.2024;15;-1,300;-0,3716;-0,3716;67,7002;128,5500;-2386,5308;2301,0450;-85,4858;210,4206;-30,9138;-94,0211;Nie
1.12.2024;16;-2,311;-0,5609;-0,5609;71,6884;128,5500;-2826,8145;2519,7086;-307,1060;318,7796;-46,6618;34,9882;Nie
1.12.2024;17;3,560;-0,7040;-0,7040;94,3975;84,3505;-1174,8338;1502,4511;327,6173;404,4522;-59,5802;-672,4893;Nie
1.12.2024;18;5,642;-0,8120;-0,8120;82,0765;82,0765;-1134,4614;1604,3493;469,8880;467,3856;-68,7204;-868,5532;Nie
1.12.2024;19;5,520;-1,1551;-1,1551;90,5287;84,3505;-1099,9305;1576,0047;476,0742;664,4722;-97,7573;-1042,7892;Nie
1.12.2024;20;5,300;-0,9877;-0,9877;78,2444;78,2444;-958,0244;1369,4335;411,4091;569,8636;-83,5900;-897,6826;Nie
