Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
5/1/2024;1;-4.790;-1.1908;-1.1908;150.4350;-4,147.1921;3,443.7580;-703.4341;636.8825;-89.1623;155.7139;No
5/1/2024;2;-2.476;-0.9495;-0.9495;132.0000;-2,899.1160;2,574.2640;-324.8520;498.2417;-71.0948;-102.2949;No
5/1/2024;3;-1.099;-0.5125;-0.5125;132.0000;-2,295.7440;2,155.2960;-140.4480;264.7204;-38.3740;-85.8985;No
5/1/2024;4;-3.364;-1.1124;-1.1124;132.0000;-7,374.7080;6,933.4320;-441.2760;621.9772;-83.2921;-97.4091;No
5/1/2024;5;-12.185;-2.9321;-2.9321;132.0000;-4,536.9720;2,935.6800;-1,601.2920;1,479.7844;-183.6257;305.1333;No
5/1/2024;6;-5.125;-1.5699;-1.5699;132.0000;-3,023.0640;2,349.9960;-673.0680;777.3591;-98.3166;-5.9745;No
5/1/2024;7;-6.868;-1.6125;-1.6125;132.0000;-3,917.8920;3,019.6320;-898.2600;795.9464;-100.9844;203.2980;No
5/1/2024;8;-2.002;-0.5551;-0.5551;125.0000;-2,547.5000;2,299.3750;-248.1250;269.9550;-34.7637;12.9337;No
5/1/2024;9;-7.216;-1.8674;-1.8674;132.0000;-3,075.6000;2,124.8040;-950.7960;915.5765;-108.9292;144.1487;No
5/1/2024;10;-0.817;-0.2508;-0.2508;125.0000;-2,320.0000;2,217.5000;-102.5000;120.4925;-14.6297;-3.3628;No
5/1/2024;11;-2.745;-0.6364;-0.6364;125.0000;-2,285.1250;1,941.5000;-343.6250;306.3225;-37.1225;74.4250;No
5/1/2024;12;-1.251;-0.3386;-0.3386;125.0000;-2,234.5000;2,080.8750;-153.6250;162.5700;-19.7512;10.8062;No
5/1/2024;13;-5.135;-1.2436;-1.2436;132.0000;-2,766.5880;2,088.1080;-678.4800;599.7990;-71.4747;150.1557;No
5/1/2024;14;-3.865;-1.0933;-1.0933;125.0000;-2,675.3750;2,194.3750;-481.0000;528.3275;-62.8363;15.5088;No
5/1/2024;15;-4.166;-1.0270;-1.0270;125.0000;-2,667.0000;2,150.5000;-516.5000;495.6225;-59.0258;79.9033;No
5/1/2024;16;-4.527;-1.2083;-1.2083;125.0000;-2,494.0000;1,929.6250;-564.3750;580.5600;-69.4458;53.2608;No
5/1/2024;17;-5.708;-1.4066;-1.4066;125.0000;-3,017.6250;2,308.3750;-709.2500;679.8375;-80.6995;110.1120;No
5/1/2024;18;-4.824;-1.2402;-1.2402;125.0000;-3,131.7500;2,531.6250;-600.1250;602.1325;-71.1528;69.1453;No
5/1/2024;19;-5.760;-1.3784;-1.3784;132.0000;-3,263.1720;2,502.7200;-760.4520;672.2354;-79.0816;167.2982;No
5/1/2024;20;-2.498;-0.6543;-0.6543;132.0000;-2,741.7720;2,414.9400;-326.8320;316.8134;-37.5385;47.5571;No
5/1/2024;21;-7.515;-1.7939;-1.7939;132.0000;-2,708.6400;1,720.4880;-988.1520;861.5994;-108.7964;235.3490;No
5/1/2024;22;-1.159;-0.3963;-0.3963;125.0000;-2,223.7500;2,077.0000;-146.7500;189.0714;-24.0348;-18.2866;No
5/1/2024;23;0.454;-0.2776;-0.2776;-2.5000;-36.9400;35.8325;-1.1075;130.4812;-16.8359;-112.5378;No
5/1/2024;24;2.759;-0.0138;-0.0138;-5.0000;-91.8050;78.1450;-13.6600;6.4350;-0.8369;8.0619;No
5/1/2024;25;-4.601;-1.3080;-1.3080;132.0000;-2,841.1680;2,227.7640;-613.4040;625.6109;-94.0661;81.8592;No
5/1/2024;26;-3.075;-0.7936;-0.7936;117.8000;-2,401.2352;2,032.4034;-368.8318;385.0827;-57.0725;40.8216;No
5/1/2024;27;-1.648;-0.6357;-0.6357;117.8000;-2,840.2758;2,633.7724;-206.5034;315.1319;-45.7170;-62.9115;No
5/1/2024;28;-1.974;-0.7685;-0.7685;132.0000;-3,006.6960;2,723.1600;-283.5360;383.9953;-55.2674;-45.1919;No
5/1/2024;29;-2.371;-1.0432;-1.0432;132.0000;-4,351.1160;4,016.2320;-334.8840;535.4342;-92.7081;-107.8421;No
5/1/2024;30;-4.997;-1.1649;-1.1649;132.0000;-4,152.5880;3,451.8000;-700.7880;611.2540;-103.5235;193.0575;No
5/1/2024;31;-0.301;-0.4221;-0.4221;125.0000;-3,739.6250;3,655.8750;-83.7500;224.9558;-37.5116;-103.6942;No
5/1/2024;32;-2.874;-0.7318;-0.7318;125.0000;-9,330.6250;8,924.5000;-406.1250;426.1910;-65.0343;44.9683;No
5/1/2024;33;-6.560;-1.0824;-1.0824;132.0000;-4,470.5760;3,541.4280;-929.1480;595.6170;-136.9366;470.4676;No
5/1/2024;34;-3.126;-0.7126;-0.7126;132.0000;-4,182.9480;3,696.6600;-486.2880;399.4766;-90.1525;176.9639;No
5/1/2024;35;-3.295;-0.8407;-0.8407;125.0000;-3,168.0000;2,678.8750;-489.1250;482.3936;-106.3586;113.0900;No
5/1/2024;36;1.882;-0.6333;-0.6333;-5.0550;-166.6987;159.9503;-6.7484;367.6772;-80.1200;-280.8087;No
5/1/2024;37;-7.573;-1.5232;-1.5232;132.0000;-4,103.8800;3,017.9160;-1,085.9640;935.2090;-208.6784;359.4334;No
5/1/2024;38;-10.041;-1.8925;-1.8925;117.8000;-2,716.3502;1,454.8300;-1,261.5202;1,172.4634;-259.2725;348.3293;No
5/1/2024;39;-2.559;-0.6553;-0.6553;117.8000;-3,127.0010;2,743.3264;-383.6746;408.5822;-89.7761;64.8685;No
5/1/2024;40;14.646;-0.1591;-0.1591;-5.0000;-257.1450;187.1250;-70.0200;100.7388;-21.7967;-8.9221;No
5/1/2024;41;4.206;-0.0732;-0.0732;-12.1650;-278.6393;237.2905;-41.3488;47.3749;-10.6600;4.6340;No
5/1/2024;42;4.658;-0.0168;-0.0168;-12.1650;-252.7765;205.3817;-47.3948;11.0150;-2.4466;38.8264;No
5/1/2024;43;4.452;-0.0208;-0.0208;-16.8300;-314.2834;252.6351;-61.6483;13.7650;-3.0291;50.9124;No
5/1/2024;44;27.710;-0.1707;-0.1707;-12.1650;-566.3051;238.2150;-328.0901;114.2725;-24.8589;238.6764;No
5/1/2024;45;1.779;-0.5839;-0.5839;-56.1150;-1,674.1349;1,618.4688;-55.6661;426.9863;-88.5805;-282.7397;No
5/1/2024;46;4.190;-0.3350;-0.3350;-56.1150;-1,541.8157;1,349.4535;-192.3622;243.9232;-50.8212;-0.7398;No
5/1/2024;47;8.689;-0.5437;-0.5437;-56.1150;-1,558.9308;1,118.5964;-440.3344;395.9204;-82.4820;126.8960;No
5/1/2024;48;9.454;-0.6244;-0.6244;-56.1150;-1,649.6688;1,161.9172;-487.7516;453.9521;-94.7246;128.5241;No
5/1/2024;49;-3.552;-1.1073;-1.1073;132.0000;-4,987.3560;4,408.1400;-579.2160;800.6474;-154.9622;-66.4692;No
5/1/2024;50;-4.869;-0.7213;-0.7213;132.0000;-4,443.6480;3,700.0920;-743.5560;516.2466;-100.9430;328.2524;No
5/1/2024;51;1.355;-0.3886;-0.3886;-128.7750;-3,673.6932;3,606.4727;-67.2206;276.7386;-54.3830;-155.1350;No
5/1/2024;52;-0.001;-0.6780;-0.6780;132.0000;-3,740.4840;3,642.0120;-98.4720;480.7974;-94.8834;-287.4420;No
5/1/2024;53;-11.931;-1.7370;-1.7370;117.8000;-3,998.3676;2,499.7160;-1,498.6516;1,230.8598;-221.8722;489.6640;No
5/1/2024;54;-5.896;-0.9541;-0.9541;117.8000;-3,507.8484;2,721.6512;-786.1972;666.7480;-121.8701;241.3193;No
5/1/2024;55;-3.554;-0.6411;-0.6411;117.8000;-3,687.2578;3,176.8304;-510.4274;444.3463;-81.8896;147.9707;No
5/1/2024;56;-0.644;-0.4938;-0.4938;132.0000;-3,435.9600;3,252.8760;-183.0840;342.9785;-63.0746;-96.8199;No
5/1/2024;57;4.366;-1.0484;-1.0484;-165.5100;-3,673.8255;3,079.4791;-594.3464;718.8401;-125.1244;0.6308;No
5/1/2024;58;-9.194;-1.4930;-1.4930;132.0000;-3,654.6840;2,343.3960;-1,311.2880;1,019.6594;-178.1866;469.8152;No
5/1/2024;59;-7.872;-1.3049;-1.3049;117.8000;-3,373.5564;2,357.0602;-1,016.4962;879.0500;-155.7372;293.1834;No
5/1/2024;60;-8.281;-1.3874;-1.3874;117.8000;-3,307.2350;2,254.5742;-1,052.6608;928.7352;-165.5834;289.5090;No
5/1/2024;61;-0.469;-0.3161;-0.3161;117.8000;-1,938.0456;1,800.1018;-137.9438;209.5674;-35.4421;-36.1815;No
5/1/2024;62;-2.034;-0.3059;-0.3059;117.8000;-2,210.3992;1,889.0408;-321.3584;201.5714;-34.2984;154.0854;No
5/1/2024;63;-4.996;-0.8296;-0.8296;132.0000;-2,688.5760;1,945.2840;-743.2920;541.8748;-93.0172;294.4344;No
5/1/2024;64;-3.443;-0.8608;-0.8608;132.0000;-3,033.7560;2,510.1120;-523.6440;558.5554;-96.5155;61.6041;No
5/1/2024;65;9.923;-0.2827;-0.2827;-82.1250;-1,552.0804;784.2116;-767.8688;186.2435;-31.3735;612.9987;No
5/1/2024;66;1.420;-0.1986;-0.1986;-25.0050;-470.9442;445.5891;-25.3551;132.1772;-22.0402;-84.7819;No
5/1/2024;67;-2.164;-0.3952;-0.3952;117.8000;-2,482.7528;2,179.5356;-303.2172;262.3424;-43.8585;84.7333;No
5/1/2024;68;-13.582;-2.4310;-2.4310;135.0000;-4,583.3850;2,699.5950;-1,883.7900;1,595.8768;-269.7875;557.7007;No
5/1/2024;69;6.921;-0.8419;-0.8419;-7.3650;-261.8847;214.0195;-47.8651;475.2128;-95.5430;-331.8046;No
5/1/2024;70;9.092;-0.0909;-0.0909;-7.3500;-174.9153;109.9487;-64.9667;49.9100;-10.3158;25.3724;No
5/1/2024;71;-0.293;-0.0646;-0.0646;125.0000;-3,038.0000;2,971.5000;-66.5000;35.5532;-7.3311;38.2779;No
5/1/2024;72;-3.561;-0.5050;-0.5050;132.0000;-3,882.9120;3,388.1760;-494.7360;275.7946;-57.3099;276.2513;No
5/1/2024;73;16.829;-0.2360;-0.2360;-5.0000;-116.4100;33.5000;-82.9100;129.7802;-28.0108;-18.8594;No
5/1/2024;74;1.910;-0.2149;-0.2149;-5.0000;-97.4400;88.2700;-9.1700;119.3666;-25.5065;-84.6901;No
5/1/2024;75;-4.406;-0.8374;-0.8374;239.9700;-4,398.6501;3,334.3832;-1,064.2670;471.0636;-99.3910;692.5944;No
5/1/2024;76;-8.685;-1.7416;-1.7416;260.1300;-8,046.8614;5,780.6089;-2,266.2526;992.5994;-206.7105;1,480.3637;No
5/1/2024;77;1.311;-0.5215;-0.5215;-5.0000;-140.5500;134.1550;-6.3950;300.7740;-66.4141;-227.9649;No
5/1/2024;78;-3.817;-0.6873;-0.6873;132.0000;-3,253.9320;2,755.7640;-498.1680;396.9330;-87.5290;188.7640;No
5/1/2024;79;-8.345;-1.4849;-1.4849;132.0000;-4,141.5000;3,046.6920;-1,094.8080;869.8028;-189.1050;414.1102;No
5/1/2024;80;-3.246;-1.2469;-1.2469;143.9100;-5,058.0048;4,596.3415;-461.6633;740.8537;-158.7952;-120.3952;No
5/1/2024;81;1.652;-0.4234;-0.4234;-2.5000;-65.8025;61.6800;-4.1225;256.2503;-57.0811;-195.0467;No
5/1/2024;82;-4.789;-0.9086;-0.9086;177.2850;-4,520.4129;3,674.2316;-846.1813;559.1358;-122.4938;409.5393;No
5/1/2024;83;-4.997;-0.9269;-0.9269;177.2850;-4,625.3657;3,741.2454;-884.1203;571.1708;-124.9610;437.9104;No
5/1/2024;84;0.378;-0.2399;-0.2399;-2.5000;-51.2900;50.3400;-0.9500;145.0493;-32.3424;-111.7569;No
5/1/2024;85;-6.978;-1.5296;-1.5296;251.2950;-8,141.9580;6,398.9759;-1,742.9821;911.4637;-184.5004;1,016.0188;No
5/1/2024;86;-1.352;-0.5141;-0.5141;128.8350;-3,038.4446;2,863.7444;-174.7003;300.6140;-62.0107;-63.9030;No
5/1/2024;87;0.658;-0.4038;-0.4038;-5.0000;-93.9100;90.5600;-3.3500;231.5475;-48.7064;-179.4911;No
5/1/2024;88;6.392;-0.0288;-0.0288;-5.0000;-176.5100;144.7600;-31.7500;16.3025;-3.4739;18.9214;No
5/1/2024;89;-6.575;-1.6904;-1.6904;177.2850;-4,409.9644;3,246.6202;-1,163.3442;932.5852;-170.9569;401.7159;No
5/1/2024;90;0.511;-0.8470;-0.8470;-5.0000;-79.7250;77.4150;-2.3100;460.1409;-85.6605;-372.1704;No
5/1/2024;91;2.998;-0.5352;-0.5352;-5.0000;-73.3950;58.4600;-14.9350;283.3448;-54.1269;-214.2829;No
5/1/2024;92;6.457;-0.0427;-0.0427;-16.2300;-429.3160;324.5513;-104.7647;22.2725;-4.3184;86.8106;No
5/1/2024;93;-3.909;-0.9333;-0.9333;156.0900;-3,320.1904;2,717.3708;-602.8196;473.2950;-75.5189;205.0435;No
5/1/2024;94;3.268;-0.1095;-0.1095;-5.0000;-102.6750;86.4250;-16.2500;54.3309;-8.8603;-29.2206;No
5/1/2024;95;2.407;-0.2643;-0.2643;-9.6900;-217.2401;193.9163;-23.3238;130.8502;-21.3861;-86.1403;No
5/1/2024;96;2.861;-0.1090;-0.1090;-6.8550;-186.8947;167.2620;-19.6327;54.0787;-8.8198;-25.6261;No
5/2/2024;1;-2.857;-0.7650;-0.7650;178.5900;-3,768.6062;3,269.0900;-499.5162;373.4087;-51.0737;177.1812;No
5/2/2024;2;0.861;-0.1673;-0.1673;-3.9000;-67.3335;64.0146;-3.3189;80.8272;-11.1694;-66.3389;No
5/2/2024;3;2.555;-0.0317;-0.0317;-5.0000;-113.8650;101.1450;-12.7200;15.1171;-2.1164;-0.2807;No
5/2/2024;4;4.713;-0.0313;-0.0313;-3.9000;-90.3045;71.7717;-18.5328;14.5965;-2.0897;6.0260;No
5/2/2024;5;-1.429;-0.7182;-0.7182;180.9900;-4,029.0184;3,774.7274;-254.2910;330.7929;-41.1342;-35.3678;No
5/2/2024;6;0.434;-0.3816;-0.3816;-3.9000;-77.7270;76.0500;-1.6770;174.1664;-21.8558;-150.6336;No
5/2/2024;7;0.824;-0.1820;-0.1820;-3.0100;-61.0609;58.5264;-2.5344;82.2080;-10.4239;-69.2497;No
5/2/2024;8;6.286;-0.0408;-0.0408;-5.0000;-117.6050;86.2650;-31.3400;18.1770;-2.3368;15.4998;No
5/2/2024;9;5.615;-0.0424;-0.0424;-5.0000;-115.3150;87.0150;-28.3000;19.0563;-2.2730;11.5167;No
5/2/2024;10;14.345;-0.1339;-0.1339;-5.0000;-137.7850;65.9600;-71.8250;59.1529;-7.1782;19.8503;No
5/2/2024;11;16.896;-0.1635;-0.1635;-5.0000;-148.7900;64.3400;-84.4500;72.0556;-8.7651;21.1595;No
5/2/2024;12;20.491;-0.2018;-0.2018;-5.0000;-162.2950;59.8950;-102.4000;88.3132;-10.8183;24.9051;No
5/2/2024;13;22.778;-0.1725;-0.1725;-5.0000;-181.6950;67.6600;-114.0350;75.8695;-9.0135;47.1790;No
5/2/2024;14;17.198;-0.1167;-0.1167;-3.9000;-127.7718;60.6801;-67.0917;51.6778;-6.0978;21.5117;No
5/2/2024;15;14.563;-0.1115;-0.1115;-5.0000;-152.7550;79.7850;-72.9700;49.5374;-5.8261;29.2587;No
5/2/2024;16;17.535;-0.1578;-0.1578;-5.0000;-157.5700;69.8150;-87.7550;70.1982;-8.2454;25.8022;No
5/2/2024;17;24.970;-0.2191;-0.2191;-5.0000;-193.4500;68.5550;-124.8950;99.4273;-12.2527;37.7204;No
5/2/2024;18;14.989;-0.1043;-0.1043;-5.0000;-173.5600;98.4800;-75.0800;48.3142;-5.8328;32.5986;No
5/2/2024;19;14.138;-0.0947;-0.0947;-3.9000;-114.3051;58.9485;-55.3566;44.2729;-5.2959;16.3796;No
5/2/2024;20;10.416;-0.0676;-0.0676;-3.0100;-82.9436;51.5282;-31.4154;32.0987;-3.7804;3.0971;No
5/2/2024;21;25.411;-0.1584;-0.1584;-5.0000;-219.6000;92.4850;-127.1150;76.7474;-10.2412;60.6088;No
5/2/2024;22;18.373;-0.1122;-0.1122;-3.9000;-155.9961;84.3336;-71.6625;55.7654;-7.2542;23.1513;No
5/2/2024;23;5.311;-0.0539;-0.0539;-3.9000;-122.5770;101.8446;-20.7324;27.8378;-3.4849;-3.6205;No
5/2/2024;24;-1.975;-0.6399;-0.6399;126.9900;-3,359.0125;3,104.0166;-254.9959;341.8066;-41.3721;-45.4386;No
5/2/2024;25;11.097;-0.1118;-0.1118;-5.0000;-171.3200;116.0600;-55.2600;64.5559;-8.6504;-0.6455;No
5/2/2024;26;1.717;-0.2249;-0.2249;-3.9000;-101.2518;94.6218;-6.6300;137.3145;-17.4014;-113.2831;No
5/2/2024;27;4.898;-0.1058;-0.1058;-3.0100;-64.1250;49.4393;-14.6858;65.8624;-8.1862;-42.9904;No
5/2/2024;28;4.344;-0.5306;-0.5306;-3.0100;-80.5687;67.6708;-12.8979;338.3694;-41.0546;-284.4169;No
5/2/2024;29;-3.631;-1.0772;-1.0772;145.3650;-4,128.9475;3,587.4628;-541.4846;711.4972;-93.6496;-76.3630;No
5/2/2024;30;-0.155;-0.3501;-0.3501;141.1200;-2,894.5123;2,847.2371;-47.2752;232.5462;-30.4370;-154.8340;No
5/2/2024;31;2.059;-0.4563;-0.4563;-3.0100;-57.4940;51.9135;-5.5805;305.7682;-39.6698;-260.5179;No
5/2/2024;32;2.020;-0.4240;-0.4240;-3.0100;-67.3758;62.0572;-5.3187;288.2127;-36.8617;-246.0323;No
5/2/2024;33;-0.719;-0.4336;-0.4336;132.0000;-2,550.5040;2,413.8840;-136.6200;294.6355;-40.4011;-117.6144;No
5/2/2024;34;2.848;-0.1286;-0.1286;-3.0100;-63.3063;56.0823;-7.2240;88.3738;-11.9824;-69.1674;No
5/2/2024;35;7.235;-0.0304;-0.0304;-3.9000;-105.7797;79.1427;-26.6370;20.9798;-2.8326;8.4898;No
5/2/2024;36;6.305;-0.2002;-0.2002;-3.9000;-143.8554;121.0443;-22.8111;138.5932;-18.6538;-97.1283;No
5/2/2024;37;2.492;-0.0435;-0.0435;-3.0100;-46.8446;41.0173;-5.8274;30.3408;-4.1709;-20.3425;No
5/2/2024;38;4.326;-0.0179;-0.0179;-3.0100;-52.2566;41.0323;-11.2243;12.4915;-1.7163;0.4491;No
5/2/2024;39;11.267;-0.0475;-0.0475;-3.9000;-92.7264;51.0276;-41.6988;33.2770;-4.5544;12.9762;No
5/2/2024;40;9.817;-0.0447;-0.0447;-6.4350;-237.0590;176.6665;-60.3925;31.7182;-4.2860;32.9602;No
5/2/2024;41;-2.337;-0.4725;-0.4725;145.2000;-2,841.7092;2,444.4420;-397.2672;331.0831;-46.4056;112.5897;No
5/2/2024;42;3.076;-0.3384;-0.3384;-5.0000;-93.2000;80.1550;-13.0450;234.3052;-33.2353;-188.0249;No
5/2/2024;43;14.317;-0.0763;-0.0763;-5.0000;-144.9700;76.1000;-68.8700;52.7459;-7.4937;23.6178;No
5/2/2024;44;32.579;-0.1747;-0.1747;-5.0000;-257.6500;97.3600;-160.2900;121.2699;-17.1578;56.1779;No
