Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
3/1/2026;1;6.276;0.6390;0.6390;49.4040;49.4040;-662.8535;1,018.9575;356.1040;-367.0504;62.1798;-51.2334;No
3/1/2026;2;10.437;1.2773;1.2773;67.4290;63.7700;-878.6868;1,602.3488;723.6620;-724.7277;124.2915;-123.2258;No
3/1/2026;3;6.527;0.4769;0.4769;47.3170;47.3170;-923.5332;1,272.7800;349.2468;-270.9434;46.4062;-124.7096;No
3/1/2026;4;2.257;0.0561;0.0561;40.4920;40.4920;-819.9630;946.7435;126.7805;-31.2985;5.4590;-100.9409;No
3/1/2026;5;9.880;2.0424;2.0424;97.4810;52.7836;-843.6931;1,409.4277;565.7346;-1,118.5763;177.1394;375.7023;No
3/1/2026;6;8.527;1.1348;1.1348;77.0710;52.7836;-1,029.5441;1,524.1792;494.6351;-623.8505;98.4223;30.7930;No
3/1/2026;7;11.415;1.3140;1.3140;67.4800;52.7836;-728.9943;1,374.9600;645.9657;-771.1168;113.9645;11.1866;No
3/1/2026;8;6.761;0.6443;0.6443;58.7040;52.7836;-1,010.8059;1,411.0640;400.2580;-378.6634;55.8808;-77.4754;No
3/1/2026;9;2.789;0.1504;0.1504;39.3750;39.3750;-853.0200;1,005.1650;152.1450;-88.1279;12.6386;-76.6557;No
3/1/2026;10;5.363;0.2255;0.2255;28.0890;28.0890;-548.8310;729.0781;180.2471;-130.0548;18.9494;-69.1418;No
3/1/2026;11;7.099;0.6387;0.6387;51.5070;48.0248;-850.7593;1,245.7153;394.9560;-363.7398;53.6719;-84.8880;No
3/1/2026;12;13.753;0.9651;0.9651;37.8380;37.8380;-595.1539;1,155.2698;560.1159;-538.5474;81.1002;-102.6688;No
3/1/2026;13;7.868;0.9194;0.9194;63.3900;47.3169;-930.7707;1,349.5726;418.8019;-515.0184;75.2327;20.9839;No
3/1/2026;14;7.602;1.1911;1.1911;80.0870;48.6946;-972.2364;1,391.5456;419.3092;-665.8716;97.4653;149.0971;No
3/1/2026;15;10.915;0.9352;0.9352;48.1780;48.1780;-854.3405;1,427.1287;572.7882;-519.1127;76.5255;-130.2011;No
3/1/2026;16;17.266;1.5710;1.5710;49.5350;48.3952;-862.0637;1,745.1309;883.0672;-863.5631;128.5518;-148.0559;No
3/1/2026;17;12.952;1.2237;1.2237;54.8190;39.0226;-721.8401;1,265.3078;543.4678;-679.9986;101.3456;35.1852;No
3/1/2026;18;-0.440;-0.0218;-0.0218;44.6340;68.9370;-1,554.7362;1,592.0311;37.2949;12.2485;-1.8055;-47.7380;No
3/1/2026;19;-1.312;-0.1268;-0.1268;71.5470;77.5280;-1,994.8730;1,970.9943;-23.8786;68.6075;-10.5014;-34.2274;No
3/1/2026;20;-4.069;-0.3969;-0.3969;54.8730;81.9500;-1,982.3705;1,725.9490;-256.4216;218.4967;-32.8709;70.7957;No
3/1/2026;21;0.599;-0.0727;-0.0727;14.2030;14.2030;-285.2246;307.6938;22.4691;40.3681;-6.3716;-56.4657;No
3/1/2026;22;-1.960;-0.1250;-0.1250;24.1900;75.1850;-1,464.9045;1,391.8247;-73.0798;69.8051;-10.9553;14.2300;No
3/1/2026;23;-1.722;-0.1512;-0.1512;48.0780;76.1310;-1,743.9328;1,690.4127;-53.5201;84.8147;-13.2515;-18.0431;No
3/1/2026;24;-2.537;-0.4867;-0.4867;75.3310;78.4300;-1,827.0269;1,708.2838;-118.7430;275.1032;-42.6554;-113.7048;No
3/1/2026;25;10.764;0.2508;0.2508;12.6300;12.6300;-205.8059;354.8651;149.0593;-144.5536;25.8344;-30.3401;No
3/1/2026;26;7.618;0.4427;0.4427;34.2440;34.2440;-677.1409;974.5842;297.4434;-259.3017;45.6016;-83.7433;No
3/1/2026;27;8.841;0.2568;0.2568;17.0720;17.0720;-299.4941;467.4826;167.9885;-152.1823;26.4525;-42.2586;No
