Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
4/1/2026;1;-8.185;-1.2355;-1.2355;94.1990;176.6930;-4,534.4725;3,089.8305;-1,444.6420;786.6136;-88.3951;746.4235;No
4/1/2026;2;-6.142;-1.0551;-1.0551;133.5830;162.6350;-4,077.7474;3,076.8916;-1,000.8558;660.6058;-75.4882;415.7382;No
4/1/2026;3;-9.219;-1.8546;-1.8546;130.6900;159.3130;-3,918.6219;2,447.0477;-1,471.5742;1,158.0149;-132.6892;446.2485;No
4/1/2026;4;-7.357;-1.5566;-1.5566;122.5050;153.0540;-3,511.0588;2,388.1016;-1,122.9572;959.4448;-111.3685;274.8809;No
4/1/2026;5;-3.581;-0.7004;-0.7004;127.8560;155.5510;-3,088.6207;2,529.1037;-559.5169;425.7636;-44.0517;177.8050;No
4/1/2026;6;-4.544;-1.1699;-1.1699;114.0780;142.4390;-2,938.2317;2,293.5528;-644.6789;706.2973;-73.5809;11.9625;No
4/1/2026;7;-4.009;-0.7472;-0.7472;128.2610;142.8020;-2,970.4244;2,395.9320;-574.4924;446.4171;-46.9951;175.0705;No
4/1/2026;8;0.101;-0.0402;-0.0402;90.7530;90.7530;-1,548.5184;1,554.5989;6.0805;23.9098;-2.5284;-27.4619;No
4/1/2026;9;-9.833;-1.8105;-1.8105;119.8260;138.2480;-3,525.7387;2,169.2494;-1,356.4894;1,112.4475;-108.6137;352.6556;No
4/1/2026;10;-4.245;-0.6304;-0.6304;111.3890;138.0500;-3,030.0595;2,445.5558;-584.5037;382.2439;-37.8183;240.0781;No
4/1/2026;11;-4.055;-0.7201;-0.7201;109.5430;139.5020;-3,121.7758;2,556.6532;-565.1226;436.6369;-43.1995;171.6852;No
4/1/2026;12;1.295;0.0970;0.0970;88.6870;88.6870;-1,615.4337;1,728.6870;113.2533;-57.9405;5.8191;-61.1319;No
4/1/2026;13;-2.066;-0.3141;-0.3141;113.6310;136.0480;-2,595.7958;2,315.9451;-279.8507;189.2729;-18.3877;108.9656;No
4/1/2026;14;0.798;0.1437;0.1437;87.2660;87.2660;-1,530.9947;1,598.9749;67.9802;-86.4578;8.4123;10.0652;No
4/1/2026;15;0.189;0.2053;0.2053;109.5730;109.5730;-1,996.2009;2,016.8006;20.5997;-123.9825;12.0185;91.3643;No
4/1/2026;16;0.209;-0.0102;-0.0102;30.6360;30.6360;-643.8462;650.5555;6.7093;6.1972;-0.5971;-12.3094;No
4/1/2026;17;5.177;0.9063;0.9063;112.3430;112.3430;-2,114.0706;2,693.4234;579.3529;-558.5778;56.3637;-77.1388;No
4/1/2026;18;6.053;1.0969;1.0969;109.9300;109.9300;-1,913.2217;2,579.8372;666.6155;-681.0760;68.2173;-53.7568;No
4/1/2026;19;9.000;0.7381;0.7381;51.6340;51.6340;-881.2891;1,345.6337;464.3446;-463.4456;45.9032;-46.8021;No
4/1/2026;20;10.673;1.5285;1.5285;87.9790;87.9790;-1,155.5162;2,094.7800;939.2638;-967.8126;95.0589;-66.5101;No
4/1/2026;21;6.855;1.9324;1.9324;120.8320;120.8320;-2,497.2349;3,325.6591;828.4242;-1,243.6439;139.6275;275.5922;No
4/1/2026;22;15.787;3.6523;3.6523;152.4790;144.2900;-2,094.2251;4,369.6784;2,275.4533;-2,375.2960;263.9006;-164.0579;No
4/1/2026;23;11.998;2.7390;2.7390;131.0880;131.0880;-1,819.8947;3,392.2953;1,572.4006;-1,837.1825;197.9092;66.8728;No
4/1/2026;24;13.794;3.9122;3.9122;132.4630;132.4630;-2,191.7328;4,019.3248;1,827.5920;-2,709.6376;282.6799;599.3657;No
4/1/2026;25;6.460;2.0246;2.0246;115.1270;115.1270;-3,147.1117;3,889.6808;742.5692;-1,491.2518;175.1360;573.5467;No
4/1/2026;26;8.858;1.7804;1.7804;163.8890;163.8890;-2,869.3686;4,315.1974;1,445.8288;-1,374.6302;154.0117;-225.2103;No
4/1/2026;27;6.726;0.6837;0.6837;67.9310;67.9310;-1,211.1418;1,664.6492;453.5074;-541.0964;59.1428;28.4463;No
4/1/2026;28;3.139;-0.2593;-0.2593;59.5290;59.5290;-1,415.1829;1,596.8654;181.6825;208.5964;-22.4305;-367.8484;No
4/1/2026;29;-0.375;0.1178;0.1178;196.9700;254.1990;-6,509.0196;6,376.5819;-132.4377;-96.0188;11.2749;217.1816;No
